Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 54.26649999999999)	(2, 55.24829999999999)	(3, 37.6618)	(4, 43.6622)	(5, 40.5771)	(6, 41.4152)	(7, 36.5548)	(8, 36.8114)	(9, 40.9356)	(10, 42.9707)	(11, 44.7389)	(12, 44.0159)	(13, 43.0072)	(14, 41.9399)	(15, 42.578700000000005)	(16, 42.856899999999996)	(17, 42.1148)	(18, 42.8741)	(19, 41.7846)	(20, 42.3958)	(21, 43.6125)	(22, 43.1842)	(23, 42.5837)	(24, 41.3183)	(25, 41.7708)	(26, 42.273300000000006)	(27, 43.1585)	(28, 42.9338)	(29, 43.5483)	(30, 42.352000000000004)	(31, 42.8864)	(32, 41.706900000000005)	(33, 42.2319)	(34, 42.1775)	(35, 42.4933)	(36, 42.4414)	(37, 42.2476)	(38, 42.064099999999996)	(39, 42.324600000000004)	(40, 42.431000000000004)	(41, 43.2662)	(42, 42.097699999999996)	(43, 42.5526)	(44, 41.0562)	(45, 41.2596)	(46, 42.445899999999995)	(47, 41.5149)	(48, 41.9208)	(49, 42.8341)	(50, 42.280499999999996)	(51, 43.3829)	(52, 42.2609)	(53, 42.1434)	(54, 41.6877)	(55, 42.9645)	(56, 42.8126)	(57, 41.544599999999996)	(58, 42.8945)	(59, 42.5551)	(60, 42.858000000000004)	(61, 43.0914)	(62, 42.8416)	(63, 41.300799999999995)	(64, 41.0132)	(65, 41.286)	(66, 42.382799999999996)	(67, 41.3914)	(68, 41.5973)	(69, 41.5199)	(70, 41.1024)	(71, 41.3793)	(72, 41.1776)	(73, 41.4081)	(74, 41.2306)	(75, 41.224199999999996)	(76, 41.4179)	(77, 41.593599999999995)	(78, 41.6839)	(79, 41.7374)	(80, 42.3284)	(81, 42.412)	(82, 42.445100000000004)	(83, 42.6853)	(84, 42.6284)	(85, 42.797200000000004)	(86, 42.4951)	(87, 42.3743)	(88, 42.231)	(89, 42.3105)	(90, 42.2532)	(91, 42.5304)	(92, 42.3321)	(93, 42.219699999999996)	(94, 42.546299999999995)	(95, 42.0097)	(96, 41.8884)	(97, 39.8631)	(98, 36.383700000000005)	(99, 38.4956)	(100, 33.2793)
PGDX10625P7_WGS	(1, 52.0039)	(2, 53.7076)	(3, 40.203100000000006)	(4, 44.1408)	(5, 40.8485)	(6, 42.0006)	(7, 38.6081)	(8, 38.932)	(9, 41.8412)	(10, 43.801899999999996)	(11, 44.7397)	(12, 44.1054)	(13, 43.261500000000005)	(14, 42.355)	(15, 42.4827)	(16, 42.9816)	(17, 42.8262)	(18, 43.1882)	(19, 42.445899999999995)	(20, 42.9403)	(21, 43.757200000000005)	(22, 43.3394)	(23, 42.9974)	(24, 42.1904)	(25, 42.5237)	(26, 42.8873)	(27, 43.4708)	(28, 43.5722)	(29, 43.743900000000004)	(30, 42.9543)	(31, 43.3496)	(32, 42.7834)	(33, 43.0215)	(34, 42.849199999999996)	(35, 42.891400000000004)	(36, 42.8763)	(37, 42.6143)	(38, 42.6281)	(39, 42.835)	(40, 43.054700000000004)	(41, 43.749700000000004)	(42, 42.973299999999995)	(43, 43.0011)	(44, 42.0317)	(45, 42.113499999999995)	(46, 43.0469)	(47, 42.5612)	(48, 42.6556)	(49, 43.085699999999996)	(50, 42.8703)	(51, 43.6159)	(52, 42.5758)	(53, 42.5834)	(54, 42.3072)	(55, 43.1274)	(56, 43.1847)	(57, 42.2441)	(58, 43.0003)	(59, 42.5209)	(60, 42.9847)	(61, 43.3741)	(62, 43.3134)	(63, 42.2674)	(64, 41.943799999999996)	(65, 42.0364)	(66, 42.953599999999994)	(67, 42.4321)	(68, 42.5617)	(69, 42.2676)	(70, 41.822700000000005)	(71, 42.341499999999996)	(72, 42.3286)	(73, 42.5406)	(74, 42.2809)	(75, 42.3276)	(76, 42.6738)	(77, 42.865199999999994)	(78, 42.999900000000004)	(79, 42.991099999999996)	(80, 43.431599999999996)	(81, 43.571799999999996)	(82, 43.567099999999996)	(83, 43.6864)	(84, 43.4427)	(85, 43.5345)	(86, 43.2457)	(87, 43.0179)	(88, 42.876)	(89, 42.8781)	(90, 42.7854)	(91, 43.101800000000004)	(92, 42.9348)	(93, 42.802800000000005)	(94, 42.9748)	(95, 42.4001)	(96, 42.3216)	(97, 40.3816)	(98, 36.9755)	(99, 38.9095)	(100, 33.6896)
PGDX10626P6_WGS	(1, 53.7216)	(2, 55.913599999999995)	(3, 38.1456)	(4, 43.3584)	(5, 40.1051)	(6, 41.300599999999996)	(7, 37.2264)	(8, 37.2382)	(9, 40.748400000000004)	(10, 43.3928)	(11, 44.3496)	(12, 43.6648)	(13, 42.827)	(14, 42.2966)	(15, 42.1481)	(16, 42.5299)	(17, 42.321799999999996)	(18, 42.5826)	(19, 42.266)	(20, 42.562)	(21, 43.1814)	(22, 42.8369)	(23, 42.4504)	(24, 41.9008)	(25, 42.3127)	(26, 42.4759)	(27, 42.8902)	(28, 43.1176)	(29, 43.256099999999996)	(30, 42.568)	(31, 42.6247)	(32, 42.0911)	(33, 42.352000000000004)	(34, 42.3437)	(35, 42.5203)	(36, 42.4865)	(37, 42.146499999999996)	(38, 42.2999)	(39, 42.5432)	(40, 42.8034)	(41, 43.123)	(42, 42.4574)	(43, 42.4116)	(44, 41.651500000000006)	(45, 41.579)	(46, 42.2806)	(47, 42.0389)	(48, 42.1371)	(49, 42.5639)	(50, 42.5157)	(51, 42.9364)	(52, 41.840500000000006)	(53, 41.9884)	(54, 42.0184)	(55, 42.631)	(56, 42.6659)	(57, 41.867399999999996)	(58, 42.5063)	(59, 42.1424)	(60, 42.4623)	(61, 42.6697)	(62, 42.6148)	(63, 41.8202)	(64, 41.5881)	(65, 41.6232)	(66, 42.2888)	(67, 42.0056)	(68, 42.2038)	(69, 42.1489)	(70, 41.731899999999996)	(71, 41.971199999999996)	(72, 41.809200000000004)	(73, 42.07)	(74, 41.8944)	(75, 41.869099999999996)	(76, 42.063)	(77, 42.220400000000005)	(78, 42.337799999999994)	(79, 42.4082)	(80, 42.8308)	(81, 42.8404)	(82, 42.84)	(83, 43.0369)	(84, 42.9134)	(85, 43.0036)	(86, 42.7374)	(87, 42.5719)	(88, 42.3912)	(89, 42.5329)	(90, 42.4557)	(91, 42.7421)	(92, 42.5623)	(93, 42.5132)	(94, 42.8257)	(95, 42.222300000000004)	(96, 42.0485)	(97, 40.03)	(98, 36.5133)	(99, 38.5963)	(100, 33.3562)
PGDX10626P7_WGS	(1, 54.62010000000001)	(2, 54.91629999999999)	(3, 36.7357)	(4, 44.099199999999996)	(5, 41.0445)	(6, 42.324)	(7, 36.113299999999995)	(8, 36.206700000000005)	(9, 41.8599)	(10, 42.337599999999995)	(11, 45.3553)	(12, 44.5959)	(13, 43.7569)	(14, 41.1258)	(15, 43.112899999999996)	(16, 43.518)	(17, 41.212700000000005)	(18, 43.5471)	(19, 41.1133)	(20, 41.410599999999995)	(21, 44.1772)	(22, 43.7798)	(23, 43.3136)	(24, 40.6825)	(25, 41.024100000000004)	(26, 41.243)	(27, 43.7303)	(28, 41.9144)	(29, 44.1449)	(30, 41.4405)	(31, 43.5508)	(32, 40.8731)	(33, 42.1719)	(34, 41.976200000000006)	(35, 42.4135)	(36, 42.111)	(37, 42.2431)	(38, 41.4321)	(39, 42.379400000000004)	(40, 41.695)	(41, 43.906600000000005)	(42, 41.193400000000004)	(43, 43.1459)	(44, 40.3348)	(45, 40.268100000000004)	(46, 42.9288)	(47, 40.7439)	(48, 40.8151)	(49, 43.1513)	(50, 41.2714)	(51, 43.6183)	(52, 42.5595)	(53, 42.6485)	(54, 40.8701)	(55, 43.3199)	(56, 43.3466)	(57, 40.7499)	(58, 43.0715)	(59, 42.8688)	(60, 43.1675)	(61, 43.4675)	(62, 43.3521)	(63, 40.8889)	(64, 40.4223)	(65, 40.3672)	(66, 42.8913)	(67, 40.7084)	(68, 40.8404)	(69, 40.7441)	(70, 40.312799999999996)	(71, 40.5203)	(72, 40.3258)	(73, 40.6136)	(74, 40.4823)	(75, 40.4466)	(76, 40.6228)	(77, 40.7713)	(78, 40.9329)	(79, 41.0205)	(80, 41.705)	(81, 41.8759)	(82, 41.984)	(83, 42.2949)	(84, 42.2714)	(85, 42.437599999999996)	(86, 42.235)	(87, 42.0777)	(88, 41.9429)	(89, 42.0542)	(90, 42.011900000000004)	(91, 42.363)	(92, 42.1577)	(93, 42.106100000000005)	(94, 42.416199999999996)	(95, 41.8595)	(96, 41.7564)	(97, 39.7403)	(98, 36.236200000000004)	(99, 38.3581)	(100, 33.172200000000004)
PGDX16571P_WGS	(1, 54.217099999999995)	(2, 56.318599999999996)	(3, 39.109300000000005)	(4, 44.6505)	(5, 41.585699999999996)	(6, 40.6186)	(7, 36.281200000000005)	(8, 38.7622)	(9, 39.9399)	(10, 45.512)	(11, 46.3639)	(12, 45.684000000000005)	(13, 42.3078)	(14, 44.4504)	(15, 44.1976)	(16, 42.144)	(17, 44.5561)	(18, 42.2532)	(19, 42.1091)	(20, 45.0323)	(21, 45.4003)	(22, 45.0327)	(23, 42.1269)	(24, 41.4943)	(25, 41.949799999999996)	(26, 44.7267)	(27, 42.4065)	(28, 45.3138)	(29, 43.0315)	(30, 44.8741)	(31, 42.344500000000004)	(32, 42.3713)	(33, 43.3206)	(34, 42.8688)	(35, 43.4227)	(36, 43.845299999999995)	(37, 43.0195)	(38, 43.209900000000005)	(39, 42.2113)	(40, 44.855000000000004)	(41, 42.8041)	(42, 44.5618)	(43, 41.8682)	(44, 41.2596)	(45, 43.6003)	(46, 41.7752)	(47, 41.580099999999995)	(48, 44.0539)	(49, 42.127900000000004)	(50, 44.636700000000005)	(51, 45.0268)	(52, 43.8297)	(53, 41.6387)	(54, 44.041799999999995)	(55, 44.468)	(56, 42.3936)	(57, 43.6859)	(58, 44.3642)	(59, 44.1053)	(60, 44.4728)	(61, 44.7175)	(62, 42.6452)	(63, 41.4817)	(64, 41.1875)	(65, 43.5978)	(66, 41.7711)	(67, 41.365899999999996)	(68, 41.5972)	(69, 41.586800000000004)	(70, 41.2442)	(71, 41.36)	(72, 41.098800000000004)	(73, 41.4773)	(74, 41.3313)	(75, 41.281099999999995)	(76, 41.3768)	(77, 41.4897)	(78, 41.647400000000005)	(79, 41.810199999999995)	(80, 42.245)	(81, 42.307)	(82, 42.2808)	(83, 42.6233)	(84, 42.635400000000004)	(85, 42.8236)	(86, 42.591699999999996)	(87, 42.6042)	(88, 42.3182)	(89, 42.5304)	(90, 42.5332)	(91, 42.9337)	(92, 42.655100000000004)	(93, 42.7255)	(94, 42.9967)	(95, 42.4636)	(96, 42.424)	(97, 40.4495)	(98, 36.8342)	(99, 38.994)	(100, 33.6856)
PGDX16585P_WGS	(1, 54.6728)	(2, 57.128)	(3, 36.979800000000004)	(4, 42.5073)	(5, 39.420300000000005)	(6, 40.6033)	(7, 36.281400000000005)	(8, 36.3568)	(9, 39.8881)	(10, 43.3749)	(11, 44.2244)	(12, 43.6109)	(13, 42.4343)	(14, 42.2838)	(15, 41.9458)	(16, 42.1165)	(17, 42.396899999999995)	(18, 42.3273)	(19, 42.2743)	(20, 42.8525)	(21, 43.2669)	(22, 42.8805)	(23, 42.065200000000004)	(24, 41.6097)	(25, 42.0956)	(26, 42.504)	(27, 42.415000000000006)	(28, 43.1869)	(29, 42.9975)	(30, 42.7842)	(31, 42.3874)	(32, 41.8998)	(33, 41.8585)	(34, 42.1033)	(35, 42.276)	(36, 42.3054)	(37, 41.9837)	(38, 42.0673)	(39, 42.157)	(40, 42.7155)	(41, 42.7934)	(42, 42.4195)	(43, 41.9339)	(44, 41.3716)	(45, 41.4269)	(46, 41.6763)	(47, 41.6441)	(48, 41.9873)	(49, 42.1646)	(50, 42.5171)	(51, 42.7443)	(52, 41.585)	(53, 41.4681)	(54, 41.79)	(55, 42.1771)	(56, 42.027)	(57, 41.543)	(58, 42.1164)	(59, 41.8275)	(60, 42.2031)	(61, 42.4458)	(62, 42.2175)	(63, 41.5062)	(64, 41.2682)	(65, 41.429700000000004)	(66, 41.6413)	(67, 41.4549)	(68, 41.6971)	(69, 41.7316)	(70, 41.3202)	(71, 41.4874)	(72, 41.2492)	(73, 41.547200000000004)	(74, 41.410599999999995)	(75, 41.3529)	(76, 41.423300000000005)	(77, 41.605199999999996)	(78, 41.725899999999996)	(79, 41.8304)	(80, 42.2784)	(81, 42.215)	(82, 42.1299)	(83, 42.3776)	(84, 42.2937)	(85, 42.3744)	(86, 42.1515)	(87, 42.0344)	(88, 41.8156)	(89, 41.957499999999996)	(90, 41.9194)	(91, 42.2278)	(92, 42.0555)	(93, 41.9749)	(94, 42.2324)	(95, 41.6579)	(96, 41.5665)	(97, 39.5372)	(98, 35.9747)	(99, 38.1258)	(100, 32.9361)
PGDX16587P_WGS	(1, 55.3456)	(2, 57.084999999999994)	(3, 38.7594)	(4, 44.1729)	(5, 41.1972)	(6, 41.2222)	(7, 36.9814)	(8, 38.2949)	(9, 40.5857)	(10, 45.0469)	(11, 45.9043)	(12, 45.270500000000006)	(13, 42.9679)	(14, 43.9946)	(15, 43.6996)	(16, 42.6906)	(17, 44.047)	(18, 42.7744)	(19, 42.667)	(20, 44.467600000000004)	(21, 44.894800000000004)	(22, 44.5215)	(23, 42.7622)	(24, 42.1892)	(25, 42.619600000000005)	(26, 44.2617)	(27, 43.007400000000004)	(28, 44.8581)	(29, 43.5522)	(30, 44.4413)	(31, 42.8971)	(32, 42.4118)	(33, 43.149)	(34, 43.628699999999995)	(35, 42.8861)	(36, 43.2087)	(37, 42.8703)	(38, 43.9459)	(39, 42.7224)	(40, 44.319399999999995)	(41, 43.3425)	(42, 44.085800000000006)	(43, 42.44)	(44, 41.9002)	(45, 43.2079)	(46, 42.3421)	(47, 42.223699999999994)	(48, 43.6481)	(49, 42.7122)	(50, 44.189299999999996)	(51, 44.5706)	(52, 43.3586)	(53, 42.113499999999995)	(54, 43.5955)	(55, 44.0195)	(56, 42.7678)	(57, 43.2868)	(58, 43.8837)	(59, 43.5954)	(60, 43.999500000000005)	(61, 44.2214)	(62, 42.9242)	(63, 42.0508)	(64, 41.8348)	(65, 43.2066)	(66, 42.3062)	(67, 42.0633)	(68, 42.248599999999996)	(69, 42.2567)	(70, 41.9058)	(71, 42.0974)	(72, 41.8435)	(73, 42.1145)	(74, 41.9477)	(75, 41.957899999999995)	(76, 42.050399999999996)	(77, 42.1919)	(78, 42.3036)	(79, 42.426199999999994)	(80, 42.8937)	(81, 42.945100000000004)	(82, 42.8924)	(83, 43.1539)	(84, 43.1026)	(85, 43.263)	(86, 43.0448)	(87, 42.9818)	(88, 42.742599999999996)	(89, 42.9492)	(90, 42.8623)	(91, 43.1939)	(92, 42.9693)	(93, 42.950500000000005)	(94, 43.2498)	(95, 42.6596)	(96, 42.6469)	(97, 40.6021)	(98, 37.009)	(99, 39.123200000000004)	(100, 33.8179)
PGDX16592P_WGS	(1, 54.332499999999996)	(2, 55.5613)	(3, 38.0446)	(4, 45.9236)	(5, 42.673899999999996)	(6, 42.9965)	(7, 36.0702)	(8, 37.0922)	(9, 41.964400000000005)	(10, 43.5275)	(11, 47.0676)	(12, 46.482299999999995)	(13, 44.4625)	(14, 42.7143)	(15, 45.0301)	(16, 44.155899999999995)	(17, 42.6522)	(18, 44.1738)	(19, 41.482200000000006)	(20, 43.0477)	(21, 45.9859)	(22, 45.6829)	(23, 44.147)	(24, 41.0291)	(25, 41.4916)	(26, 43.0054)	(27, 44.4683)	(28, 43.479299999999995)	(29, 44.9169)	(30, 43.046299999999995)	(31, 44.3441)	(32, 42.4734)	(33, 44.455299999999994)	(34, 43.083)	(35, 43.195499999999996)	(36, 43.015)	(37, 43.3337)	(38, 43.4403)	(39, 42.5798)	(40, 44.4375)	(41, 44.7135)	(42, 42.7542)	(43, 43.912600000000005)	(44, 40.7667)	(45, 41.889199999999995)	(46, 43.8212)	(47, 41.145700000000005)	(48, 42.458800000000004)	(49, 44.1643)	(50, 42.8772)	(51, 45.7546)	(52, 44.6709)	(53, 43.5824)	(54, 42.2931)	(55, 45.2189)	(56, 44.1894)	(57, 42.0678)	(58, 45.0953)	(59, 44.8604)	(60, 45.1514)	(61, 45.3692)	(62, 44.1669)	(63, 40.9035)	(64, 40.696)	(65, 41.8814)	(66, 43.682500000000005)	(67, 40.9182)	(68, 41.0822)	(69, 41.0807)	(70, 40.827200000000005)	(71, 40.9574)	(72, 40.644999999999996)	(73, 40.9159)	(74, 40.804899999999996)	(75, 40.7718)	(76, 40.9221)	(77, 41.0126)	(78, 41.1327)	(79, 41.2064)	(80, 41.708600000000004)	(81, 41.8663)	(82, 41.8593)	(83, 42.1917)	(84, 42.2083)	(85, 42.4478)	(86, 42.3975)	(87, 42.3689)	(88, 42.1747)	(89, 42.221199999999996)	(90, 42.335499999999996)	(91, 42.6331)	(92, 42.3207)	(93, 42.384100000000004)	(94, 42.7689)	(95, 42.2256)	(96, 42.2381)	(97, 40.3365)	(98, 36.6607)	(99, 38.682)	(100, 33.3853)
PGDX17776P8_WGS	(1, 56.68879999999999)	(2, 54.677)	(3, 37.9285)	(4, 42.0644)	(5, 39.8229)	(6, 40.8456)	(7, 35.783300000000004)	(8, 36.5291)	(9, 40.5254)	(10, 42.2125)	(11, 43.7871)	(12, 43.1226)	(13, 42.2657)	(14, 41.0032)	(15, 41.9722)	(16, 42.1907)	(17, 41.2968)	(18, 42.187400000000004)	(19, 41.1445)	(20, 41.5425)	(21, 42.9604)	(22, 42.4546)	(23, 41.88)	(24, 40.5766)	(25, 40.989)	(26, 41.3412)	(27, 42.4199)	(28, 41.8842)	(29, 42.769200000000005)	(30, 41.4848)	(31, 42.1843)	(32, 40.6959)	(33, 40.719699999999996)	(34, 41.766799999999996)	(35, 41.9418)	(36, 41.2092)	(37, 41.2149)	(38, 41.562)	(39, 42.0137)	(40, 41.4189)	(41, 42.6153)	(42, 41.1134)	(43, 41.7228)	(44, 40.1995)	(45, 40.403299999999994)	(46, 41.6631)	(47, 40.494400000000006)	(48, 40.8091)	(49, 42.0003)	(50, 41.313100000000006)	(51, 42.4536)	(52, 41.4035)	(53, 41.2801)	(54, 40.684599999999996)	(55, 42.0436)	(56, 41.8293)	(57, 40.5374)	(58, 41.85)	(59, 41.6721)	(60, 41.9591)	(61, 42.1775)	(62, 41.8392)	(63, 40.2461)	(64, 40.044000000000004)	(65, 40.249)	(66, 41.526)	(67, 40.3176)	(68, 40.4852)	(69, 40.464800000000004)	(70, 40.216)	(71, 40.3327)	(72, 40.067099999999996)	(73, 40.2971)	(74, 40.106700000000004)	(75, 40.2704)	(76, 40.3734)	(77, 40.4189)	(78, 40.4986)	(79, 40.623799999999996)	(80, 41.129)	(81, 41.131299999999996)	(82, 41.120200000000004)	(83, 41.3367)	(84, 41.301)	(85, 41.5603)	(86, 41.2853)	(87, 41.1244)	(88, 40.958099999999995)	(89, 41.0999)	(90, 41.1062)	(91, 41.3876)	(92, 41.1568)	(93, 41.1053)	(94, 41.3804)	(95, 40.8459)	(96, 40.765499999999996)	(97, 38.8573)	(98, 35.2241)	(99, 37.434200000000004)	(100, 32.286300000000004)
PGDX17778P9_WGS	(1, 55.9272)	(2, 53.884100000000004)	(3, 35.1033)	(4, 45.009100000000004)	(5, 42.3996)	(6, 43.323)	(7, 34.372)	(8, 34.5026)	(9, 42.6619)	(10, 40.8182)	(11, 46.5374)	(12, 45.7276)	(13, 44.6887)	(14, 39.6988)	(15, 44.283899999999996)	(16, 44.5083)	(17, 39.7148)	(18, 44.4647)	(19, 39.5233)	(20, 40.0194)	(21, 45.3241)	(22, 44.8599)	(23, 44.1978)	(24, 38.9986)	(25, 39.3855)	(26, 39.8001)	(27, 44.571)	(28, 40.3551)	(29, 45.0295)	(30, 40.0296)	(31, 44.5105)	(32, 39.2992)	(33, 42.2162)	(34, 41.4547)	(35, 41.8913)	(36, 41.9079)	(37, 42.2513)	(38, 40.3794)	(39, 42.2177)	(40, 40.4232)	(41, 44.851)	(42, 39.6402)	(43, 43.9721)	(44, 38.6458)	(45, 38.7811)	(46, 43.768)	(47, 38.9923)	(48, 39.2274)	(49, 44.0252)	(50, 39.7608)	(51, 44.7053)	(52, 43.5924)	(53, 43.518299999999996)	(54, 39.2977)	(55, 44.298700000000004)	(56, 44.195)	(57, 39.162400000000005)	(58, 43.972)	(59, 43.847500000000004)	(60, 44.2076)	(61, 44.4631)	(62, 44.1436)	(63, 39.2131)	(64, 38.6614)	(65, 38.8244)	(66, 43.6932)	(67, 38.8623)	(68, 38.988499999999995)	(69, 39.0276)	(70, 38.6491)	(71, 38.7919)	(72, 38.4857)	(73, 38.7427)	(74, 38.620599999999996)	(75, 38.6351)	(76, 38.793499999999995)	(77, 38.8678)	(78, 38.980399999999996)	(79, 39.1235)	(80, 40.164699999999996)	(81, 40.5867)	(82, 40.7378)	(83, 41.2176)	(84, 41.3561)	(85, 41.621900000000004)	(86, 41.5512)	(87, 41.3931)	(88, 41.328700000000005)	(89, 41.414699999999996)	(90, 41.3987)	(91, 41.8275)	(92, 41.5489)	(93, 41.5286)	(94, 41.8724)	(95, 41.3606)	(96, 41.359899999999996)	(97, 39.4022)	(98, 35.8675)	(99, 37.9584)	(100, 32.8907)
