Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 54.289)	(2, 55.1141)	(3, 37.677)	(4, 43.7989)	(5, 40.6964)	(6, 41.472300000000004)	(7, 36.4672)	(8, 36.777300000000004)	(9, 40.9656)	(10, 42.8947)	(11, 44.8009)	(12, 44.0971)	(13, 43.0297)	(14, 41.8237)	(15, 42.586)	(16, 42.7916)	(17, 41.9798)	(18, 42.8082)	(19, 41.566900000000004)	(20, 42.2481)	(21, 43.5713)	(22, 43.1645)	(23, 42.5426)	(24, 41.1156)	(25, 41.5512)	(26, 42.1138)	(27, 43.099)	(28, 42.7825)	(29, 43.477)	(30, 42.216)	(31, 42.8012)	(32, 41.5629)	(33, 42.1319)	(34, 42.0636)	(35, 42.382999999999996)	(36, 42.3309)	(37, 42.1853)	(38, 41.9687)	(39, 42.2347)	(40, 42.3186)	(41, 43.235099999999996)	(42, 42.0188)	(43, 42.5396)	(44, 40.900999999999996)	(45, 41.1414)	(46, 42.4165)	(47, 41.3557)	(48, 41.8178)	(49, 42.8016)	(50, 42.1926)	(51, 43.436099999999996)	(52, 42.3346)	(53, 42.1807)	(54, 41.6223)	(55, 43.028499999999994)	(56, 42.844)	(57, 41.4949)	(58, 42.9687)	(59, 42.6384)	(60, 42.949)	(61, 43.161899999999996)	(62, 42.8857)	(63, 41.245599999999996)	(64, 40.9124)	(65, 41.2406)	(66, 42.4271)	(67, 41.3317)	(68, 41.5069)	(69, 41.3981)	(70, 40.9937)	(71, 41.2774)	(72, 41.0519)	(73, 41.2754)	(74, 41.1254)	(75, 41.106300000000005)	(76, 41.2922)	(77, 41.4551)	(78, 41.5478)	(79, 41.5909)	(80, 42.2051)	(81, 42.319)	(82, 42.3568)	(83, 42.6031)	(84, 42.55)	(85, 42.6893)	(86, 42.389500000000005)	(87, 42.265)	(88, 42.0584)	(89, 42.14)	(90, 42.0606)	(91, 42.172599999999996)	(92, 41.9342)	(93, 41.7527)	(94, 41.665)	(95, 41.0267)	(96, 40.908899999999996)	(97, 38.9248)	(98, 35.5474)	(99, 37.581199999999995)	(100, 32.5083)
PGDX10625P7_WGS	(1, 52.0241)	(2, 53.6548)	(3, 40.2238)	(4, 44.233)	(5, 40.9015)	(6, 42.0158)	(7, 38.5523)	(8, 38.8926)	(9, 41.8502)	(10, 43.7186)	(11, 44.7268)	(12, 44.1175)	(13, 43.248)	(14, 42.235)	(15, 42.418800000000005)	(16, 42.8723)	(17, 42.6753)	(18, 43.0788)	(19, 42.262)	(20, 42.786)	(21, 43.6302)	(22, 43.2415)	(23, 42.9028)	(24, 42.0049)	(25, 42.3365)	(26, 42.709599999999995)	(27, 43.378)	(28, 43.4058)	(29, 43.634699999999995)	(30, 42.784499999999994)	(31, 43.2364)	(32, 42.6331)	(33, 42.8855)	(34, 42.7091)	(35, 42.7601)	(36, 42.727599999999995)	(37, 42.5338)	(38, 42.527300000000004)	(39, 42.751)	(40, 42.938500000000005)	(41, 43.689499999999995)	(42, 42.8968)	(43, 42.952)	(44, 41.9172)	(45, 41.9919)	(46, 42.9829)	(47, 42.4333)	(48, 42.5576)	(49, 43.0387)	(50, 42.7753)	(51, 43.599199999999996)	(52, 42.5921)	(53, 42.5766)	(54, 42.2278)	(55, 43.1305)	(56, 43.1622)	(57, 42.180099999999996)	(58, 43.013600000000004)	(59, 42.5368)	(60, 43.000899999999994)	(61, 43.3607)	(62, 43.3065)	(63, 42.2149)	(64, 41.8682)	(65, 41.9809)	(66, 42.9602)	(67, 42.4007)	(68, 42.5116)	(69, 42.186299999999996)	(70, 41.732)	(71, 42.2684)	(72, 42.2445)	(73, 42.4357)	(74, 42.2124)	(75, 42.2321)	(76, 42.5614)	(77, 42.7558)	(78, 42.8915)	(79, 42.8672)	(80, 43.312200000000004)	(81, 43.4688)	(82, 43.4728)	(83, 43.5937)	(84, 43.3539)	(85, 43.3999)	(86, 43.1067)	(87, 42.8898)	(88, 42.686600000000006)	(89, 42.6943)	(90, 42.5482)	(91, 42.719)	(92, 42.5017)	(93, 42.301100000000005)	(94, 42.0686)	(95, 41.3703)	(96, 41.2956)	(97, 39.3952)	(98, 36.0898)	(99, 37.9433)	(100, 32.8641)
PGDX10626P6_WGS	(1, 53.833)	(2, 55.86879999999999)	(3, 38.1697)	(4, 43.5444)	(5, 40.271499999999996)	(6, 41.4538)	(7, 37.2342)	(8, 37.227700000000006)	(9, 40.8924)	(10, 43.3537)	(11, 44.4799)	(12, 43.8141)	(13, 42.9692)	(14, 42.2815)	(15, 42.2858)	(16, 42.6627)	(17, 42.3294)	(18, 42.729)	(19, 42.2561)	(20, 42.5533)	(21, 43.3308)	(22, 42.9984)	(23, 42.612100000000005)	(24, 41.9013)	(25, 42.2775)	(26, 42.4634)	(27, 43.0522)	(28, 43.1145)	(29, 43.4103)	(30, 42.5891)	(31, 42.7797)	(32, 42.098600000000005)	(33, 42.5094)	(34, 42.4342)	(35, 42.5788)	(36, 42.582300000000004)	(37, 42.2224)	(38, 42.4001)	(39, 42.6687)	(40, 42.891400000000004)	(41, 43.2907)	(42, 42.5231)	(43, 42.5972)	(44, 41.7034)	(45, 41.6199)	(46, 42.443999999999996)	(47, 42.0886)	(48, 42.1909)	(49, 42.7122)	(50, 42.5728)	(51, 43.1118)	(52, 42.0447)	(53, 42.1976)	(54, 42.139700000000005)	(55, 42.8404)	(56, 42.869099999999996)	(57, 41.9985)	(58, 42.7108)	(59, 42.3802)	(60, 42.6841)	(61, 42.878899999999994)	(62, 42.829899999999995)	(63, 41.9874)	(64, 41.707499999999996)	(65, 41.7416)	(66, 42.5009)	(67, 42.1471)	(68, 42.3146)	(69, 42.2215)	(70, 41.815000000000005)	(71, 42.0613)	(72, 41.870400000000004)	(73, 42.1156)	(74, 41.9619)	(75, 41.9201)	(76, 42.1039)	(77, 42.2562)	(78, 42.3715)	(79, 42.4332)	(80, 42.8598)	(81, 42.8935)	(82, 42.9037)	(83, 43.1117)	(84, 42.9903)	(85, 43.056)	(86, 42.8008)	(87, 42.6303)	(88, 42.4091)	(89, 42.5456)	(90, 42.4491)	(91, 42.59)	(92, 42.3752)	(93, 42.255199999999995)	(94, 42.157)	(95, 41.4446)	(96, 41.279199999999996)	(97, 39.2918)	(98, 35.863)	(99, 37.885000000000005)	(100, 32.7676)
PGDX10626P7_WGS	(1, 55.1461)	(2, 54.350699999999996)	(3, 36.4377)	(4, 44.7829)	(5, 41.7584)	(6, 43.0301)	(7, 35.8533)	(8, 35.8846)	(9, 42.5229)	(10, 41.9572)	(11, 46.0012)	(12, 45.2615)	(13, 44.441)	(14, 40.8576)	(15, 43.7787)	(16, 44.1874)	(17, 40.963)	(18, 44.2251)	(19, 40.7967)	(20, 41.063100000000006)	(21, 44.8496)	(22, 44.4824)	(23, 44.024)	(24, 40.4437)	(25, 40.62)	(26, 40.8633)	(27, 44.3773)	(28, 41.5773)	(29, 44.817)	(30, 41.2443)	(31, 44.229800000000004)	(32, 40.5673)	(33, 42.416399999999996)	(34, 42.08)	(35, 42.574)	(36, 42.241)	(37, 42.594500000000004)	(38, 41.435)	(39, 42.6422)	(40, 41.5259)	(41, 44.4956)	(42, 40.9754)	(43, 43.7303)	(44, 40.136500000000005)	(45, 40.0286)	(46, 43.3743)	(47, 40.5808)	(48, 40.61)	(49, 43.501400000000004)	(50, 41.089999999999996)	(51, 44.085)	(52, 43.166)	(53, 43.344899999999996)	(54, 41.0382)	(55, 43.9765)	(56, 44.0542)	(57, 40.967)	(58, 43.6298)	(59, 43.5834)	(60, 43.8483)	(61, 44.1606)	(62, 44.0595)	(63, 41.2284)	(64, 40.5365)	(65, 40.3783)	(66, 43.3992)	(67, 40.7495)	(68, 40.763)	(69, 40.5478)	(70, 40.1379)	(71, 40.2985)	(72, 40.0543)	(73, 40.3121)	(74, 40.1986)	(75, 40.1445)	(76, 40.3078)	(77, 40.4486)	(78, 40.618900000000004)	(79, 40.7048)	(80, 41.492000000000004)	(81, 41.755399999999995)	(82, 41.932900000000004)	(83, 42.3008)	(84, 42.3135)	(85, 42.4796)	(86, 42.3118)	(87, 42.1473)	(88, 42.004799999999996)	(89, 42.1)	(90, 42.0422)	(91, 42.256)	(92, 42.0066)	(93, 41.8906)	(94, 41.7979)	(95, 41.1308)	(96, 41.0399)	(97, 39.0713)	(98, 35.6601)	(99, 37.702999999999996)	(100, 32.636900000000004)
PGDX16571P_WGS	(1, 53.8067)	(2, 55.877500000000005)	(3, 39.066)	(4, 44.5769)	(5, 41.5123)	(6, 40.3864)	(7, 36.0751)	(8, 38.729200000000006)	(9, 39.7168)	(10, 45.4245)	(11, 46.3176)	(12, 45.6686)	(13, 42.1446)	(14, 44.4313)	(15, 44.189)	(16, 41.9794)	(17, 44.5741)	(18, 42.091699999999996)	(19, 41.929100000000005)	(20, 45.040200000000006)	(21, 45.4152)	(22, 45.0626)	(23, 42.0027)	(24, 41.3165)	(25, 41.7491)	(26, 44.7251)	(27, 42.2472)	(28, 45.3152)	(29, 42.8514)	(30, 44.8683)	(31, 42.1531)	(32, 42.1939)	(33, 43.1929)	(34, 42.7278)	(35, 43.3068)	(36, 43.7579)	(37, 42.939899999999994)	(38, 43.0889)	(39, 42.0275)	(40, 44.8292)	(41, 42.6319)	(42, 44.5652)	(43, 41.7404)	(44, 41.106700000000004)	(45, 43.5998)	(46, 41.660000000000004)	(47, 41.424)	(48, 44.0343)	(49, 42.0091)	(50, 44.6317)	(51, 45.080999999999996)	(52, 43.904700000000005)	(53, 41.586)	(54, 44.0914)	(55, 44.5352)	(56, 42.3478)	(57, 43.7182)	(58, 44.4477)	(59, 44.202200000000005)	(60, 44.5599)	(61, 44.7845)	(62, 42.6201)	(63, 41.4122)	(64, 41.077000000000005)	(65, 43.6413)	(66, 41.7234)	(67, 41.2986)	(68, 41.4959)	(69, 41.4518)	(70, 41.1304)	(71, 41.2416)	(72, 40.9561)	(73, 41.324)	(74, 41.194399999999995)	(75, 41.1369)	(76, 41.2288)	(77, 41.3251)	(78, 41.4804)	(79, 41.652499999999996)	(80, 42.093)	(81, 42.174)	(82, 42.146499999999996)	(83, 42.4974)	(84, 42.527)	(85, 42.6872)	(86, 42.4612)	(87, 42.478)	(88, 42.1314)	(89, 42.3474)	(90, 42.3214)	(91, 42.5711)	(92, 42.2547)	(93, 42.2447)	(94, 42.0825)	(95, 41.438399999999994)	(96, 41.3988)	(97, 39.4588)	(98, 35.9452)	(99, 38.0208)	(100, 32.854299999999995)
PGDX16585P_WGS	(1, 54.6534)	(2, 57.092699999999994)	(3, 37.0535)	(4, 42.5995)	(5, 39.484700000000004)	(6, 40.623599999999996)	(7, 36.2866)	(8, 36.397200000000005)	(9, 39.8989)	(10, 43.3738)	(11, 44.2587)	(12, 43.6649)	(13, 42.4422)	(14, 42.296299999999995)	(15, 41.9928)	(16, 42.116)	(17, 42.4352)	(18, 42.3438)	(19, 42.2823)	(20, 42.9062)	(21, 43.3435)	(22, 42.9671)	(23, 42.131600000000006)	(24, 41.6161)	(25, 42.0969)	(26, 42.5556)	(27, 42.4681)	(28, 43.242599999999996)	(29, 43.0502)	(30, 42.8461)	(31, 42.429899999999996)	(32, 41.9142)	(33, 41.8812)	(34, 42.158699999999996)	(35, 42.302800000000005)	(36, 42.356100000000005)	(37, 42.0549)	(38, 42.1246)	(39, 42.1855)	(40, 42.7656)	(41, 42.843399999999995)	(42, 42.5034)	(43, 42.004999999999995)	(44, 41.4198)	(45, 41.4981)	(46, 41.7448)	(47, 41.672)	(48, 42.0421)	(49, 42.221599999999995)	(50, 42.5639)	(51, 42.8448)	(52, 41.708600000000004)	(53, 41.5653)	(54, 41.8853)	(55, 42.3003)	(56, 42.1225)	(57, 41.6325)	(58, 42.2493)	(59, 41.9791)	(60, 42.3519)	(61, 42.5767)	(62, 42.3325)	(63, 41.6081)	(64, 41.3348)	(65, 41.530699999999996)	(66, 41.7503)	(67, 41.548)	(68, 41.7709)	(69, 41.7847)	(70, 41.3877)	(71, 41.5687)	(72, 41.315200000000004)	(73, 41.6053)	(74, 41.4931)	(75, 41.4203)	(76, 41.477199999999996)	(77, 41.647600000000004)	(78, 41.7703)	(79, 41.862300000000005)	(80, 42.3008)	(81, 42.248200000000004)	(82, 42.1601)	(83, 42.410199999999996)	(84, 42.3294)	(85, 42.3866)	(86, 42.158)	(87, 42.032199999999996)	(88, 41.761900000000004)	(89, 41.9032)	(90, 41.8388)	(91, 41.9857)	(92, 41.7699)	(93, 41.6222)	(94, 41.472300000000004)	(95, 40.7847)	(96, 40.6973)	(97, 38.6993)	(98, 35.2328)	(99, 37.3128)	(100, 32.251000000000005)
PGDX16587P_WGS	(1, 55.254400000000004)	(2, 56.9828)	(3, 38.8611)	(4, 44.2866)	(5, 41.2919)	(6, 41.1959)	(7, 36.9251)	(8, 38.3623)	(9, 40.5332)	(10, 45.067800000000005)	(11, 45.9513)	(12, 45.3424)	(13, 42.9256)	(14, 44.025999999999996)	(15, 43.7667)	(16, 42.6247)	(17, 44.1104)	(18, 42.7267)	(19, 42.623)	(20, 44.559599999999996)	(21, 45.005)	(22, 44.6409)	(23, 42.794399999999996)	(24, 42.1468)	(25, 42.5697)	(26, 44.3491)	(27, 43.008)	(28, 44.958)	(29, 43.564)	(30, 44.5451)	(31, 42.8824)	(32, 42.370000000000005)	(33, 43.1785)	(34, 43.695499999999996)	(35, 42.8625)	(36, 43.208999999999996)	(37, 42.9033)	(38, 44.0551)	(39, 42.7175)	(40, 44.4003)	(41, 43.337900000000005)	(42, 44.203399999999995)	(43, 42.4496)	(44, 41.8999)	(45, 43.2964)	(46, 42.3588)	(47, 42.196600000000004)	(48, 43.7165)	(49, 42.714)	(50, 44.2603)	(51, 44.6966)	(52, 43.5105)	(53, 42.1705)	(54, 43.722100000000005)	(55, 44.1721)	(56, 42.8284)	(57, 43.3996)	(58, 44.0501)	(59, 43.7799)	(60, 44.179)	(61, 44.374)	(62, 43.009100000000004)	(63, 42.1035)	(64, 41.8431)	(65, 43.3248)	(66, 42.3745)	(67, 42.1051)	(68, 42.2725)	(69, 42.257099999999994)	(70, 41.919000000000004)	(71, 42.1269)	(72, 41.8528)	(73, 42.1187)	(74, 41.9773)	(75, 41.969)	(76, 42.0553)	(77, 42.1851)	(78, 42.2952)	(79, 42.4144)	(80, 42.877500000000005)	(81, 42.9415)	(82, 42.8894)	(83, 43.154900000000005)	(84, 43.106899999999996)	(85, 43.2367)	(86, 43.019)	(87, 42.938700000000004)	(88, 42.6433)	(89, 42.8542)	(90, 42.7254)	(91, 42.8996)	(92, 42.6315)	(93, 42.5358)	(94, 42.4085)	(95, 41.6943)	(96, 41.680299999999995)	(97, 39.6725)	(98, 36.1749)	(99, 38.2218)	(100, 33.0496)
PGDX16592P_WGS	(1, 54.3878)	(2, 55.405)	(3, 38.0531)	(4, 46.0814)	(5, 42.825)	(6, 43.065599999999996)	(7, 35.9924)	(8, 37.0774)	(9, 42.045700000000004)	(10, 43.4734)	(11, 47.1939)	(12, 46.6279)	(13, 44.5465)	(14, 42.6824)	(15, 45.1628)	(16, 44.230599999999995)	(17, 42.6436)	(18, 44.2733)	(19, 41.4097)	(20, 43.0406)	(21, 46.1469)	(22, 45.854)	(23, 44.2553)	(24, 40.9517)	(25, 41.4026)	(26, 42.9943)	(27, 44.5815)	(28, 43.463)	(29, 45.020500000000006)	(30, 43.0423)	(31, 44.4329)	(32, 42.4535)	(33, 44.5734)	(34, 43.1182)	(35, 43.1977)	(36, 42.983399999999996)	(37, 43.3594)	(38, 43.5175)	(39, 42.6007)	(40, 44.549)	(41, 44.811299999999996)	(42, 42.770799999999994)	(43, 44.0314)	(44, 40.7255)	(45, 41.8906)	(46, 43.9334)	(47, 41.085899999999995)	(48, 42.4636)	(49, 44.2748)	(50, 42.8812)	(51, 45.9418)	(52, 44.8649)	(53, 43.7192)	(54, 42.337599999999995)	(55, 45.411)	(56, 44.3202)	(57, 42.107499999999995)	(58, 45.2973)	(59, 45.082)	(60, 45.362700000000004)	(61, 45.5586)	(62, 44.3052)	(63, 40.9272)	(64, 40.678599999999996)	(65, 41.934)	(66, 43.8412)	(67, 40.9424)	(68, 41.0882)	(69, 41.0572)	(70, 40.8168)	(71, 40.955000000000005)	(72, 40.6161)	(73, 40.8827)	(74, 40.801300000000005)	(75, 40.7349)	(76, 40.8802)	(77, 40.9624)	(78, 41.0913)	(79, 41.1575)	(80, 41.6789)	(81, 41.859)	(82, 41.856300000000005)	(83, 42.2003)	(84, 42.2261)	(85, 42.445100000000004)	(86, 42.3959)	(87, 42.3673)	(88, 42.1256)	(89, 42.1723)	(90, 42.2613)	(91, 42.3994)	(92, 42.053000000000004)	(93, 42.044599999999996)	(94, 42.0034)	(95, 41.3425)	(96, 41.362)	(97, 39.4867)	(98, 35.910399999999996)	(99, 37.8688)	(100, 32.7)
PGDX17776P8_WGS	(1, 56.5675)	(2, 54.4585)	(3, 38.231700000000004)	(4, 42.361399999999996)	(5, 40.025800000000004)	(6, 41.1184)	(7, 35.9887)	(8, 36.727399999999996)	(9, 40.6619)	(10, 42.1208)	(11, 43.911699999999996)	(12, 43.312)	(13, 42.4486)	(14, 41.1068)	(15, 42.1846)	(16, 42.4273)	(17, 41.4273)	(18, 42.4954)	(19, 41.349999999999994)	(20, 41.7299)	(21, 43.2876)	(22, 42.7591)	(23, 42.1915)	(24, 40.7631)	(25, 41.143)	(26, 41.583999999999996)	(27, 42.7423)	(28, 42.1225)	(29, 43.1552)	(30, 41.7669)	(31, 42.5858)	(32, 40.9529)	(33, 41.023399999999995)	(34, 42.1644)	(35, 42.2842)	(36, 41.4524)	(37, 41.488)	(38, 41.8666)	(39, 42.3291)	(40, 41.659800000000004)	(41, 42.9794)	(42, 41.409800000000004)	(43, 42.0905)	(44, 40.4593)	(45, 40.6654)	(46, 42.0146)	(47, 40.7393)	(48, 41.0726)	(49, 42.325)	(50, 41.557300000000005)	(51, 42.802299999999995)	(52, 41.7628)	(53, 41.6289)	(54, 40.958)	(55, 42.3873)	(56, 42.1612)	(57, 40.809)	(58, 42.188900000000004)	(59, 42.0397)	(60, 42.3111)	(61, 42.5044)	(62, 42.1629)	(63, 40.5126)	(64, 40.2959)	(65, 40.5208)	(66, 41.8678)	(67, 40.5873)	(68, 40.717999999999996)	(69, 40.6682)	(70, 40.4475)	(71, 40.5696)	(72, 40.276)	(73, 40.495)	(74, 40.3388)	(75, 40.467)	(76, 40.5696)	(77, 40.5975)	(78, 40.6823)	(79, 40.7919)	(80, 41.308499999999995)	(81, 41.3185)	(82, 41.3042)	(83, 41.531)	(84, 41.475699999999996)	(85, 41.692299999999996)	(86, 41.428)	(87, 41.2597)	(88, 41.0544)	(89, 41.2118)	(90, 41.1936)	(91, 41.3234)	(92, 41.0567)	(93, 40.9418)	(94, 40.812)	(95, 40.1896)	(96, 40.104)	(97, 38.2475)	(98, 34.7144)	(99, 36.8337)	(100, 31.860699999999998)
PGDX17778P9_WGS	(1, 55.9647)	(2, 53.2037)	(3, 34.9763)	(4, 45.5467)	(5, 43.2834)	(6, 43.9668)	(7, 34.0221)	(8, 34.6027)	(9, 43.4182)	(10, 40.4922)	(11, 47.397099999999995)	(12, 46.550799999999995)	(13, 45.5068)	(14, 39.6427)	(15, 45.118399999999994)	(16, 45.3756)	(17, 39.6993)	(18, 45.3834)	(19, 39.4914)	(20, 39.9192)	(21, 46.204299999999996)	(22, 45.6637)	(23, 45.0703)	(24, 38.899499999999996)	(25, 39.2122)	(26, 39.7843)	(27, 45.3761)	(28, 40.346199999999996)	(29, 45.886300000000006)	(30, 40.1398)	(31, 45.4079)	(32, 39.2707)	(33, 42.7481)	(34, 41.8182)	(35, 42.1712)	(36, 42.2568)	(37, 42.7716)	(38, 40.6021)	(39, 42.6374)	(40, 40.45)	(41, 45.6488)	(42, 39.627)	(43, 44.7504)	(44, 38.604699999999994)	(45, 38.716)	(46, 44.4243)	(47, 38.9632)	(48, 39.2225)	(49, 44.6317)	(50, 39.7688)	(51, 45.453900000000004)	(52, 44.4193)	(53, 44.3718)	(54, 39.5595)	(55, 45.1335)	(56, 45.0343)	(57, 39.447700000000005)	(58, 44.737700000000004)	(59, 44.7404)	(60, 45.055)	(61, 45.3166)	(62, 44.9915)	(63, 39.6131)	(64, 38.84)	(65, 38.9897)	(66, 44.4043)	(67, 39.0043)	(68, 39.0593)	(69, 39.015899999999995)	(70, 38.6399)	(71, 38.7741)	(72, 38.4332)	(73, 38.6685)	(74, 38.569700000000005)	(75, 38.5589)	(76, 38.7269)	(77, 38.778800000000004)	(78, 38.8928)	(79, 39.0396)	(80, 40.206599999999995)	(81, 40.7252)	(82, 40.9456)	(83, 41.4687)	(84, 41.620200000000004)	(85, 41.8886)	(86, 41.8262)	(87, 41.6424)	(88, 41.5841)	(89, 41.6492)	(90, 41.601)	(91, 41.8865)	(92, 41.5565)	(93, 41.4856)	(94, 41.4127)	(95, 40.793099999999995)	(96, 40.7883)	(97, 38.9019)	(98, 35.4877)	(99, 37.4773)	(100, 32.564)
