Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 0.0429514)	(2, 0.000161495)	(3, 0.000178274)	(4, 0.00019715000000000002)	(5, 0.0097673)	(6, 0.00025587499999999997)	(7, 0.000289433)	(8, 0.000320893)	(9, 0.0007990860000000001)	(10, 0.000411078)	(11, 0.0005075559999999999)	(12, 0.000576768)	(13, 0.000801183)	(14, 0.0008305459999999999)	(15, 0.0008536160000000001)	(16, 0.000880882)	(17, 0.000922829)	(18, 0.0009500940000000001)	(19, 0.000975262)	(20, 0.0010214)	(21, 0.00106545)	(22, 0.00111578)	(23, 0.00654789)	(24, 0.00143248)	(25, 0.00163173)	(26, 0.00222947)	(27, 0.00142409)	(28, 0.0014954)	(29, 0.00156881)	(30, 0.00225464)	(31, 0.009400269999999999)	(32, 0.0036242)	(33, 0.0035570800000000002)	(34, 0.00226722)	(35, 0.00257134)	(36, 0.00267201)	(37, 0.0129657)	(38, 0.011663300000000001)	(39, 0.0143793)	(40, 0.013800499999999999)	(41, 0.00363888)	(42, 0.00306211)	(43, 0.00641995)	(44, 0.0156923)	(45, 0.00365985)	(46, 0.0124813)	(47, 0.028154699999999998)	(48, 0.0104049)	(49, 0.005392259999999999)	(50, 0.00531465)	(51, 0.033051899999999995)	(52, 0.00597322)	(53, 0.0119339)	(54, 0.00738263)	(55, 0.011422100000000001)	(56, 0.0101385)	(57, 0.0240124)	(58, 0.0318649)	(59, 0.0241844)	(60, 0.0210573)	(61, 0.0266865)	(62, 0.0122401)	(63, 0.012273599999999999)	(64, 0.0131147)	(65, 0.014100399999999999)	(66, 0.0150169)	(67, 0.0160153)	(68, 0.016980000000000002)	(69, 0.0180979)	(70, 0.019410900000000002)	(71, 0.021027900000000002)	(72, 0.0228106)	(73, 0.024740199999999997)	(74, 0.0266425)	(75, 0.0460471)	(76, 0.037448)	(77, 0.0481821)	(78, 0.0608983)	(79, 0.042661899999999996)	(80, 0.0470496)	(81, 0.0574251)	(82, 0.0833482)	(83, 0.085844)	(84, 0.0902715)	(85, 0.129884)	(86, 0.151621)	(87, 0.196154)	(88, 0.272914)	(89, 0.310123)	(90, 0.427018)	(91, 0.68998)	(92, 0.8299610000000001)	(93, 1.1182400000000001)	(94, 1.9331399999999999)	(95, 2.15257)	(96, 3.70814)	(97, 9.96712)	(98, 12.0579)	(99, 18.16)	(100, 43.773)
PGDX10625P7_WGS	(1, 0.0367877)	(2, 0.000111551)	(3, 0.000111551)	(4, 0.000126862)	(5, 0.00952337)	(6, 0.00015748299999999998)	(7, 0.00019248000000000003)	(8, 0.00020341600000000002)	(9, 0.000273409)	(10, 0.000260285)	(11, 0.000645244)	(12, 0.00035215)	(13, 0.000441828)	(14, 0.00046588799999999997)	(15, 0.000509634)	(16, 0.0005446299999999999)	(17, 0.000588375)	(18, 0.000638682)	(19, 0.00068024)	(20, 0.000726173)	(21, 0.00080054)	(22, 0.000863971)	(23, 0.00570658)	(24, 0.00100396)	(25, 0.0010827)	(26, 0.00117238)	(27, 0.00124456)	(28, 0.00234038)	(29, 0.00153109)	(30, 0.00320654)	(31, 0.00530631)	(32, 0.00768825)	(33, 0.007259540000000001)	(34, 0.00205822)	(35, 0.004123)	(36, 0.00302937)	(37, 0.0153656)	(38, 0.014840599999999999)	(39, 0.0191167)	(40, 0.008283190000000001)	(41, 0.00405301)	(42, 0.00347776)	(43, 0.0116603)	(44, 0.0188302)	(45, 0.00404863)	(46, 0.0107439)	(47, 0.026420000000000003)	(48, 0.0194689)	(49, 0.010170799999999999)	(50, 0.0106936)	(51, 0.041197199999999996)	(52, 0.0101402)	(53, 0.019097)	(54, 0.0115028)	(55, 0.015649899999999998)	(56, 0.0155537)	(57, 0.0270543)	(58, 0.0327893)	(59, 0.029746900000000003)	(60, 0.023016599999999998)	(61, 0.0349132)	(62, 0.0154727)	(63, 0.0149915)	(64, 0.0161158)	(65, 0.0172357)	(66, 0.0183906)	(67, 0.019552)	(68, 0.0207462)	(69, 0.0223473)	(70, 0.0241737)	(71, 0.026275700000000003)	(72, 0.0293772)	(73, 0.0314507)	(74, 0.035228100000000005)	(75, 0.0506615)	(76, 0.0445459)	(77, 0.0646863)	(78, 0.070885)	(79, 0.05539260000000001)	(80, 0.06185160000000001)	(81, 0.07309629999999999)	(82, 0.09855389999999999)	(83, 0.11096199999999999)	(84, 0.11932200000000001)	(85, 0.150165)	(86, 0.19954500000000003)	(87, 0.23669300000000001)	(88, 0.32433)	(89, 0.332117)	(90, 0.460238)	(91, 0.725491)	(92, 0.8715870000000001)	(93, 1.1840899999999999)	(94, 2.0034199999999998)	(95, 2.23411)	(96, 3.7695100000000004)	(97, 9.93327)	(98, 12.0425)	(99, 18.223300000000002)	(100, 43.6826)
PGDX10626P6_WGS	(1, 1.9920799999999999)	(2, 0.0438235)	(3, 0.000107225)	(4, 0.000132454)	(5, 0.000168196)	(6, 0.000178708)	(7, 0.00021024500000000002)	(8, 0.00022496200000000002)	(9, 0.000254397)	(10, 0.000277524)	(11, 0.00033429)	(12, 0.000365827)	(13, 0.000439412)	(14, 0.000468847)	(15, 0.000485666)	(16, 0.0005129980000000001)	(17, 0.0005445350000000001)	(18, 0.000580277)	(19, 0.000624428)	(20, 0.0006790920000000001)	(21, 0.0007106290000000001)	(22, 0.000773702)	(23, 0.0008178540000000001)	(24, 0.0008767219999999999)	(25, 0.00264909)	(26, 0.00194477)	(27, 0.0015915600000000001)	(28, 0.0011016799999999998)	(29, 0.00117527)	(30, 0.00125096)	(31, 0.00135398)	(32, 0.0014254600000000001)	(33, 0.00150746)	(34, 0.0016062700000000001)	(35, 0.00170509)	(36, 0.0017828800000000001)	(37, 0.00192164)	(38, 0.00204779)	(39, 0.00220127)	(40, 0.00240941)	(41, 0.0025797100000000002)	(42, 0.0027373899999999997)	(43, 0.00290559)	(44, 0.00309691)	(45, 0.0032567000000000004)	(46, 0.00347746)	(47, 0.00367929)	(48, 0.00393999)	(49, 0.0041986)	(50, 0.004558120000000001)	(51, 0.00500173)	(52, 0.00526033)	(53, 0.00986891)	(54, 0.00675518)	(55, 0.0071167999999999995)	(56, 0.00727448)	(57, 0.00774964)	(58, 0.00862636)	(59, 0.008842909999999999)	(60, 0.00956826)	(61, 0.0102621)	(62, 0.0111535)	(63, 0.0117359)	(64, 0.0126231)	(65, 0.0134662)	(66, 0.0144018)	(67, 0.0152575)	(68, 0.0162225)	(69, 0.0172569)	(70, 0.0185142)	(71, 0.019824)	(72, 0.021297800000000002)	(73, 0.0225383)	(74, 0.0238397)	(75, 0.0252778)	(76, 0.0273193)	(77, 0.0303594)	(78, 0.0325144)	(79, 0.0370116)	(80, 0.0393537)	(81, 0.045183799999999996)	(82, 0.055744400000000006)	(83, 0.0613243)	(84, 0.0723517)	(85, 0.107442)	(86, 0.122884)	(87, 0.16631)	(88, 0.237287)	(89, 0.275575)	(90, 0.39086)	(91, 0.6610630000000001)	(92, 0.774812)	(93, 1.06874)	(94, 1.88349)	(95, 2.1111)	(96, 3.6548999999999996)	(97, 9.91759)	(98, 12.014800000000001)	(99, 18.1471)	(100, 43.784099999999995)
PGDX10626P7_WGS	(1, 1.9878300000000002)	(2, 0.0450327)	(3, 0.000422595)	(4, 0.00044362)	(5, 0.000487772)	(6, 0.000517206)	(7, 0.000544538)	(8, 0.000594997)	(9, 0.000645457)	(10, 0.000727453)	(11, 0.0008346779999999999)	(12, 0.000929289)	(13, 0.00134137)	(14, 0.00138763)	(15, 0.0014254699999999999)	(16, 0.0014633200000000002)	(17, 0.00151588)	(18, 0.00154952)	(19, 0.00160208)	(20, 0.00166936)	(21, 0.00171561)	(22, 0.0017681700000000001)	(23, 0.00181443)	(24, 0.00185648)	(25, 0.00356998)	(26, 0.00292873)	(27, 0.00254398)	(28, 0.0021319)	(29, 0.00219497)	(30, 0.00225174)	(31, 0.00232112)	(32, 0.00241363)	(33, 0.00249983)	(34, 0.00258813)	(35, 0.00287827)	(36, 0.00296868)	(37, 0.0030969300000000003)	(38, 0.00320626)	(39, 0.00345014)	(40, 0.00368772)	(41, 0.00388325)	(42, 0.00436472)	(43, 0.0045203)	(44, 0.0046758799999999994)	(45, 0.00484198)	(46, 0.00507535)	(47, 0.00531924)	(48, 0.00566404)	(49, 0.006074019999999999)	(50, 0.00638939)	(51, 0.00687926)	(52, 0.00710212)	(53, 0.0116855)	(54, 0.00857175)	(55, 0.00882194)	(56, 0.00889763)	(57, 0.00933284)	(58, 0.0102558)	(59, 0.0103567)	(60, 0.011052699999999999)	(61, 0.011857900000000001)	(62, 0.012749300000000002)	(63, 0.013388500000000001)	(64, 0.014218999999999999)	(65, 0.015165099999999999)	(66, 0.016024999999999998)	(67, 0.016859700000000002)	(68, 0.0178058)	(69, 0.0188044)	(70, 0.0200491)	(71, 0.0212286)	(72, 0.0227844)	(73, 0.0240606)	(74, 0.0252317)	(75, 0.026728599999999998)	(76, 0.0289951)	(77, 0.0331559)	(78, 0.0353382)	(79, 0.0402832)	(80, 0.0426296)	(81, 0.0487015)	(82, 0.0602482)	(83, 0.06627179999999999)	(84, 0.0780288)	(85, 0.11339900000000001)	(86, 0.129144)	(87, 0.172553)	(88, 0.244729)	(89, 0.283694)	(90, 0.404972)	(91, 0.681741)	(92, 0.797667)	(93, 1.09273)	(94, 1.90652)	(95, 2.13747)	(96, 3.6828899999999996)	(97, 9.941329999999999)	(98, 12.0493)	(99, 18.1426)	(100, 43.8356)
PGDX16571P_WGS	(1, 0.0457033)	(2, 0.00010782300000000001)	(3, 0.0011742900000000001)	(4, 0.0012174199999999999)	(5, 0.0162029)	(6, 0.000505788)	(7, 0.000648899)	(8, 0.00218195)	(9, 0.0017957399999999999)	(10, 0.00140758)	(11, 0.0017839800000000001)	(12, 0.00205844)	(13, 0.00268185)	(14, 0.0025348199999999997)	(15, 0.00266617)	(16, 0.0030896199999999995)	(17, 0.00317392)	(18, 0.00316412)	(19, 0.0034777799999999998)	(20, 0.00640469)	(21, 0.0045030800000000005)	(22, 0.00393064)	(23, 0.004105119999999999)	(24, 0.0042991999999999995)	(25, 0.00447172)	(26, 0.00471873)	(27, 0.0050872899999999995)	(28, 0.0053970400000000005)	(29, 0.00521668)	(30, 0.00539115)	(31, 0.00551074)	(32, 0.0056813)	(33, 0.0059832)	(34, 0.00604397)	(35, 0.00623609)	(36, 0.0064341)	(37, 0.00661838)	(38, 0.00685363)	(39, 0.00712024)	(40, 0.00776914)	(41, 0.012381999999999999)	(42, 0.012613300000000001)	(43, 0.012781899999999999)	(44, 0.0130446)	(45, 0.013223)	(46, 0.0134328)	(47, 0.0136386)	(48, 0.0139798)	(49, 0.0143169)	(50, 0.0153658)	(51, 0.0156285)	(52, 0.015912700000000002)	(53, 0.0162793)	(54, 0.0165224)	(55, 0.0168282)	(56, 0.0172674)	(57, 0.0174399)	(58, 0.0177496)	(59, 0.0186161)	(60, 0.0191121)	(61, 0.0261304)	(62, 0.0195395)	(63, 0.0201139)	(64, 0.0206883)	(65, 0.0227703)	(66, 0.021692)	(67, 0.0222076)	(68, 0.022846699999999998)	(69, 0.023440700000000002)	(70, 0.0243268)	(71, 0.0252522)	(72, 0.026099100000000004)	(73, 0.0271557)	(74, 0.0280183)	(75, 0.0293044)	(76, 0.031252999999999996)	(77, 0.0329233)	(78, 0.0351444)	(79, 0.039063299999999995)	(80, 0.0425803)	(81, 0.0484498)	(82, 0.059863400000000004)	(83, 0.0660838)	(84, 0.0779228)	(85, 0.11338699999999999)	(86, 0.128903)	(87, 0.172991)	(88, 0.245686)	(89, 0.286425)	(90, 0.403729)	(91, 0.680377)	(92, 0.7994140000000001)	(93, 1.1011)	(94, 1.92377)	(95, 2.15659)	(96, 3.70399)	(97, 9.85403)	(98, 11.9602)	(99, 18.0995)	(100, 43.4284)
PGDX16585P_WGS	(1, 1.0692)	(2, 0.000132071)	(3, 0.00015461999999999998)	(4, 0.000235151)	(5, 0.00041232)	(6, 0.0005025149999999999)	(7, 0.000557277)	(8, 0.000637808)	(9, 0.000760215)	(10, 0.0008439680000000001)	(11, 0.00106946)	(12, 0.00122408)	(13, 0.00149466)	(14, 0.00162029)	(15, 0.00179424)	(16, 0.00188121)	(17, 0.00203583)	(18, 0.00214213)	(19, 0.00228387)	(20, 0.00241594)	(21, 0.002577)	(22, 0.00269941)	(23, 0.00284437)	(24, 0.00298932)	(25, 0.00379141)	(26, 0.0042295)	(27, 0.00404267)	(28, 0.00365934)	(29, 0.00381718)	(30, 0.0039718)	(31, 0.00408455)	(32, 0.0042134)	(33, 0.00432614)	(34, 0.0044710999999999996)	(35, 0.00461605)	(36, 0.00473846)	(37, 0.00491885)	(38, 0.0051089099999999995)	(39, 0.0052731900000000005)	(40, 0.00565008)	(41, 0.007566720000000001)	(42, 0.0077535500000000005)	(43, 0.00791462)	(44, 0.00807246)	(45, 0.00824318)	(46, 0.00843646)	(47, 0.00864262)	(48, 0.00884234)	(49, 0.00906782)	(50, 0.00956712)	(51, 0.0098216)	(52, 0.010124399999999999)	(53, 0.010343399999999999)	(54, 0.010565699999999999)	(55, 0.0109136)	(56, 0.0112486)	(57, 0.0115836)	(58, 0.0120185)	(59, 0.012427599999999999)	(60, 0.012856)	(61, 0.0133714)	(62, 0.013864300000000001)	(63, 0.014395799999999999)	(64, 0.0149369)	(65, 0.015500700000000001)	(66, 0.0263885)	(67, 0.0322318)	(68, 0.0391028)	(69, 0.0332272)	(70, 0.0233766)	(71, 0.0203358)	(72, 0.021537300000000002)	(73, 0.0227324)	(74, 0.0236955)	(75, 0.0250291)	(76, 0.0268652)	(77, 0.0287787)	(78, 0.0310303)	(79, 0.0351213)	(80, 0.0395924)	(81, 0.0449526)	(82, 0.056826100000000004)	(83, 0.0620123)	(84, 0.0739535)	(85, 0.109767)	(86, 0.125291)	(87, 0.16947299999999998)	(88, 0.241781)	(89, 0.28197500000000003)	(90, 0.406126)	(91, 0.692482)	(92, 0.802452)	(93, 1.10954)	(94, 1.92375)	(95, 2.15258)	(96, 3.7172400000000003)	(97, 10.0442)	(98, 12.185699999999999)	(99, 18.3485)	(100, 43.9976)
PGDX16587P_WGS	(1, 0.07933420000000001)	(2, 0.00038255099999999996)	(3, 0.000416522)	(4, 0.0004918510000000001)	(5, 0.000617398)	(6, 0.000689773)	(7, 0.000809412)	(8, 0.0008965570000000001)	(9, 0.00109448)	(10, 0.00117719)	(11, 0.00149475)	(12, 0.00207227)	(13, 0.00236177)	(14, 0.00251538)	(15, 0.0026557)	(16, 0.00278715)	(17, 0.00294963)	(18, 0.0030929)	(19, 0.00325537)	(20, 0.0034533000000000003)	(21, 0.00360986)	(22, 0.00373541)	(23, 0.00398059)	(24, 0.00415932)	(25, 0.00455516)	(26, 0.0064280299999999995)	(27, 0.00625374)	(28, 0.00505735)	(29, 0.00486386)	(30, 0.00500122)	(31, 0.00517256)	(32, 0.00533503)	(33, 0.00548273)	(34, 0.00566736)	(35, 0.00581359)	(36, 0.00593471)	(37, 0.00609718)	(38, 0.00625965)	(39, 0.0064280299999999995)	(40, 0.006553580000000001)	(41, 0.00673378)	(42, 0.0068829600000000005)	(43, 0.00704248)	(44, 0.00722563)	(45, 0.00738367)	(46, 0.00757273)	(47, 0.007794290000000001)	(48, 0.00801732)	(49, 0.008417589999999999)	(50, 0.00881491)	(51, 0.00908373)	(52, 0.009330399999999999)	(53, 0.00967898)	(54, 0.00994779)	(55, 0.0102402)	(56, 0.0105741)	(57, 0.010961)	(58, 0.0113111)	(59, 0.0116951)	(60, 0.0121737)	(61, 0.012689200000000001)	(62, 0.013215)	(63, 0.0137349)	(64, 0.0142888)	(65, 0.0148501)	(66, 0.0209546)	(67, 0.024823)	(68, 0.039687799999999995)	(69, 0.0306897)	(70, 0.0203357)	(71, 0.0196046)	(72, 0.020642999999999998)	(73, 0.0218246)	(74, 0.0228127)	(75, 0.0242144)	(76, 0.0261213)	(77, 0.027830200000000003)	(78, 0.0302097)	(79, 0.0344384)	(80, 0.0384751)	(81, 0.0503874)	(82, 0.0605656)	(83, 0.06455509999999999)	(84, 0.0769296)	(85, 0.11330599999999999)	(86, 0.129784)	(87, 0.174925)	(88, 0.24953499999999998)	(89, 0.291131)	(90, 0.41114)	(91, 0.6961890000000001)	(92, 0.8161740000000001)	(93, 1.12582)	(94, 1.95858)	(95, 2.19433)	(96, 3.74783)	(97, 9.902890000000001)	(98, 12.0141)	(99, 18.2008)	(100, 43.3187)
PGDX16592P_WGS	(1, 0.201046)	(2, 0.00019812499999999998)	(3, 0.00026061)	(4, 0.000313952)	(5, 0.00040539399999999995)	(6, 0.000477024)	(7, 0.000589803)	(8, 0.000731538)	(9, 0.0009037540000000001)	(10, 0.00108816)	(11, 0.00137316)	(12, 0.0015301299999999998)	(13, 0.00210927)	(14, 0.00222967)	(15, 0.00236683)	(16, 0.00247351)	(17, 0.00257715)	(18, 0.0027005899999999997)	(19, 0.0028682399999999998)	(20, 0.00300388)	(21, 0.0031486599999999997)	(22, 0.00326754)	(23, 0.00340775)	(24, 0.0035388200000000002)	(25, 0.0036927400000000003)	(26, 0.00382991)	(27, 0.0043176)	(28, 0.0041042299999999995)	(29, 0.00441361)	(30, 0.00528384)	(31, 0.0044761)	(32, 0.00462393)	(33, 0.00491959)	(34, 0.00488149)	(35, 0.00578982)	(36, 0.00537071)	(37, 0.00532804)	(38, 0.005472820000000001)	(39, 0.00563284)	(40, 0.00582792)	(41, 0.0060108)	(42, 0.006210449999999999)	(43, 0.00642077)	(44, 0.006614319999999999)	(45, 0.0068414)	(46, 0.007059339999999999)	(47, 0.0073291)	(48, 0.00762476)	(49, 0.00814141)	(50, 0.010540200000000001)	(51, 0.010890799999999999)	(52, 0.0111392)	(53, 0.0114196)	(54, 0.015054399999999999)	(55, 0.0166806)	(56, 0.012291400000000001)	(57, 0.012634300000000001)	(58, 0.0129787)	(59, 0.013342900000000001)	(60, 0.013819999999999999)	(61, 0.0142025)	(62, 0.015856099999999998)	(63, 0.015186999999999999)	(64, 0.0163682)	(65, 0.0166212)	(66, 0.0169884)	(67, 0.0175462)	(68, 0.0181284)	(69, 0.0187487)	(70, 0.019529)	(71, 0.0202727)	(72, 0.0210241)	(73, 0.021908)	(74, 0.0225939)	(75, 0.0235891)	(76, 0.025844600000000002)	(77, 0.027127899999999996)	(78, 0.0288592)	(79, 0.032137399999999997)	(80, 0.0344326)	(81, 0.0388645)	(82, 0.049654699999999996)	(83, 0.0537665)	(84, 0.0641955)	(85, 0.0991935)	(86, 0.11391699999999999)	(87, 0.155871)	(88, 0.22625399999999998)	(89, 0.26375)	(90, 0.380828)	(91, 0.653952)	(92, 0.7634679999999999)	(93, 1.0569600000000001)	(94, 1.8742100000000002)	(95, 2.10508)	(96, 3.66506)	(97, 9.84375)	(98, 11.966000000000001)	(99, 18.0943)	(100, 43.6046)
PGDX17776P8_WGS	(1, 0.0521233)	(2, 0.00578871)	(3, 0.00492755)	(4, 0.00913692)	(5, 0.00536977)	(6, 0.00546619)	(7, 0.0055942)	(8, 0.00576876)	(9, 0.00594498)	(10, 0.00608795)	(11, 0.006511879999999999)	(12, 0.0067196899999999995)	(13, 0.007786990000000001)	(14, 0.007645689999999999)	(15, 0.00793163)	(16, 0.00818765)	(17, 0.00884266)	(18, 0.00867808)	(19, 0.00933143)	(20, 0.00906377)	(21, 0.009399590000000001)	(22, 0.009544219999999999)	(23, 0.00975369)	(24, 0.00998976)	(25, 0.0102824)	(26, 0.0105134)	(27, 0.0210352)	(28, 0.0425907)	(29, 0.0631771)	(30, 0.0752266)	(31, 0.08326470000000001)	(32, 0.0800478)	(33, 0.0668029)	(34, 0.0534483)	(35, 0.041048)	(36, 0.0257084)	(37, 0.0157968)	(38, 0.015504200000000001)	(39, 0.013552400000000001)	(40, 0.0134277)	(41, 0.013722)	(42, 0.0139664)	(43, 0.0142041)	(44, 0.0144718)	(45, 0.0150653)	(46, 0.0149855)	(47, 0.015758499999999998)	(48, 0.0162357)	(49, 0.017796700000000002)	(50, 0.0208357)	(51, 0.021775)	(52, 0.0198299)	(53, 0.0212463)	(54, 0.0208074)	(55, 0.0211715)	(56, 0.0217467)	(57, 0.0223951)	(58, 0.0230784)	(59, 0.024950299999999998)	(60, 0.0249353)	(61, 0.0257416)	(62, 0.026599499999999998)	(63, 0.027663399999999998)	(64, 0.028773999999999997)	(65, 0.0299144)	(66, 0.031149599999999996)	(67, 0.0324929)	(68, 0.0338678)	(69, 0.0354571)	(70, 0.037467)	(71, 0.0395368)	(72, 0.041826)	(73, 0.0443812)	(74, 0.0477411)	(75, 0.056487300000000004)	(76, 0.0702509)	(77, 0.0683324)	(78, 0.0681512)	(79, 0.0785333)	(80, 0.08695699999999999)	(81, 0.09393599999999999)	(82, 0.09912460000000001)	(83, 0.11437599999999999)	(84, 0.123445)	(85, 0.160413)	(86, 0.186454)	(87, 0.22498)	(88, 0.306755)	(89, 0.342453)	(90, 0.46113)	(91, 0.735525)	(92, 0.8524179999999999)	(93, 1.15501)	(94, 1.9598399999999998)	(95, 2.19053)	(96, 3.75319)	(97, 10.168199999999999)	(98, 12.295)	(99, 18.3354)	(100, 44.3636)
PGDX17778P9_WGS	(1, 0.0452121)	(2, 0.000510833)	(3, 0.000686362)	(4, 0.00614575)	(5, 0.0138285)	(6, 0.000702114)	(7, 0.0007741260000000001)	(8, 0.000855139)	(9, 0.00102167)	(10, 0.0012602099999999999)	(11, 0.00151675)	(12, 0.0018498000000000002)	(13, 0.00260592)	(14, 0.00269594)	(15, 0.0027724499999999997)	(16, 0.00289172)	(17, 0.00357133)	(18, 0.00300424)	(19, 0.00332154)	(20, 0.00400115)	(21, 0.00334404)	(22, 0.00344981)	(23, 0.00355333)	(24, 0.0036523399999999996)	(25, 0.00380312)	(26, 0.00389538)	(27, 0.0108985)	(28, 0.0318089)	(29, 0.05436660000000001)	(30, 0.0670137)	(31, 0.07534)	(32, 0.0756821)	(33, 0.0646103)	(34, 0.0505905)	(35, 0.0425994)	(36, 0.0239304)	(37, 0.0105655)	(38, 0.00578119)	(39, 0.00585095)	(40, 0.00587571)	(41, 0.00610299)	(42, 0.00621776)	(43, 0.00638654)	(44, 0.006593570000000001)	(45, 0.00678485)	(46, 0.007016640000000001)	(47, 0.00744646)	(48, 0.00984985)	(49, 0.007811019999999999)	(50, 0.00975984)	(51, 0.0105565)	(52, 0.00941328)	(53, 0.0112316)	(54, 0.00973734)	(55, 0.0101627)	(56, 0.0106037)	(57, 0.0112136)	(58, 0.0117829)	(59, 0.0124805)	(60, 0.013155600000000002)	(61, 0.013916300000000001)	(62, 0.0179647)	(63, 0.015469)	(64, 0.0162724)	(65, 0.0172918)	(66, 0.0182212)	(67, 0.0191056)	(68, 0.0200103)	(69, 0.0210994)	(70, 0.022400100000000003)	(71, 0.0239732)	(72, 0.0260772)	(73, 0.0275377)	(74, 0.029810600000000003)	(75, 0.033447199999999996)	(76, 0.0461955)	(77, 0.0518484)	(78, 0.0468369)	(79, 0.053857999999999996)	(80, 0.0594344)	(81, 0.06409039999999999)	(82, 0.0774689)	(83, 0.08660989999999999)	(84, 0.0962932)	(85, 0.13161699999999998)	(86, 0.158372)	(87, 0.194429)	(88, 0.270332)	(89, 0.30278900000000003)	(90, 0.426012)	(91, 0.718184)	(92, 0.823641)	(93, 1.13346)	(94, 1.94445)	(95, 2.17259)	(96, 3.73971)	(97, 10.0312)	(98, 12.1442)	(99, 18.1796)	(100, 44.0514)
