Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 31.148)	(2, 31.5654)	(3, 31.6677)	(4, 31.4737)	(5, 31.4722)	(6, 35.3987)	(7, 35.5467)	(8, 35.5359)	(9, 35.4589)	(10, 35.5943)	(11, 35.4086)	(12, 35.511)	(13, 35.42)	(14, 35.658)	(15, 35.6351)	(16, 35.4094)	(17, 35.6608)	(18, 35.5927)	(19, 35.7322)	(20, 35.6626)	(21, 35.4679)	(22, 35.4817)	(23, 35.5563)	(24, 35.6903)	(25, 35.6391)	(26, 35.6828)	(27, 35.6234)	(28, 35.6367)	(29, 35.5744)	(30, 35.6369)	(31, 35.4616)	(32, 35.6049)	(33, 35.5363)	(34, 35.6584)	(35, 35.6565)	(36, 35.6341)	(37, 35.6942)	(38, 35.588)	(39, 35.6789)	(40, 35.6355)	(41, 35.6597)	(42, 35.5843)	(43, 35.5142)	(44, 35.6451)	(45, 35.6467)	(46, 35.6353)	(47, 35.707)	(48, 35.7024)	(49, 35.7101)	(50, 35.7483)	(51, 35.7253)	(52, 35.4633)	(53, 35.6046)	(54, 35.6426)	(55, 35.5716)	(56, 35.5972)	(57, 35.6294)	(58, 35.595)	(59, 35.55)	(60, 35.5258)	(61, 35.5248)	(62, 35.3835)	(63, 35.4549)	(64, 35.4446)	(65, 35.4879)	(66, 35.4966)	(67, 35.5333)	(68, 35.5204)	(69, 35.5057)	(70, 35.5255)	(71, 35.4388)	(72, 35.4804)	(73, 35.4661)	(74, 35.3983)	(75, 35.425)	(76, 35.381)	(77, 35.3565)	(78, 35.3441)	(79, 35.2796)	(80, 35.095)	(81, 35.067)	(82, 35.0811)	(83, 35.0827)	(84, 35.0693)	(85, 35.0618)	(86, 35.0715)	(87, 35.0495)	(88, 35.017)	(89, 34.9764)	(90, 34.9472)	(91, 34.9221)	(92, 34.7823)	(93, 34.7958)	(94, 34.7652)	(95, 34.743)	(96, 34.6174)	(97, 34.6376)	(98, 34.6349)	(99, 34.6026)	(100, 34.4648)
PGDX10625P7_WGS	(1, 31.5407)	(2, 31.7806)	(3, 31.8834)	(4, 31.7286)	(5, 31.7533)	(6, 35.6642)	(7, 35.7356)	(8, 35.7641)	(9, 35.7531)	(10, 35.8093)	(11, 35.7731)	(12, 35.7403)	(13, 35.7294)	(14, 35.8158)	(15, 35.8329)	(16, 35.7862)	(17, 35.8619)	(18, 35.7902)	(19, 35.8262)	(20, 35.7946)	(21, 35.6868)	(22, 35.6829)	(23, 35.6976)	(24, 35.7949)	(25, 35.844)	(26, 35.8152)	(27, 35.7817)	(28, 35.7226)	(29, 35.7355)	(30, 35.825)	(31, 35.7324)	(32, 35.8171)	(33, 35.7708)	(34, 35.8143)	(35, 35.841)	(36, 35.7747)	(37, 35.8148)	(38, 35.8227)	(39, 35.837)	(40, 35.8535)	(41, 35.7551)	(42, 35.81)	(43, 35.7089)	(44, 35.7359)	(45, 35.7521)	(46, 35.76)	(47, 35.7969)	(48, 35.808)	(49, 35.8061)	(50, 35.8269)	(51, 35.8153)	(52, 35.723)	(53, 35.7021)	(54, 35.7339)	(55, 35.7253)	(56, 35.7285)	(57, 35.758)	(58, 35.6987)	(59, 35.686)	(60, 35.6702)	(61, 35.6524)	(62, 35.5624)	(63, 35.6052)	(64, 35.4353)	(65, 35.5598)	(66, 35.5836)	(67, 35.5901)	(68, 35.6136)	(69, 35.6173)	(70, 35.6337)	(71, 35.5916)	(72, 35.5715)	(73, 35.5746)	(74, 35.4821)	(75, 35.5036)	(76, 35.4855)	(77, 35.4562)	(78, 35.4185)	(79, 35.3864)	(80, 35.289)	(81, 35.2903)	(82, 35.2767)	(83, 35.2795)	(84, 35.2558)	(85, 35.2556)	(86, 35.2252)	(87, 35.1939)	(88, 35.1715)	(89, 35.166)	(90, 35.1489)	(91, 35.1365)	(92, 35.0704)	(93, 35.0366)	(94, 34.9714)	(95, 34.9385)	(96, 34.9042)	(97, 34.8897)	(98, 34.8016)	(99, 34.7284)	(100, 34.6325)
PGDX10626P6_WGS	(1, 31.5099)	(2, 31.8094)	(3, 31.9371)	(4, 31.7608)	(5, 31.6499)	(6, 35.7431)	(7, 35.7851)	(8, 35.7198)	(9, 35.8164)	(10, 35.7992)	(11, 35.8157)	(12, 35.6837)	(13, 35.8071)	(14, 35.8414)	(15, 35.8112)	(16, 35.8152)	(17, 35.7478)	(18, 35.7724)	(19, 35.8627)	(20, 35.7673)	(21, 35.7122)	(22, 35.5957)	(23, 35.7783)	(24, 35.8142)	(25, 35.8019)	(26, 35.6644)	(27, 35.7484)	(28, 35.567)	(29, 35.7411)	(30, 35.7082)	(31, 35.7544)	(32, 35.7456)	(33, 35.8165)	(34, 35.8423)	(35, 35.8549)	(36, 35.8788)	(37, 35.8957)	(38, 35.8969)	(39, 35.8409)	(40, 35.7298)	(41, 35.7606)	(42, 35.7518)	(43, 35.6792)	(44, 35.7151)	(45, 35.6493)	(46, 35.718)	(47, 35.7404)	(48, 35.7682)	(49, 35.7644)	(50, 35.7628)	(51, 35.6888)	(52, 35.6394)	(53, 35.6708)	(54, 35.6052)	(55, 35.5765)	(56, 35.6203)	(57, 35.6362)	(58, 35.5779)	(59, 35.6441)	(60, 35.6171)	(61, 35.5941)	(62, 35.6305)	(63, 35.6405)	(64, 35.6254)	(65, 35.5679)	(66, 35.5783)	(67, 35.5966)	(68, 35.595)	(69, 35.5758)	(70, 35.5474)	(71, 35.5277)	(72, 35.5077)	(73, 35.4869)	(74, 35.4597)	(75, 35.4775)	(76, 35.4502)	(77, 35.4332)	(78, 35.4075)	(79, 35.4068)	(80, 35.3701)	(81, 35.3593)	(82, 35.3535)	(83, 35.3372)	(84, 35.3008)	(85, 35.2709)	(86, 35.2743)	(87, 35.2656)	(88, 35.2148)	(89, 35.2235)	(90, 35.1958)	(91, 35.1344)	(92, 35.0822)	(93, 35.046)	(94, 34.999)	(95, 34.972)	(96, 34.9106)	(97, 34.8746)	(98, 34.807)	(99, 34.7146)	(100, 34.6356)
PGDX10626P7_WGS	(1, 31.532)	(2, 31.8171)	(3, 31.9463)	(4, 31.7559)	(5, 31.6488)	(6, 35.734)	(7, 35.7516)	(8, 35.732)	(9, 35.8032)	(10, 35.7695)	(11, 35.8147)	(12, 35.6588)	(13, 35.7944)	(14, 35.771)	(15, 35.7626)	(16, 35.7798)	(17, 35.6719)	(18, 35.7466)	(19, 35.8338)	(20, 35.7454)	(21, 35.7201)	(22, 35.6193)	(23, 35.7895)	(24, 35.7341)	(25, 35.7849)	(26, 35.6655)	(27, 35.7351)	(28, 35.5255)	(29, 35.7435)	(30, 35.6407)	(31, 35.7387)	(32, 35.7345)	(33, 35.8121)	(34, 35.793)	(35, 35.8175)	(36, 35.828)	(37, 35.8343)	(38, 35.8195)	(39, 35.7939)	(40, 35.6825)	(41, 35.7163)	(42, 35.7315)	(43, 35.6211)	(44, 35.6715)	(45, 35.5619)	(46, 35.5628)	(47, 35.5932)	(48, 35.6293)	(49, 35.6296)	(50, 35.6729)	(51, 35.5725)	(52, 35.5411)	(53, 35.6016)	(54, 35.4575)	(55, 35.457)	(56, 35.5407)	(57, 35.4362)	(58, 35.3601)	(59, 35.4898)	(60, 35.3858)	(61, 35.459)	(62, 35.4927)	(63, 35.3966)	(64, 35.4216)	(65, 35.3952)	(66, 35.4341)	(67, 35.4498)	(68, 35.4459)	(69, 35.4797)	(70, 35.4138)	(71, 35.4557)	(72, 35.4742)	(73, 35.4774)	(74, 35.4594)	(75, 35.4634)	(76, 35.4252)	(77, 35.3901)	(78, 35.3261)	(79, 35.2538)	(80, 34.8437)	(81, 34.7646)	(82, 34.7456)	(83, 34.7264)	(84, 34.6915)	(85, 34.6613)	(86, 34.6656)	(87, 34.6542)	(88, 34.604)	(89, 34.6096)	(90, 34.5815)	(91, 34.5224)	(92, 34.4708)	(93, 34.4384)	(94, 34.3947)	(95, 34.369)	(96, 34.3083)	(97, 34.2714)	(98, 34.2043)	(99, 34.113)	(100, 34.0373)
PGDX16571P_WGS	(1, 32.5075)	(2, 32.7078)	(3, 32.7485)	(4, 32.7073)	(5, 32.7909)	(6, 36.824)	(7, 37.0087)	(8, 36.9184)	(9, 36.937)	(10, 36.9687)	(11, 36.9255)	(12, 36.981)	(13, 36.8834)	(14, 36.9517)	(15, 36.9603)	(16, 36.7817)	(17, 36.9231)	(18, 36.8806)	(19, 36.8986)	(20, 36.963)	(21, 37.0099)	(22, 37.0101)	(23, 36.7507)	(24, 36.9565)	(25, 37.0173)	(26, 36.8601)	(27, 36.8664)	(28, 36.9235)	(29, 36.7568)	(30, 36.9097)	(31, 36.8749)	(32, 36.9262)	(33, 36.7611)	(34, 36.7878)	(35, 36.8313)	(36, 36.9047)	(37, 36.782)	(38, 36.8561)	(39, 36.871)	(40, 36.8455)	(41, 36.8891)	(42, 36.7907)	(43, 36.8249)	(44, 36.7104)	(45, 36.6586)	(46, 36.6943)	(47, 36.6686)	(48, 36.6823)	(49, 36.7793)	(50, 36.719)	(51, 36.7341)	(52, 36.8366)	(53, 36.6434)	(54, 36.7089)	(55, 36.8156)	(56, 36.546)	(57, 36.5105)	(58, 36.6375)	(59, 36.4911)	(60, 36.6792)	(61, 36.6046)	(62, 36.4567)	(63, 36.5256)	(64, 36.5802)	(65, 36.6165)	(66, 36.5904)	(67, 36.6057)	(68, 36.7103)	(69, 36.5352)	(70, 36.6513)	(71, 36.7351)	(72, 36.7657)	(73, 36.7625)	(74, 36.7589)	(75, 36.7249)	(76, 36.7179)	(77, 36.713)	(78, 36.67)	(79, 36.2311)	(80, 35.9616)	(81, 35.8451)	(82, 35.8247)	(83, 35.7681)	(84, 35.7821)	(85, 35.775)	(86, 35.7654)	(87, 35.7541)	(88, 35.7425)	(89, 35.7209)	(90, 35.6883)	(91, 35.6615)	(92, 35.6603)	(93, 35.5107)	(94, 35.575)	(95, 35.5785)	(96, 35.5658)	(97, 35.5279)	(98, 35.4962)	(99, 35.4548)	(100, 35.3945)
PGDX16585P_WGS	(1, 31.6398)	(2, 31.9713)	(3, 32.1228)	(4, 31.977)	(5, 31.9264)	(6, 36.1361)	(7, 36.0726)	(8, 36.0104)	(9, 36.1477)	(10, 36.1141)	(11, 36.1938)	(12, 36.0459)	(13, 36.1796)	(14, 36.2471)	(15, 36.1342)	(16, 36.2591)	(17, 36.0326)	(18, 36.1649)	(19, 36.2421)	(20, 36.2053)	(21, 35.9176)	(22, 35.8192)	(23, 36.0683)	(24, 36.0939)	(25, 35.9923)	(26, 35.9423)	(27, 36.1019)	(28, 36.0836)	(29, 36.1992)	(30, 36.0123)	(31, 36.1803)	(32, 36.2018)	(33, 36.2293)	(34, 36.2627)	(35, 36.2617)	(36, 36.2522)	(37, 36.2637)	(38, 36.2696)	(39, 36.2691)	(40, 36.1834)	(41, 36.2225)	(42, 36.1563)	(43, 36.1861)	(44, 36.2165)	(45, 36.233)	(46, 36.2276)	(47, 36.2416)	(48, 36.2614)	(49, 36.2492)	(50, 36.2663)	(51, 36.2377)	(52, 36.1953)	(53, 36.1128)	(54, 36.158)	(55, 36.1325)	(56, 36.1525)	(57, 36.0297)	(58, 36.1025)	(59, 35.9973)	(60, 36.0591)	(61, 36.0346)	(62, 36.0089)	(63, 36.0495)	(64, 36.1009)	(65, 36.0678)	(66, 35.9805)	(67, 36.0508)	(68, 36.0653)	(69, 36.0739)	(70, 36.0509)	(71, 36.0116)	(72, 35.9697)	(73, 35.9333)	(74, 35.8931)	(75, 35.901)	(76, 35.896)	(77, 35.9041)	(78, 35.9203)	(79, 35.9279)	(80, 35.9402)	(81, 35.9237)	(82, 35.9315)	(83, 35.9441)	(84, 35.9376)	(85, 35.9187)	(86, 35.901)	(87, 35.8727)	(88, 35.8498)	(89, 35.8199)	(90, 35.7897)	(91, 35.7941)	(92, 35.7539)	(93, 35.6659)	(94, 35.6679)	(95, 35.6148)	(96, 35.5726)	(97, 35.5027)	(98, 35.5078)	(99, 35.422)	(100, 35.3888)
PGDX16587P_WGS	(1, 32.5114)	(2, 32.7166)	(3, 32.7163)	(4, 32.6665)	(5, 32.7455)	(6, 36.8137)	(7, 36.9314)	(8, 36.8552)	(9, 36.8682)	(10, 36.8853)	(11, 36.8451)	(12, 36.8805)	(13, 36.8714)	(14, 36.8739)	(15, 36.8562)	(16, 36.8931)	(17, 36.8944)	(18, 36.902)	(19, 36.8405)	(20, 36.8574)	(21, 36.8935)	(22, 36.9376)	(23, 36.739)	(24, 36.8727)	(25, 36.904)	(26, 36.7997)	(27, 36.8273)	(28, 36.8693)	(29, 36.8266)	(30, 36.8908)	(31, 36.9104)	(32, 36.9534)	(33, 36.823)	(34, 36.849)	(35, 36.877)	(36, 36.8679)	(37, 36.8293)	(38, 36.8603)	(39, 36.8916)	(40, 36.8625)	(41, 36.8991)	(42, 36.8156)	(43, 36.868)	(44, 36.769)	(45, 36.7492)	(46, 36.7692)	(47, 36.7894)	(48, 36.7544)	(49, 36.8202)	(50, 36.7661)	(51, 36.7935)	(52, 36.853)	(53, 36.7613)	(54, 36.7783)	(55, 36.8472)	(56, 36.7286)	(57, 36.6741)	(58, 36.7328)	(59, 36.6541)	(60, 36.7517)	(61, 36.704)	(62, 36.5855)	(63, 36.5765)	(64, 36.6851)	(65, 36.677)	(66, 36.6469)	(67, 36.6915)	(68, 36.7773)	(69, 36.6696)	(70, 36.7573)	(71, 36.7735)	(72, 36.7938)	(73, 36.8056)	(74, 36.7955)	(75, 36.7909)	(76, 36.7804)	(77, 36.767)	(78, 36.7448)	(79, 36.4763)	(80, 36.2869)	(81, 36.2298)	(82, 36.2086)	(83, 36.1996)	(84, 36.1952)	(85, 36.1823)	(86, 36.1735)	(87, 36.1712)	(88, 36.163)	(89, 36.0579)	(90, 36.0856)	(91, 36.0808)	(92, 36.057)	(93, 36.0474)	(94, 36.0395)	(95, 36.0078)	(96, 35.8854)	(97, 35.9194)	(98, 35.9105)	(99, 35.887)	(100, 35.8336)
PGDX16592P_WGS	(1, 32.7162)	(2, 32.8962)	(3, 32.9216)	(4, 32.9018)	(5, 32.9428)	(6, 37.0973)	(7, 37.1467)	(8, 37.1335)	(9, 37.1398)	(10, 37.1448)	(11, 37.1373)	(12, 37.1527)	(13, 37.1228)	(14, 37.1238)	(15, 37.1368)	(16, 37.1091)	(17, 37.12)	(18, 37.1269)	(19, 37.1146)	(20, 37.1378)	(21, 37.1705)	(22, 37.1772)	(23, 37.0582)	(24, 37.1024)	(25, 37.1344)	(26, 37.1087)	(27, 37.0914)	(28, 37.0778)	(29, 37.0376)	(30, 37.0608)	(31, 37.0625)	(32, 37.0866)	(33, 37.0831)	(34, 37.0629)	(35, 37.0101)	(36, 37.0448)	(37, 37.0524)	(38, 37.0371)	(39, 37.0503)	(40, 37.0682)	(41, 37.0861)	(42, 37.0434)	(43, 37.0224)	(44, 36.9844)	(45, 36.9479)	(46, 36.9102)	(47, 36.9102)	(48, 36.9128)	(49, 36.938)	(50, 36.9524)	(51, 36.959)	(52, 37.012)	(53, 36.9407)	(54, 36.9118)	(55, 36.985)	(56, 36.8907)	(57, 36.7752)	(58, 36.7837)	(59, 36.7972)	(60, 36.7958)	(61, 36.8477)	(62, 36.7874)	(63, 36.6884)	(64, 36.7428)	(65, 36.8022)	(66, 36.8454)	(67, 36.8418)	(68, 36.8891)	(69, 36.8251)	(70, 36.8308)	(71, 36.8067)	(72, 36.8639)	(73, 36.7895)	(74, 36.8101)	(75, 36.8273)	(76, 36.8166)	(77, 36.7855)	(78, 36.7702)	(79, 36.5301)	(80, 35.8738)	(81, 35.6099)	(82, 35.5625)	(83, 35.5488)	(84, 35.52)	(85, 35.4948)	(86, 35.4804)	(87, 35.4553)	(88, 35.4387)	(89, 35.4235)	(90, 35.4111)	(91, 35.3972)	(92, 35.3719)	(93, 35.343)	(94, 35.3187)	(95, 35.2906)	(96, 35.2736)	(97, 35.2439)	(98, 35.2066)	(99, 35.178)	(100, 35.1352)
PGDX17776P8_WGS	(1, 32.5532)	(2, 32.6608)	(3, 32.6932)	(4, 32.6354)	(5, 32.6646)	(6, 36.7703)	(7, 36.7814)	(8, 36.7792)	(9, 36.792)	(10, 36.7897)	(11, 36.786)	(12, 36.7689)	(13, 36.7659)	(14, 36.7564)	(15, 36.7671)	(16, 36.7493)	(17, 36.7316)	(18, 36.7394)	(19, 36.741)	(20, 36.7375)	(21, 36.6782)	(22, 36.7282)	(23, 36.7281)	(24, 36.7324)	(25, 36.7442)	(26, 36.7353)	(27, 36.7331)	(28, 36.7374)	(29, 36.7039)	(30, 36.7127)	(31, 36.7334)	(32, 36.7425)	(33, 36.6857)	(34, 36.7231)	(35, 36.7438)	(36, 36.742)	(37, 36.7144)	(38, 36.7094)	(39, 36.6464)	(40, 36.686)	(41, 36.678)	(42, 36.6701)	(43, 36.6629)	(44, 36.6436)	(45, 36.6206)	(46, 36.6085)	(47, 36.6064)	(48, 36.6093)	(49, 36.6159)	(50, 36.6171)	(51, 36.6093)	(52, 36.6143)	(53, 36.603)	(54, 36.4908)	(55, 36.5621)	(56, 36.5718)	(57, 36.5267)	(58, 36.5103)	(59, 36.5407)	(60, 36.5025)	(61, 36.5339)	(62, 36.5387)	(63, 36.4654)	(64, 36.486)	(65, 36.5089)	(66, 36.5395)	(67, 36.5318)	(68, 36.5343)	(69, 36.5182)	(70, 36.4086)	(71, 36.4607)	(72, 36.4945)	(73, 36.4734)	(74, 36.4744)	(75, 36.4609)	(76, 36.3733)	(77, 36.4194)	(78, 36.4243)	(79, 36.3313)	(80, 36.0835)	(81, 36.009)	(82, 35.9711)	(83, 35.9372)	(84, 35.9111)	(85, 35.7605)	(86, 35.794)	(87, 35.8204)	(88, 35.806)	(89, 35.8042)	(90, 35.7808)	(91, 35.7902)	(92, 35.7514)	(93, 35.7372)	(94, 35.7086)	(95, 35.722)	(96, 35.706)	(97, 35.6833)	(98, 35.63)	(99, 35.5586)	(100, 35.5316)
PGDX17778P9_WGS	(1, 31.5892)	(2, 31.7792)	(3, 31.8536)	(4, 31.6722)	(5, 31.7304)	(6, 35.6492)	(7, 35.6336)	(8, 35.657)	(9, 35.6374)	(10, 35.585)	(11, 35.6559)	(12, 35.5806)	(13, 35.587)	(14, 35.379)	(15, 35.5136)	(16, 35.5307)	(17, 35.4058)	(18, 35.474)	(19, 35.4859)	(20, 35.5015)	(21, 35.5663)	(22, 35.566)	(23, 35.5854)	(24, 35.499)	(25, 35.5924)	(26, 35.5582)	(27, 35.5611)	(28, 35.4993)	(29, 35.5544)	(30, 35.2439)	(31, 35.401)	(32, 35.474)	(33, 35.5311)	(34, 35.4759)	(35, 35.4998)	(36, 35.5005)	(37, 35.4592)	(38, 35.3919)	(39, 35.4189)	(40, 35.4221)	(41, 35.4359)	(42, 35.4508)	(43, 35.3905)	(44, 35.4182)	(45, 35.3787)	(46, 35.2091)	(47, 35.2172)	(48, 35.2521)	(49, 35.2486)	(50, 35.3012)	(51, 35.2637)	(52, 35.2936)	(53, 35.3048)	(54, 35.191)	(55, 35.1491)	(56, 35.2036)	(57, 35.0145)	(58, 34.9753)	(59, 35.1002)	(60, 34.9497)	(61, 35.1281)	(62, 35.0992)	(63, 34.831)	(64, 34.9594)	(65, 35.0104)	(66, 35.1255)	(67, 35.1266)	(68, 35.0816)	(69, 35.0604)	(70, 35.0584)	(71, 35.1015)	(72, 35.188)	(73, 35.1982)	(74, 35.1779)	(75, 35.1373)	(76, 35.13)	(77, 35.0766)	(78, 35.0106)	(79, 34.7787)	(80, 33.7928)	(81, 33.6615)	(82, 33.5672)	(83, 33.5358)	(84, 33.3761)	(85, 33.4125)	(86, 33.4198)	(87, 33.4319)	(88, 33.3997)	(89, 33.355)	(90, 33.2874)	(91, 33.3045)	(92, 33.2678)	(93, 33.2607)	(94, 33.1778)	(95, 33.193)	(96, 33.1937)	(97, 33.1549)	(98, 33.0482)	(99, 33.0215)	(100, 32.9223)
