Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 31.0668)	(2, 31.4775)	(3, 31.5783)	(4, 31.3733)	(5, 31.3747)	(6, 35.2737)	(7, 35.4119)	(8, 35.4027)	(9, 35.3165)	(10, 35.4508)	(11, 35.2644)	(12, 35.3622)	(13, 35.268)	(14, 35.4655)	(15, 35.429)	(16, 35.1871)	(17, 35.4279)	(18, 35.3569)	(19, 35.4796)	(20, 35.4209)	(21, 35.2167)	(22, 35.2325)	(23, 35.3114)	(24, 35.442)	(25, 35.3938)	(26, 35.4301)	(27, 35.3668)	(28, 35.3781)	(29, 35.3066)	(30, 35.3716)	(31, 35.1927)	(32, 35.349)	(33, 35.276)	(34, 35.3897)	(35, 35.3913)	(36, 35.3637)	(37, 35.4296)	(38, 35.3238)	(39, 35.4103)	(40, 35.368)	(41, 35.3908)	(42, 35.315)	(43, 35.2381)	(44, 35.3584)	(45, 35.3602)	(46, 35.3409)	(47, 35.4126)	(48, 35.4065)	(49, 35.4018)	(50, 35.4465)	(51, 35.4193)	(52, 35.1585)	(53, 35.2949)	(54, 35.3157)	(55, 35.252)	(56, 35.2734)	(57, 35.2974)	(58, 35.2635)	(59, 35.2065)	(60, 35.1877)	(61, 35.1845)	(62, 35.0422)	(63, 35.11)	(64, 35.0993)	(65, 35.1415)	(66, 35.151)	(67, 35.185)	(68, 35.1728)	(69, 35.1567)	(70, 35.1758)	(71, 35.0886)	(72, 35.1297)	(73, 35.1171)	(74, 35.0503)	(75, 35.0772)	(76, 35.0334)	(77, 35.0089)	(78, 34.9957)	(79, 34.9276)	(80, 34.7343)	(81, 34.7048)	(82, 34.7184)	(83, 34.7189)	(84, 34.7048)	(85, 34.6946)	(86, 34.7024)	(87, 34.677)	(88, 34.6363)	(89, 34.5921)	(90, 34.5593)	(91, 34.5309)	(92, 34.3878)	(93, 34.4001)	(94, 34.369)	(95, 34.3482)	(96, 34.2195)	(97, 34.2396)	(98, 34.2389)	(99, 34.2067)	(100, 34.0672)
PGDX10625P7_WGS	(1, 31.4716)	(2, 31.708)	(3, 31.8111)	(4, 31.6459)	(5, 31.6723)	(6, 35.5532)	(7, 35.6196)	(8, 35.6464)	(9, 35.6255)	(10, 35.6795)	(11, 35.6389)	(12, 35.6026)	(13, 35.5872)	(14, 35.637)	(15, 35.6387)	(16, 35.5711)	(17, 35.6378)	(18, 35.5585)	(19, 35.5866)	(20, 35.5647)	(21, 35.4427)	(22, 35.4405)	(23, 35.4616)	(24, 35.5525)	(25, 35.607)	(26, 35.569)	(27, 35.5358)	(28, 35.4731)	(29, 35.4822)	(30, 35.5683)	(31, 35.4781)	(32, 35.5653)	(33, 35.5175)	(34, 35.5525)	(35, 35.5871)	(36, 35.5118)	(37, 35.5648)	(38, 35.5712)	(39, 35.5827)	(40, 35.6001)	(41, 35.5008)	(42, 35.5552)	(43, 35.4327)	(44, 35.4611)	(45, 35.4778)	(46, 35.4741)	(47, 35.5173)	(48, 35.5225)	(49, 35.5081)	(50, 35.5382)	(51, 35.5257)	(52, 35.4345)	(53, 35.409)	(54, 35.4311)	(55, 35.4245)	(56, 35.4255)	(57, 35.4514)	(58, 35.3908)	(59, 35.3649)	(60, 35.3542)	(61, 35.3344)	(62, 35.2438)	(63, 35.2841)	(64, 35.1141)	(65, 35.2366)	(66, 35.2604)	(67, 35.2653)	(68, 35.2877)	(69, 35.291)	(70, 35.3055)	(71, 35.2625)	(72, 35.2427)	(73, 35.2444)	(74, 35.1546)	(75, 35.1758)	(76, 35.1581)	(77, 35.1291)	(78, 35.0913)	(79, 35.0583)	(80, 34.9572)	(81, 34.9576)	(82, 34.9436)	(83, 34.9462)	(84, 34.9214)	(85, 34.9192)	(86, 34.8858)	(87, 34.8516)	(88, 34.8226)	(89, 34.8158)	(90, 34.7892)	(91, 34.7766)	(92, 34.7032)	(93, 34.6713)	(94, 34.6077)	(95, 34.5764)	(96, 34.5389)	(97, 34.525)	(98, 34.4394)	(99, 34.3659)	(100, 34.2667)
PGDX10626P6_WGS	(1, 31.4569)	(2, 31.7505)	(3, 31.8773)	(4, 31.6902)	(5, 31.5802)	(6, 35.6599)	(7, 35.6878)	(8, 35.6305)	(9, 35.7187)	(10, 35.6987)	(11, 35.717)	(12, 35.5796)	(13, 35.7051)	(14, 35.7325)	(15, 35.7029)	(16, 35.7072)	(17, 35.6339)	(18, 35.6615)	(19, 35.7468)	(20, 35.6504)	(21, 35.5978)	(22, 35.4841)	(23, 35.6647)	(24, 35.6845)	(25, 35.6782)	(26, 35.5429)	(27, 35.6207)	(28, 35.4341)	(29, 35.6104)	(30, 35.5698)	(31, 35.6188)	(32, 35.6067)	(33, 35.6757)	(34, 35.6974)	(35, 35.7044)	(36, 35.7269)	(37, 35.7376)	(38, 35.7361)	(39, 35.6753)	(40, 35.5629)	(41, 35.5912)	(42, 35.5767)	(43, 35.4995)	(44, 35.5323)	(45, 35.4616)	(46, 35.5262)	(47, 35.5458)	(48, 35.5705)	(49, 35.5635)	(50, 35.5603)	(51, 35.4825)	(52, 35.4307)	(53, 35.4598)	(54, 35.3893)	(55, 35.3577)	(56, 35.3983)	(57, 35.4084)	(58, 35.3472)	(59, 35.4099)	(60, 35.3791)	(61, 35.3541)	(62, 35.3871)	(63, 35.3949)	(64, 35.378)	(65, 35.3195)	(66, 35.3297)	(67, 35.3466)	(68, 35.3446)	(69, 35.325)	(70, 35.2961)	(71, 35.2763)	(72, 35.2561)	(73, 35.2352)	(74, 35.2083)	(75, 35.2254)	(76, 35.1985)	(77, 35.1813)	(78, 35.1553)	(79, 35.1539)	(80, 35.115)	(81, 35.1036)	(82, 35.0976)	(83, 35.0811)	(84, 35.0447)	(85, 35.0142)	(86, 35.0175)	(87, 35.0082)	(88, 34.9571)	(89, 34.9653)	(90, 34.9367)	(91, 34.8749)	(92, 34.8232)	(93, 34.7854)	(94, 34.7365)	(95, 34.7103)	(96, 34.6453)	(97, 34.6097)	(98, 34.5433)	(99, 34.4507)	(100, 34.3693)
PGDX10626P7_WGS	(1, 31.4154)	(2, 31.6796)	(3, 31.8087)	(4, 31.5857)	(5, 31.481)	(6, 35.5517)	(7, 35.5004)	(8, 35.5313)	(9, 35.5597)	(10, 35.5162)	(11, 35.5804)	(12, 35.3972)	(13, 35.5499)	(14, 35.4935)	(15, 35.4951)	(16, 35.5202)	(17, 35.3843)	(18, 35.485)	(19, 35.5558)	(20, 35.4619)	(21, 35.4589)	(22, 35.3803)	(23, 35.5534)	(24, 35.4152)	(25, 35.5107)	(26, 35.412)	(27, 35.4467)	(28, 35.2171)	(29, 35.4522)	(30, 35.3102)	(31, 35.4335)	(32, 35.4226)	(33, 35.5061)	(34, 35.4519)	(35, 35.4787)	(36, 35.4809)	(37, 35.471)	(38, 35.4457)	(39, 35.419)	(40, 35.2964)	(41, 35.3223)	(42, 35.3296)	(43, 35.1978)	(44, 35.2423)	(45, 35.114)	(46, 35.0998)	(47, 35.1265)	(48, 35.159)	(49, 35.1546)	(50, 35.1991)	(51, 35.088)	(52, 35.0519)	(53, 35.1127)	(54, 34.9478)	(55, 34.9462)	(56, 35.0258)	(57, 34.8976)	(58, 34.816)	(59, 34.9427)	(60, 34.8312)	(61, 34.9038)	(62, 34.933)	(63, 34.8304)	(64, 34.855)	(65, 34.8286)	(66, 34.8682)	(67, 34.882)	(68, 34.8778)	(69, 34.9126)	(70, 34.845)	(71, 34.8887)	(72, 34.9082)	(73, 34.9121)	(74, 34.8947)	(75, 34.8981)	(76, 34.8602)	(77, 34.825)	(78, 34.7604)	(79, 34.6865)	(80, 34.2646)	(81, 34.183)	(82, 34.1632)	(83, 34.1435)	(84, 34.1086)	(85, 34.0787)	(86, 34.0829)	(87, 34.0708)	(88, 34.0212)	(89, 34.0263)	(90, 33.9974)	(91, 33.9387)	(92, 33.8879)	(93, 33.8543)	(94, 33.8091)	(95, 33.7841)	(96, 33.7212)	(97, 33.6854)	(98, 33.62)	(99, 33.5295)	(100, 33.4521)
PGDX16571P_WGS	(1, 32.2817)	(2, 32.4775)	(3, 32.5092)	(4, 32.4588)	(5, 32.5487)	(6, 36.5467)	(7, 36.7607)	(8, 36.6536)	(9, 36.6755)	(10, 36.7178)	(11, 36.684)	(12, 36.7499)	(13, 36.6529)	(14, 36.7275)	(15, 36.7363)	(16, 36.5599)	(17, 36.7081)	(18, 36.6634)	(19, 36.6786)	(20, 36.748)	(21, 36.8004)	(22, 36.8033)	(23, 36.525)	(24, 36.7408)	(25, 36.8067)	(26, 36.6391)	(27, 36.6379)	(28, 36.6958)	(29, 36.4961)	(30, 36.6697)	(31, 36.6238)	(32, 36.6829)	(33, 36.5092)	(34, 36.5295)	(35, 36.5706)	(36, 36.644)	(37, 36.5127)	(38, 36.585)	(39, 36.6052)	(40, 36.5816)	(41, 36.6226)	(42, 36.5204)	(43, 36.5616)	(44, 36.4367)	(45, 36.3865)	(46, 36.4224)	(47, 36.3947)	(48, 36.4069)	(49, 36.5062)	(50, 36.4411)	(51, 36.4551)	(52, 36.5582)	(53, 36.3552)	(54, 36.4202)	(55, 36.5271)	(56, 36.2455)	(57, 36.208)	(58, 36.3351)	(59, 36.1832)	(60, 36.3724)	(61, 36.2944)	(62, 36.1404)	(63, 36.2093)	(64, 36.2622)	(65, 36.3002)	(66, 36.2739)	(67, 36.2893)	(68, 36.3963)	(69, 36.2125)	(70, 36.333)	(71, 36.4148)	(72, 36.4441)	(73, 36.4401)	(74, 36.4355)	(75, 36.404)	(76, 36.3995)	(77, 36.3923)	(78, 36.3455)	(79, 35.9035)	(80, 35.6236)	(81, 35.5059)	(82, 35.4841)	(83, 35.4272)	(84, 35.4425)	(85, 35.4346)	(86, 35.4246)	(87, 35.4133)	(88, 35.4016)	(89, 35.3797)	(90, 35.3428)	(91, 35.3186)	(92, 35.3174)	(93, 35.1684)	(94, 35.231)	(95, 35.2344)	(96, 35.2201)	(97, 35.1818)	(98, 35.1498)	(99, 35.1064)	(100, 35.0448)
PGDX16585P_WGS	(1, 31.5749)	(2, 31.9099)	(3, 32.0587)	(4, 31.9044)	(5, 31.8574)	(6, 36.0449)	(7, 35.9829)	(8, 35.9219)	(9, 36.053)	(10, 36.0148)	(11, 36.0942)	(12, 35.9468)	(13, 36.0748)	(14, 36.1437)	(15, 36.0366)	(16, 36.1545)	(17, 35.9314)	(18, 36.0648)	(19, 36.1428)	(20, 36.11)	(21, 35.8261)	(22, 35.7289)	(23, 35.9729)	(24, 35.9955)	(25, 35.8975)	(26, 35.8444)	(27, 36.0019)	(28, 35.9829)	(29, 36.0963)	(30, 35.9097)	(31, 36.0761)	(32, 36.0962)	(33, 36.1211)	(34, 36.1526)	(35, 36.1491)	(36, 36.1388)	(37, 36.1473)	(38, 36.1517)	(39, 36.15)	(40, 36.0612)	(41, 36.0973)	(42, 36.028)	(43, 36.0541)	(44, 36.0804)	(45, 36.094)	(46, 36.0863)	(47, 36.0948)	(48, 36.113)	(49, 36.0892)	(50, 36.0943)	(51, 36.0655)	(52, 36.0257)	(53, 35.9464)	(54, 35.9868)	(55, 35.9591)	(56, 35.9755)	(57, 35.8539)	(58, 35.9241)	(59, 35.8206)	(60, 35.8815)	(61, 35.8554)	(62, 35.8284)	(63, 35.8663)	(64, 35.9103)	(65, 35.8714)	(66, 35.7836)	(67, 35.8527)	(68, 35.8669)	(69, 35.8749)	(70, 35.8528)	(71, 35.8179)	(72, 35.7802)	(73, 35.7456)	(74, 35.706)	(75, 35.7152)	(76, 35.7103)	(77, 35.7162)	(78, 35.7293)	(79, 35.7332)	(80, 35.7371)	(81, 35.7168)	(82, 35.7229)	(83, 35.733)	(84, 35.7256)	(85, 35.7056)	(86, 35.6855)	(87, 35.6499)	(88, 35.6237)	(89, 35.5897)	(90, 35.5542)	(91, 35.5556)	(92, 35.5124)	(93, 35.4224)	(94, 35.4229)	(95, 35.37)	(96, 35.3248)	(97, 35.2554)	(98, 35.2614)	(99, 35.1759)	(100, 35.1402)
PGDX16587P_WGS	(1, 32.4305)	(2, 32.6413)	(3, 32.6279)	(4, 32.57)	(5, 32.6559)	(6, 36.6948)	(7, 36.816)	(8, 36.7324)	(9, 36.743)	(10, 36.7526)	(11, 36.7086)	(12, 36.7506)	(13, 36.7371)	(14, 36.7341)	(15, 36.7242)	(16, 36.7499)	(17, 36.7543)	(18, 36.7653)	(19, 36.708)	(20, 36.7314)	(21, 36.7765)	(22, 36.8246)	(23, 36.6121)	(24, 36.7516)	(25, 36.7882)	(26, 36.6753)	(27, 36.7015)	(28, 36.7448)	(29, 36.6986)	(30, 36.7657)	(31, 36.785)	(32, 36.8306)	(33, 36.6899)	(34, 36.7145)	(35, 36.7423)	(36, 36.7315)	(37, 36.6897)	(38, 36.7201)	(39, 36.7514)	(40, 36.7186)	(41, 36.7546)	(42, 36.6648)	(43, 36.7175)	(44, 36.6103)	(45, 36.5885)	(46, 36.6074)	(47, 36.6247)	(48, 36.5846)	(49, 36.6457)	(50, 36.5772)	(51, 36.6045)	(52, 36.6684)	(53, 36.5728)	(54, 36.5898)	(55, 36.6602)	(56, 36.5339)	(57, 36.4779)	(58, 36.5363)	(59, 36.4551)	(60, 36.5542)	(61, 36.5033)	(62, 36.3815)	(63, 36.3718)	(64, 36.4753)	(65, 36.4589)	(66, 36.4282)	(67, 36.4723)	(68, 36.5605)	(69, 36.4487)	(70, 36.54)	(71, 36.5625)	(72, 36.5858)	(73, 36.6007)	(74, 36.5922)	(75, 36.5883)	(76, 36.578)	(77, 36.565)	(78, 36.5411)	(79, 36.2634)	(80, 36.0632)	(81, 35.9987)	(82, 35.9777)	(83, 35.965)	(84, 35.9608)	(85, 35.9453)	(86, 35.9349)	(87, 35.9184)	(88, 35.9054)	(89, 35.7996)	(90, 35.8181)	(91, 35.8121)	(92, 35.7865)	(93, 35.776)	(94, 35.7673)	(95, 35.7363)	(96, 35.6123)	(97, 35.6465)	(98, 35.6383)	(99, 35.6148)	(100, 35.5597)
PGDX16592P_WGS	(1, 32.6483)	(2, 32.8211)	(3, 32.8405)	(4, 32.8093)	(5, 32.8561)	(6, 36.9829)	(7, 37.0386)	(8, 37.0242)	(9, 37.029)	(10, 37.0345)	(11, 37.0271)	(12, 37.0396)	(13, 37.0067)	(14, 37.0044)	(15, 37.0155)	(16, 36.9886)	(17, 36.9986)	(18, 37.0095)	(19, 36.9929)	(20, 37.0191)	(21, 37.0561)	(22, 37.0635)	(23, 36.9368)	(24, 36.9782)	(25, 37.0124)	(26, 36.9834)	(27, 36.9652)	(28, 36.9434)	(29, 36.9059)	(30, 36.9291)	(31, 36.9308)	(32, 36.9517)	(33, 36.9502)	(34, 36.9247)	(35, 36.8719)	(36, 36.9035)	(37, 36.9117)	(38, 36.8956)	(39, 36.9045)	(40, 36.9223)	(41, 36.9398)	(42, 36.8921)	(43, 36.8625)	(44, 36.8219)	(45, 36.7796)	(46, 36.7374)	(47, 36.7329)	(48, 36.7347)	(49, 36.7563)	(50, 36.7662)	(51, 36.7719)	(52, 36.8215)	(53, 36.7452)	(54, 36.7115)	(55, 36.7829)	(56, 36.679)	(57, 36.5554)	(58, 36.5628)	(59, 36.5741)	(60, 36.5697)	(61, 36.6179)	(62, 36.5513)	(63, 36.4517)	(64, 36.5032)	(65, 36.5643)	(66, 36.6094)	(67, 36.6053)	(68, 36.6542)	(69, 36.588)	(70, 36.5947)	(71, 36.5711)	(72, 36.6261)	(73, 36.5544)	(74, 36.5758)	(75, 36.5898)	(76, 36.578)	(77, 36.5467)	(78, 36.5333)	(79, 36.2887)	(80, 35.6173)	(81, 35.3508)	(82, 35.3028)	(83, 35.2891)	(84, 35.26)	(85, 35.2345)	(86, 35.2191)	(87, 35.1934)	(88, 35.1762)	(89, 35.1607)	(90, 35.1466)	(91, 35.1324)	(92, 35.107)	(93, 35.0775)	(94, 35.0521)	(95, 35.0233)	(96, 35.0046)	(97, 34.9727)	(98, 34.9359)	(99, 34.9073)	(100, 34.8623)
PGDX17776P8_WGS	(1, 32.0507)	(2, 32.1477)	(3, 32.1769)	(4, 32.0864)	(5, 32.1114)	(6, 36.1293)	(7, 36.1258)	(8, 36.115)	(9, 36.1132)	(10, 36.0992)	(11, 36.0911)	(12, 36.0663)	(13, 36.0573)	(14, 36.0393)	(15, 36.0417)	(16, 36.0194)	(17, 35.9904)	(18, 35.9989)	(19, 35.9946)	(20, 35.9888)	(21, 35.9306)	(22, 35.9784)	(23, 35.973)	(24, 35.9703)	(25, 35.9801)	(26, 35.9672)	(27, 35.9618)	(28, 35.9613)	(29, 35.9261)	(30, 35.9269)	(31, 35.9469)	(32, 35.9529)	(33, 35.8941)	(34, 35.9269)	(35, 35.9424)	(36, 35.9337)	(37, 35.9008)	(38, 35.8896)	(39, 35.8254)	(40, 35.8568)	(41, 35.8416)	(42, 35.8304)	(43, 35.8156)	(44, 35.7913)	(45, 35.7654)	(46, 35.7479)	(47, 35.7425)	(48, 35.7408)	(49, 35.7419)	(50, 35.7401)	(51, 35.7253)	(52, 35.7256)	(53, 35.7103)	(54, 35.5945)	(55, 35.6606)	(56, 35.6646)	(57, 35.6122)	(58, 35.5912)	(59, 35.6181)	(60, 35.5758)	(61, 35.6028)	(62, 35.6045)	(63, 35.5277)	(64, 35.5475)	(65, 35.5696)	(66, 35.6)	(67, 35.5919)	(68, 35.5943)	(69, 35.578)	(70, 35.4706)	(71, 35.5221)	(72, 35.5554)	(73, 35.5346)	(74, 35.5353)	(75, 35.5216)	(76, 35.4359)	(77, 35.4801)	(78, 35.4841)	(79, 35.3914)	(80, 35.1382)	(81, 35.0609)	(82, 35.0211)	(83, 34.9851)	(84, 34.9572)	(85, 34.8057)	(86, 34.8352)	(87, 34.8597)	(88, 34.8486)	(89, 34.849)	(90, 34.8264)	(91, 34.8356)	(92, 34.7977)	(93, 34.783)	(94, 34.7543)	(95, 34.7677)	(96, 34.75)	(97, 34.7279)	(98, 34.676)	(99, 34.6063)	(100, 34.5781)
PGDX17778P9_WGS	(1, 31.113)	(2, 31.2899)	(3, 31.3494)	(4, 31.1188)	(5, 31.1906)	(6, 35.0209)	(7, 34.9575)	(8, 34.9962)	(9, 34.9324)	(10, 34.8646)	(11, 34.9411)	(12, 34.8369)	(13, 34.8463)	(14, 34.6034)	(15, 34.7406)	(16, 34.7587)	(17, 34.5995)	(18, 34.6873)	(19, 34.6827)	(20, 34.6951)	(21, 34.7756)	(22, 34.7873)	(23, 34.8035)	(24, 34.6624)	(25, 34.7871)	(26, 34.7582)	(27, 34.7394)	(28, 34.6514)	(29, 34.7207)	(30, 34.3786)	(31, 34.551)	(32, 34.6177)	(33, 34.6734)	(34, 34.595)	(35, 34.6178)	(36, 34.6114)	(37, 34.5551)	(38, 34.4782)	(39, 34.5017)	(40, 34.4945)	(41, 34.5014)	(42, 34.5147)	(43, 34.4328)	(44, 34.4601)	(45, 34.3964)	(46, 34.2073)	(47, 34.2095)	(48, 34.2407)	(49, 34.23)	(50, 34.2797)	(51, 34.2307)	(52, 34.2528)	(53, 34.2593)	(54, 34.1171)	(55, 34.074)	(56, 34.1197)	(57, 33.9026)	(58, 33.8564)	(59, 33.974)	(60, 33.8166)	(61, 33.9898)	(62, 33.9555)	(63, 33.6801)	(64, 33.806)	(65, 33.856)	(66, 33.9699)	(67, 33.9689)	(68, 33.9244)	(69, 33.905)	(70, 33.9011)	(71, 33.9465)	(72, 34.0308)	(73, 34.0414)	(74, 34.0214)	(75, 33.9802)	(76, 33.9723)	(77, 33.9193)	(78, 33.853)	(79, 33.6215)	(80, 32.6243)	(81, 32.4909)	(82, 32.3987)	(83, 32.3672)	(84, 32.2121)	(85, 32.2444)	(86, 32.2477)	(87, 32.2581)	(88, 32.2284)	(89, 32.1867)	(90, 32.1212)	(91, 32.1377)	(92, 32.1028)	(93, 32.0943)	(94, 32.013)	(95, 32.0279)	(96, 32.0247)	(97, 31.9874)	(98, 31.8852)	(99, 31.859)	(100, 31.7606)
