Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
PGDX10624P7_WGS	90265116.0	1238580.0	3855290.0	nan	0.0	0.0
PGDX10625P7_WGS	86555360.0	1145176.0	3737714.0	nan	0.0	0.0
PGDX10626P6_WGS	90384772.0	959394.0	3782870.0	nan	0.0	0.0
PGDX10626P7_WGS	89457272.0	1852878.0	3816310.0	nan	0.0	0.0
PGDX16571P_WGS	96463682.0	1156392.0	4398902.0	nan	0.0	0.0
PGDX16585P_WGS	59012404.0	520348.0	2554916.0	nan	0.0	0.0
PGDX16587P_WGS	128583502.0	1107012.0	5716382.0	nan	0.0	0.0
PGDX16592P_WGS	124659398.0	1125758.0	5445198.0	nan	0.0	0.0
PGDX17776P8_WGS	112032014.0	3533998.0	4737136.0	nan	0.0	0.0
PGDX17778P9_WGS	81983772.0	3302006.0	3588636.0	nan	0.0	0.0
PGDX17779P5_WGS	85789118.0	2532788.0	3641144.0	nan	0.0	0.0
PGDX17780P6_WGS	82089852.0	2392010.0	3476074.0	nan	0.0	0.0
PGDX17781P7_WGS	74701318.0	2890290.0	3230638.0	nan	0.0	0.0
PGDX17940P_WGS	123261122.0	1393348.0	5359712.0	nan	0.0	0.0
PGDX17941P_WGS	103017932.0	853796.0	4363256.0	nan	0.0	0.0
PGDX17949P_WGS	69380964.0	645438.0	2999780.0	nan	0.0	0.0
PGDX17951P_WGS	104178774.0	952996.0	4544072.0	nan	0.0	0.0
PGDX17967P_WGS	64942678.0	821466.0	2839182.0	nan	0.0	0.0
PGDX17968P_WGS	90957958.0	838348.0	3842072.0	nan	0.0	0.0
PGDX17971P_WGS	68071984.0	829630.0	3069254.0	nan	0.0	0.0
PGDX17975P_WGS	71035162.0	793020.0	3106802.0	nan	0.0	0.0
PGDX17976P_WGS	80685796.0	868650.0	3571068.0	nan	0.0	0.0
PGDX17978P_WGS	88794790.0	976282.0	3935562.0	nan	0.0	0.0
PGDX17991P_WGS	99527448.0	1489200.0	4722742.0	nan	0.0	0.0
PGDX18234P_WGS	60655880.0	1095046.0	2958206.0	nan	0.0	0.0
PGDX18238P_WGS	66422930.0	1137138.0	3173684.0	nan	0.0	0.0
PGDX18243P_WGS	72126304.0	832978.0	3274772.0	nan	0.0	0.0
PGDX18256P_WGS	75603692.0	1105402.0	3351938.0	nan	0.0	0.0
PGDX18267P_WGS	76275592.0	832212.0	3355706.0	nan	0.0	0.0
PGDX18272P_WGS	67600626.0	698348.0	2916720.0	nan	0.0	0.0
PGDX18280P_WGS	79706498.0	1017190.0	3634136.0	nan	0.0	0.0
PGDX18285P_WGS	121857844.0	866026.0	5301742.0	nan	0.0	0.0
PGDX18288P_WGS	90230018.0	926428.0	3928938.0	nan	0.0	0.0
PGDX18328P_WGS	175916034.0	1261396.0	7562822.0	nan	0.0	0.0
PGDX18332P_WGS	104350934.0	929128.0	4743878.0	nan	0.0	0.0
PGDX18337P_WGS	79475010.0	883154.0	3339864.0	nan	0.0	0.0
PGDX18342P_WGS	82964100.0	874416.0	3639422.0	nan	0.0	0.0
PGDX18419P_WGS	76209300.0	1310528.0	3372536.0	nan	0.0	0.0
PGDX18424P_WGS	78461042.0	2298680.0	3522826.0	nan	0.0	0.0
PGDX18427P_WGS	79265576.0	1753506.0	3535080.0	nan	0.0	0.0
PGDX18432P_WGS	79607324.0	2110782.0	3630702.0	nan	0.0	0.0
PGDX18436P_WGS	87877406.0	1518796.0	3944472.0	nan	0.0	0.0
PGDX18441P_WGS	76609520.0	1217126.0	3412600.0	nan	0.0	0.0
PGDX18446P_WGS	77384916.0	1751010.0	3460496.0	nan	0.0	0.0
PGDX18451P_WGS	81933124.0	1022316.0	3647948.0	nan	0.0	0.0
PGDX18456P_WGS	78447648.0	1627370.0	3481018.0	nan	0.0	0.0
PGDX18461P_WGS	103243998.0	1209154.0	4628824.0	nan	0.0	0.0
PGDX3501P5_WGS	84621288.0	3079686.0	3564882.0	nan	0.0	0.0
PGDX3502P3_WGS	72027236.0	1178058.0	3329436.0	nan	0.0	0.0
PGDX3502P5_WGS	68238612.0	716322.0	2975474.0	nan	0.0	0.0
PGDX3512P7_WGS	81905176.0	3498812.0	3618842.0	nan	0.0	0.0
PGDX6838P1_WGS	85201442.0	1890810.0	3847504.0	nan	0.0	0.0
PGDX6841P4_WGS	82097446.0	962708.0	3475364.0	nan	0.0	0.0
PGDX6857P2_WGS	68794964.0	642456.0	2904782.0	nan	0.0	0.0
