Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 53.493)	(2, 54.3937)	(3, 36.863800000000005)	(4, 42.378)	(5, 40.245799999999996)	(6, 40.4966)	(7, 35.9892)	(8, 36.5388)	(9, 40.469699999999996)	(10, 42.5986)	(11, 44.359)	(12, 43.506499999999996)	(13, 41.9612)	(14, 42.5399)	(15, 41.3686)	(16, 42.8117)	(17, 42.6929)	(18, 41.9146)	(19, 42.639700000000005)	(20, 42.2602)	(21, 43.127500000000005)	(22, 41.6866)	(23, 41.6143)	(24, 42.2167)	(25, 41.8726)	(26, 43.1701)	(27, 42.986999999999995)	(28, 42.8013)	(29, 43.4034)	(30, 42.1765)	(31, 42.6813)	(32, 41.6143)	(33, 42.3873)	(34, 41.5273)	(35, 41.9615)	(36, 42.934400000000004)	(37, 42.4277)	(38, 41.8039)	(39, 42.6645)	(40, 41.9362)	(41, 42.1674)	(42, 41.7547)	(43, 41.6586)	(44, 41.999900000000004)	(45, 41.1794)	(46, 42.603)	(47, 42.4496)	(48, 41.5913)	(49, 41.753099999999996)	(50, 42.2174)	(51, 43.309799999999996)	(52, 42.1413)	(53, 42.283100000000005)	(54, 42.3795)	(55, 41.8534)	(56, 42.6573)	(57, 41.1474)	(58, 41.8608)	(59, 42.234300000000005)	(60, 41.8039)	(61, 43.0152)	(62, 42.7006)	(63, 41.1515)	(64, 41.2252)	(65, 41.9707)	(66, 41.3399)	(67, 41.2821)	(68, 41.5417)	(69, 41.4931)	(70, 41.042899999999996)	(71, 41.324600000000004)	(72, 41.134100000000004)	(73, 41.425200000000004)	(74, 41.2115)	(75, 41.1845)	(76, 41.4934)	(77, 41.8093)	(78, 41.9957)	(79, 42.1261)	(80, 42.5631)	(81, 42.577799999999996)	(82, 42.513)	(83, 42.7299)	(84, 42.6923)	(85, 42.8332)	(86, 42.5318)	(87, 42.4396)	(88, 42.2663)	(89, 42.3263)	(90, 42.220800000000004)	(91, 42.5186)	(92, 42.345699999999994)	(93, 42.2808)	(94, 42.6123)	(95, 42.0452)	(96, 41.829699999999995)	(97, 39.8416)	(98, 36.3487)	(99, 38.5038)	(100, 33.3162)
PGDX10625P7_WGS	(1, 51.6769)	(2, 52.65689999999999)	(3, 39.3785)	(4, 43.1798)	(5, 40.7067)	(6, 41.1947)	(7, 38.0136)	(8, 38.5787)	(9, 41.503299999999996)	(10, 43.4801)	(11, 44.5023)	(12, 43.7999)	(13, 42.6447)	(14, 42.6386)	(15, 41.8272)	(16, 42.871900000000004)	(17, 43.0719)	(18, 42.6107)	(19, 42.789300000000004)	(20, 42.8353)	(21, 43.5541)	(22, 42.6022)	(23, 42.417300000000004)	(24, 42.5952)	(25, 42.4563)	(26, 43.2472)	(27, 43.3197)	(28, 43.4328)	(29, 43.6447)	(30, 42.8394)	(31, 43.1993)	(32, 42.6447)	(33, 43.1445)	(34, 43.0249)	(35, 42.581599999999995)	(36, 43.0409)	(37, 42.7392)	(38, 42.8203)	(39, 42.4685)	(40, 42.8343)	(41, 43.1369)	(42, 42.7796)	(43, 42.4724)	(44, 42.474000000000004)	(45, 42.052800000000005)	(46, 43.0114)	(47, 42.9247)	(48, 42.4859)	(49, 42.561)	(50, 42.8255)	(51, 43.5325)	(52, 42.4743)	(53, 42.6016)	(54, 42.6943)	(55, 42.5719)	(56, 43.080200000000005)	(57, 42.0558)	(58, 42.455)	(59, 42.431999999999995)	(60, 42.4506)	(61, 43.3276)	(62, 43.2168)	(63, 42.1833)	(64, 42.0002)	(65, 42.4064)	(66, 42.4406)	(67, 42.351299999999995)	(68, 42.5279)	(69, 42.2762)	(70, 41.8045)	(71, 42.2947)	(72, 42.269800000000004)	(73, 42.5053)	(74, 42.281800000000004)	(75, 42.293)	(76, 42.6987)	(77, 42.928399999999996)	(78, 43.133500000000005)	(79, 43.2031)	(80, 43.5293)	(81, 43.6554)	(82, 43.5797)	(83, 43.7254)	(84, 43.4835)	(85, 43.560900000000004)	(86, 43.256099999999996)	(87, 43.011300000000006)	(88, 42.8748)	(89, 42.910399999999996)	(90, 42.7785)	(91, 43.113800000000005)	(92, 42.920700000000004)	(93, 42.8367)	(94, 43.0226)	(95, 42.4205)	(96, 42.3003)	(97, 40.3446)	(98, 36.963)	(99, 38.943)	(100, 33.7329)
PGDX10626P6_WGS	(1, 53.252500000000005)	(2, 56.0974)	(3, 38.424)	(4, 42.7998)	(5, 40.408699999999996)	(6, 40.5956)	(7, 36.8405)	(8, 37.1288)	(9, 40.6352)	(10, 43.2619)	(11, 44.2219)	(12, 43.6249)	(13, 42.5228)	(14, 42.573299999999996)	(15, 41.7827)	(16, 42.4649)	(17, 42.594500000000004)	(18, 42.317)	(19, 42.5805)	(20, 42.6047)	(21, 43.1283)	(22, 42.4512)	(23, 42.136)	(24, 42.243199999999995)	(25, 42.3106)	(26, 42.814)	(27, 42.8772)	(28, 43.1597)	(29, 43.2649)	(30, 42.5112)	(31, 42.607800000000005)	(32, 42.0538)	(33, 42.3543)	(34, 42.1806)	(35, 42.4045)	(36, 42.5965)	(37, 42.039300000000004)	(38, 42.4979)	(39, 42.3254)	(40, 42.9083)	(41, 43.116)	(42, 42.4075)	(43, 42.126400000000004)	(44, 41.964600000000004)	(45, 41.567)	(46, 42.2789)	(47, 42.308299999999996)	(48, 42.146)	(49, 42.289100000000005)	(50, 42.512100000000004)	(51, 42.9386)	(52, 41.833999999999996)	(53, 42.010999999999996)	(54, 42.2757)	(55, 42.2853)	(56, 42.627700000000004)	(57, 41.777)	(58, 42.1809)	(59, 42.1286)	(60, 42.1281)	(61, 42.6386)	(62, 42.595)	(63, 41.7445)	(64, 41.6035)	(65, 41.8868)	(66, 41.9612)	(67, 41.9529)	(68, 42.1971)	(69, 42.1362)	(70, 41.713699999999996)	(71, 41.9355)	(72, 41.7949)	(73, 42.0561)	(74, 41.876799999999996)	(75, 41.8273)	(76, 42.0467)	(77, 42.2767)	(78, 42.4073)	(79, 42.4945)	(80, 42.8694)	(81, 42.8737)	(82, 42.8444)	(83, 43.0386)	(84, 42.8855)	(85, 42.974000000000004)	(86, 42.6932)	(87, 42.5546)	(88, 42.3645)	(89, 42.5215)	(90, 42.3989)	(91, 42.6847)	(92, 42.5303)	(93, 42.4952)	(94, 42.808600000000006)	(95, 42.1909)	(96, 41.997299999999996)	(97, 39.9837)	(98, 36.4478)	(99, 38.5563)	(100, 33.3172)
PGDX10626P7_WGS	(1, 53.4328)	(2, 54.370799999999996)	(3, 36.181999999999995)	(4, 43.6137)	(5, 41.3737)	(6, 41.6659)	(7, 35.6305)	(8, 36.0224)	(9, 41.708600000000004)	(10, 42.143)	(11, 45.2476)	(12, 44.5117)	(13, 41.2713)	(14, 43.4792)	(15, 40.6172)	(16, 43.5164)	(17, 43.592999999999996)	(18, 41.1738)	(19, 43.560500000000005)	(20, 41.4967)	(21, 44.1314)	(22, 41.2277)	(23, 40.880100000000006)	(24, 43.1447)	(25, 41.105999999999995)	(26, 43.7338)	(27, 43.769200000000005)	(28, 41.9546)	(29, 44.2047)	(30, 41.3649)	(31, 43.5775)	(32, 40.864200000000004)	(33, 43.2929)	(34, 43.385400000000004)	(35, 41.1894)	(36, 43.4419)	(37, 40.6552)	(38, 40.8435)	(39, 43.4495)	(40, 41.365899999999996)	(41, 43.9839)	(42, 41.0918)	(43, 40.8849)	(44, 42.7803)	(45, 40.293800000000005)	(46, 43.176199999999994)	(47, 43.1421)	(48, 40.7795)	(49, 40.9501)	(50, 41.2314)	(51, 43.7935)	(52, 42.652699999999996)	(53, 42.8083)	(54, 43.047000000000004)	(55, 40.9385)	(56, 43.3685)	(57, 40.348)	(58, 40.794999999999995)	(59, 42.8863)	(60, 40.8326)	(61, 43.5161)	(62, 43.3802)	(63, 40.385)	(64, 40.2654)	(65, 42.6794)	(66, 40.5876)	(67, 40.5211)	(68, 40.7687)	(69, 40.7039)	(70, 40.2555)	(71, 40.4721)	(72, 40.3062)	(73, 40.6088)	(74, 40.4584)	(75, 40.4248)	(76, 40.9028)	(77, 41.3317)	(78, 41.5678)	(79, 41.8024)	(80, 42.3807)	(81, 42.355900000000005)	(82, 42.4165)	(83, 42.479)	(84, 42.5002)	(85, 42.5902)	(86, 42.237700000000004)	(87, 42.248200000000004)	(88, 42.0564)	(89, 42.1426)	(90, 41.973)	(91, 42.274899999999995)	(92, 42.239599999999996)	(93, 42.194199999999995)	(94, 42.5297)	(95, 41.9683)	(96, 41.693000000000005)	(97, 39.7166)	(98, 36.113099999999996)	(99, 38.304899999999996)	(100, 33.2475)
PGDX16571P_WGS	(1, 55.0025)	(2, 55.7836)	(3, 38.5407)	(4, 43.668800000000005)	(5, 41.2474)	(6, 39.8092)	(7, 35.6959)	(8, 38.3545)	(9, 39.5711)	(10, 45.1396)	(11, 46.043)	(12, 42.8784)	(13, 44.364399999999996)	(14, 41.9112)	(15, 43.7594)	(16, 44.3661)	(17, 42.0045)	(18, 44.3577)	(19, 42.143)	(20, 44.8236)	(21, 42.719699999999996)	(22, 42.132)	(23, 44.2019)	(24, 41.577999999999996)	(25, 44.331900000000005)	(26, 44.7633)	(27, 42.2793)	(28, 45.1795)	(29, 42.830200000000005)	(30, 44.7301)	(31, 42.1991)	(32, 44.1447)	(33, 41.7421)	(34, 41.7313)	(35, 44.4726)	(36, 42.063)	(37, 41.5253)	(38, 44.2223)	(39, 44.616099999999996)	(40, 42.4551)	(41, 42.5052)	(42, 42.039)	(43, 44.038199999999996)	(44, 41.3915)	(45, 43.5888)	(46, 44.1666)	(47, 41.6715)	(48, 41.646899999999995)	(49, 41.8571)	(50, 44.6494)	(51, 44.9914)	(52, 43.757200000000005)	(53, 43.8464)	(54, 41.6981)	(55, 44.1465)	(56, 41.9455)	(57, 41.167300000000004)	(58, 44.0655)	(59, 41.5737)	(60, 44.224799999999995)	(61, 44.6313)	(62, 42.023500000000006)	(63, 41.2988)	(64, 43.641000000000005)	(65, 41.307)	(66, 41.389900000000004)	(67, 41.295500000000004)	(68, 41.558299999999996)	(69, 41.5608)	(70, 41.1825)	(71, 41.3392)	(72, 41.077799999999996)	(73, 41.442800000000005)	(74, 41.3374)	(75, 41.3054)	(76, 41.6256)	(77, 41.8034)	(78, 42.1713)	(79, 42.5182)	(80, 43.273)	(81, 42.7793)	(82, 42.484300000000005)	(83, 43.0263)	(84, 42.9468)	(85, 42.8215)	(86, 42.9864)	(87, 43.0106)	(88, 42.5228)	(89, 42.3718)	(90, 42.4266)	(91, 43.0061)	(92, 42.9485)	(93, 43.1708)	(94, 43.3958)	(95, 42.6377)	(96, 42.5284)	(97, 40.2497)	(98, 36.8013)	(99, 39.3421)	(100, 34.1073)
PGDX16585P_WGS	(1, 54.0171)	(2, 56.0198)	(3, 36.1849)	(4, 41.5389)	(5, 39.9409)	(6, 39.6735)	(7, 35.4897)	(8, 35.896699999999996)	(9, 39.469500000000004)	(10, 42.9961)	(11, 43.9275)	(12, 43.0569)	(13, 42.3248)	(14, 41.993700000000004)	(15, 41.6484)	(16, 42.155100000000004)	(17, 42.0747)	(18, 42.310700000000004)	(19, 42.2545)	(20, 42.7374)	(21, 42.7964)	(22, 42.266)	(23, 42.0347)	(24, 41.6291)	(25, 42.1148)	(26, 42.4563)	(27, 42.3195)	(28, 43.0698)	(29, 42.9001)	(30, 42.609)	(31, 42.2785)	(32, 42.0024)	(33, 41.7637)	(34, 42.0244)	(35, 42.4705)	(36, 42.0897)	(37, 41.8649)	(38, 42.186800000000005)	(39, 42.1844)	(40, 42.3822)	(41, 42.6195)	(42, 42.106100000000005)	(43, 41.9609)	(44, 41.4542)	(45, 41.3668)	(46, 41.824)	(47, 41.702099999999994)	(48, 41.727199999999996)	(49, 42.0027)	(50, 42.4934)	(51, 42.7209)	(52, 41.5075)	(53, 41.6172)	(54, 41.6489)	(55, 41.9991)	(56, 41.8999)	(57, 41.260200000000005)	(58, 41.950500000000005)	(59, 41.560399999999994)	(60, 42.0276)	(61, 42.3973)	(62, 42.064)	(63, 41.415)	(64, 41.463699999999996)	(65, 41.304)	(66, 41.465)	(67, 41.4145)	(68, 41.6981)	(69, 41.6957)	(70, 41.306799999999996)	(71, 41.4456)	(72, 41.212700000000005)	(73, 41.5199)	(74, 41.3998)	(75, 41.358200000000004)	(76, 41.4594)	(77, 41.6434)	(78, 41.8384)	(79, 41.9809)	(80, 42.3831)	(81, 42.288599999999995)	(82, 42.1875)	(83, 42.479299999999995)	(84, 42.3887)	(85, 42.4591)	(86, 42.1944)	(87, 42.0952)	(88, 41.847)	(89, 41.970400000000005)	(90, 41.9051)	(91, 42.2316)	(92, 42.147600000000004)	(93, 42.0288)	(94, 42.3151)	(95, 41.6753)	(96, 41.5769)	(97, 39.5598)	(98, 35.9685)	(99, 38.1774)	(100, 32.9782)
PGDX16587P_WGS	(1, 55.0971)	(2, 56.9378)	(3, 38.2448)	(4, 43.1651)	(5, 40.8968)	(6, 40.5081)	(7, 36.428)	(8, 37.9262)	(9, 40.239999999999995)	(10, 44.749)	(11, 45.6368)	(12, 43.623200000000004)	(13, 44.055699999999995)	(14, 42.560900000000004)	(15, 43.3741)	(16, 43.9111)	(17, 42.5764)	(18, 43.919000000000004)	(19, 42.6911)	(20, 44.349199999999996)	(21, 43.322300000000006)	(22, 42.7916)	(23, 43.787)	(24, 42.2393)	(25, 43.9377)	(26, 44.3058)	(27, 42.8954)	(28, 44.7599)	(29, 43.4371)	(30, 44.338100000000004)	(31, 42.813)	(32, 43.7673)	(33, 43.7823)	(34, 42.5379)	(35, 44.0864)	(36, 44.1284)	(37, 43.8234)	(38, 42.5494)	(39, 42.5157)	(40, 42.8199)	(41, 43.1263)	(42, 42.6304)	(43, 43.635200000000005)	(44, 42.0039)	(45, 43.2332)	(46, 43.6909)	(47, 42.3104)	(48, 42.2918)	(49, 42.5171)	(50, 44.2269)	(51, 44.5247)	(52, 43.3069)	(53, 43.397400000000005)	(54, 42.2941)	(55, 43.7938)	(56, 42.5424)	(57, 41.8609)	(58, 43.660900000000005)	(59, 42.1301)	(60, 43.79)	(61, 44.1723)	(62, 42.6418)	(63, 41.934900000000006)	(64, 43.2394)	(65, 41.937000000000005)	(66, 42.0582)	(67, 42.0157)	(68, 42.221)	(69, 42.2236)	(70, 41.8928)	(71, 42.0507)	(72, 41.8075)	(73, 42.0948)	(74, 41.9576)	(75, 41.9464)	(76, 42.161100000000005)	(77, 42.4734)	(78, 42.754799999999996)	(79, 42.7791)	(80, 43.3239)	(81, 43.3162)	(82, 43.116)	(83, 43.4334)	(84, 43.5553)	(85, 43.6064)	(86, 43.4551)	(87, 43.2666)	(88, 42.814)	(89, 42.8594)	(90, 42.8351)	(91, 43.2923)	(92, 43.1265)	(93, 43.2133)	(94, 43.507400000000004)	(95, 42.709399999999995)	(96, 42.6658)	(97, 40.4544)	(98, 36.9544)	(99, 39.325900000000004)	(100, 34.008500000000005)
PGDX16592P_WGS	(1, 57.5737)	(2, 55.070699999999995)	(3, 37.4517)	(4, 44.8658)	(5, 42.3761)	(6, 42.2793)	(7, 35.5341)	(8, 36.754799999999996)	(9, 41.728300000000004)	(10, 43.2537)	(11, 46.8443)	(12, 45.0852)	(13, 42.7485)	(14, 44.1524)	(15, 42.1141)	(16, 45.2183)	(17, 44.0535)	(18, 42.5135)	(19, 44.1467)	(20, 42.9609)	(21, 44.6906)	(22, 41.5665)	(23, 42.4611)	(24, 43.730999999999995)	(25, 42.6374)	(26, 45.6322)	(27, 44.4081)	(28, 43.3778)	(29, 44.8776)	(30, 42.944700000000005)	(31, 44.2509)	(32, 42.36)	(33, 45.056200000000004)	(34, 44.0147)	(35, 42.7538)	(36, 44.2587)	(37, 42.3878)	(38, 45.3021)	(39, 45.3891)	(40, 44.3985)	(41, 41.9206)	(42, 41.4489)	(43, 42.321799999999996)	(44, 43.4488)	(45, 41.8538)	(46, 44.9846)	(47, 43.8205)	(48, 41.2258)	(49, 41.3812)	(50, 42.8429)	(51, 45.722)	(52, 44.5971)	(53, 44.718999999999994)	(54, 43.7785)	(55, 42.412499999999994)	(56, 44.031)	(57, 40.734500000000004)	(58, 42.2719)	(59, 43.5996)	(60, 42.3662)	(61, 45.318999999999996)	(62, 43.979)	(63, 40.7476)	(64, 41.8481)	(65, 43.3857)	(66, 40.887499999999996)	(67, 40.828199999999995)	(68, 41.0479)	(69, 41.0426)	(70, 40.7915)	(71, 40.9028)	(72, 40.5754)	(73, 40.8843)	(74, 40.7774)	(75, 40.7763)	(76, 41.0285)	(77, 41.2742)	(78, 41.6502)	(79, 41.9609)	(80, 42.4489)	(81, 42.5628)	(82, 42.410199999999996)	(83, 42.754799999999996)	(84, 42.756)	(85, 42.857099999999996)	(86, 42.953599999999994)	(87, 43.0417)	(88, 42.7356)	(89, 42.472500000000004)	(90, 42.336400000000005)	(91, 42.795899999999996)	(92, 42.7138)	(93, 42.8654)	(94, 43.2182)	(95, 42.5931)	(96, 42.3574)	(97, 40.2317)	(98, 36.619)	(99, 38.9728)	(100, 33.848299999999995)
PGDX17776P8_WGS	(1, 56.6786)	(2, 54.963499999999996)	(3, 36.9855)	(4, 40.6766)	(5, 39.289699999999996)	(6, 39.975699999999996)	(7, 35.0519)	(8, 35.9408)	(9, 40.025800000000004)	(10, 41.895700000000005)	(11, 43.4262)	(12, 42.6735)	(13, 41.0116)	(14, 41.7961)	(15, 40.5406)	(16, 42.0877)	(17, 42.0009)	(18, 41.0306)	(19, 42.1489)	(20, 41.3605)	(21, 42.5784)	(22, 40.9542)	(23, 40.7015)	(24, 41.535)	(25, 40.9792)	(26, 42.282199999999996)	(27, 42.2265)	(28, 41.705799999999996)	(29, 42.6113)	(30, 41.3122)	(31, 42.0172)	(32, 40.713300000000004)	(33, 41.7183)	(34, 41.719)	(35, 40.8863)	(36, 40.8155)	(37, 40.730199999999996)	(38, 42.0035)	(39, 41.9065)	(40, 41.0829)	(41, 41.3266)	(42, 40.777)	(43, 40.640100000000004)	(44, 41.2184)	(45, 40.266400000000004)	(46, 41.761900000000004)	(47, 41.4872)	(48, 40.5107)	(49, 40.7629)	(50, 41.2325)	(51, 42.3706)	(52, 41.289300000000004)	(53, 41.339)	(54, 41.497099999999996)	(55, 40.819100000000006)	(56, 41.7083)	(57, 40.1916)	(58, 40.6422)	(59, 41.4062)	(60, 40.7511)	(61, 42.098400000000005)	(62, 41.7373)	(63, 40.1117)	(64, 40.1673)	(65, 41.165400000000005)	(66, 40.3138)	(67, 40.2206)	(68, 40.4332)	(69, 40.4329)	(70, 40.1486)	(71, 40.2888)	(72, 40.038000000000004)	(73, 40.295500000000004)	(74, 40.0994)	(75, 40.3019)	(76, 40.325)	(77, 40.4789)	(78, 40.6751)	(79, 40.9422)	(80, 41.4159)	(81, 41.3461)	(82, 41.2438)	(83, 41.4398)	(84, 41.4269)	(85, 41.592600000000004)	(86, 41.348)	(87, 41.2736)	(88, 41.049600000000005)	(89, 41.103)	(90, 41.1016)	(91, 41.383700000000005)	(92, 41.2164)	(93, 41.1832)	(94, 41.4745)	(95, 40.9465)	(96, 40.7596)	(97, 38.8146)	(98, 35.1663)	(99, 37.3978)	(100, 32.351200000000006)
PGDX17778P9_WGS	(1, 56.1808)	(2, 53.038399999999996)	(3, 34.185)	(4, 43.8053)	(5, 42.3317)	(6, 42.2003)	(7, 33.556799999999996)	(8, 33.8914)	(9, 42.234500000000004)	(10, 40.3582)	(11, 46.1453)	(12, 45.1665)	(13, 39.541)	(14, 44.2016)	(15, 39.022800000000004)	(16, 44.4197)	(17, 44.2244)	(18, 39.435199999999995)	(19, 44.2919)	(20, 39.842)	(21, 44.8962)	(22, 39.3839)	(23, 39.1329)	(24, 43.815599999999996)	(25, 39.4236)	(26, 44.624900000000004)	(27, 44.426300000000005)	(28, 40.144999999999996)	(29, 44.8719)	(30, 39.7111)	(31, 44.358799999999995)	(32, 39.1603)	(33, 44.035999999999994)	(34, 44.0383)	(35, 39.3674)	(36, 39.4529)	(37, 43.871300000000005)	(38, 38.9367)	(39, 39.3569)	(40, 44.5641)	(41, 39.753899999999994)	(42, 39.192)	(43, 39.2391)	(44, 43.5019)	(45, 38.6786)	(46, 44.0528)	(47, 43.8186)	(48, 38.8765)	(49, 39.1303)	(50, 39.6268)	(51, 44.7579)	(52, 43.5612)	(53, 43.6997)	(54, 43.7911)	(55, 39.256299999999996)	(56, 44.0865)	(57, 38.4874)	(58, 39.0585)	(59, 43.6479)	(60, 39.1938)	(61, 44.4384)	(62, 44.044200000000004)	(63, 38.5244)	(64, 38.6263)	(65, 43.4605)	(66, 38.751000000000005)	(67, 38.6079)	(68, 38.8328)	(69, 38.891999999999996)	(70, 38.5349)	(71, 38.682)	(72, 38.3461)	(73, 38.67)	(74, 38.5679)	(75, 38.5936)	(76, 39.1239)	(77, 39.6964)	(78, 40.255)	(79, 40.5479)	(80, 41.0715)	(81, 41.531800000000004)	(82, 41.3401)	(83, 41.4613)	(84, 41.557500000000005)	(85, 41.928)	(86, 41.551300000000005)	(87, 41.4877)	(88, 41.422799999999995)	(89, 41.436)	(90, 41.2119)	(91, 41.6312)	(92, 41.6524)	(93, 41.620000000000005)	(94, 41.9957)	(95, 41.5749)	(96, 41.3045)	(97, 39.2956)	(98, 35.531)	(99, 37.8112)	(100, 32.9581)
