Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 53.5454)	(2, 54.3107)	(3, 36.893100000000004)	(4, 42.5584)	(5, 40.3972)	(6, 40.586299999999994)	(7, 35.929899999999996)	(8, 36.5402)	(9, 40.5485)	(10, 42.571999999999996)	(11, 44.493100000000005)	(12, 43.5818)	(13, 41.943799999999996)	(14, 42.606100000000005)	(15, 41.3406)	(16, 42.9414)	(17, 42.7697)	(18, 41.905)	(19, 42.7125)	(20, 42.2485)	(21, 43.180600000000005)	(22, 41.5981)	(23, 41.6014)	(24, 42.275800000000004)	(25, 41.8456)	(26, 43.305)	(27, 43.0764)	(28, 42.7886)	(29, 43.4834)	(30, 42.1762)	(31, 42.7584)	(32, 41.6152)	(33, 42.4659)	(34, 41.4638)	(35, 41.9597)	(36, 43.0767)	(37, 42.5158)	(38, 41.8259)	(39, 42.7679)	(40, 41.8709)	(41, 42.123)	(42, 41.7348)	(43, 41.7112)	(44, 42.1235)	(45, 41.2115)	(46, 42.800700000000006)	(47, 42.553000000000004)	(48, 41.5692)	(49, 41.7505)	(50, 42.2684)	(51, 43.5153)	(52, 42.3769)	(53, 42.5061)	(54, 42.520599999999995)	(55, 41.925200000000004)	(56, 42.800700000000006)	(57, 41.1342)	(58, 41.924299999999995)	(59, 42.4029)	(60, 41.8826)	(61, 43.215599999999995)	(62, 42.8407)	(63, 41.1584)	(64, 41.29)	(65, 42.1271)	(66, 41.3596)	(67, 41.3167)	(68, 41.564299999999996)	(69, 41.489399999999996)	(70, 41.051500000000004)	(71, 41.3467)	(72, 41.132999999999996)	(73, 41.4093)	(74, 41.2265)	(75, 41.1751)	(76, 41.5215)	(77, 41.8522)	(78, 42.0487)	(79, 42.188900000000004)	(80, 42.615700000000004)	(81, 42.6375)	(82, 42.559200000000004)	(83, 42.7846)	(84, 42.7585)	(85, 42.8686)	(86, 42.5698)	(87, 42.477399999999996)	(88, 42.251)	(89, 42.3085)	(90, 42.1717)	(91, 42.3347)	(92, 42.1315)	(93, 41.9968)	(94, 41.9205)	(95, 41.2447)	(96, 41.0281)	(97, 39.0719)	(98, 35.6686)	(99, 37.778099999999995)	(100, 32.7201)
PGDX10625P7_WGS	(1, 51.7228)	(2, 52.6474)	(3, 39.4003)	(4, 43.289899999999996)	(5, 40.7836)	(6, 41.246100000000006)	(7, 37.994099999999996)	(8, 38.573800000000006)	(9, 41.5619)	(10, 43.4548)	(11, 44.5594)	(12, 43.8548)	(13, 42.6252)	(14, 42.679899999999996)	(15, 41.7991)	(16, 42.9176)	(17, 43.122899999999994)	(18, 42.5973)	(19, 42.8406)	(20, 42.822900000000004)	(21, 43.5757)	(22, 42.5659)	(23, 42.4024)	(24, 42.6255)	(25, 42.4274)	(26, 43.2997)	(27, 43.388)	(28, 43.4276)	(29, 43.7061)	(30, 42.8352)	(31, 43.2526)	(32, 42.6531)	(33, 43.2175)	(34, 43.0899)	(35, 42.5851)	(36, 43.113299999999995)	(37, 42.8292)	(38, 42.9003)	(39, 42.4769)	(40, 42.8294)	(41, 43.1377)	(42, 42.814099999999996)	(43, 42.5348)	(44, 42.5814)	(45, 42.089)	(46, 43.1401)	(47, 43.0128)	(48, 42.518)	(49, 42.6136)	(50, 42.8753)	(51, 43.6618)	(52, 42.640299999999996)	(53, 42.7562)	(54, 42.8202)	(55, 42.6482)	(56, 43.1975)	(57, 42.0912)	(58, 42.5288)	(59, 42.5837)	(60, 42.5287)	(61, 43.4506)	(62, 43.3349)	(63, 42.2403)	(64, 42.0625)	(65, 42.5304)	(66, 42.5041)	(67, 42.4369)	(68, 42.601299999999995)	(69, 42.3214)	(70, 41.8475)	(71, 42.3578)	(72, 42.3145)	(73, 42.5296)	(74, 42.3315)	(75, 42.3151)	(76, 42.7347)	(77, 42.971599999999995)	(78, 43.1838)	(79, 43.2542)	(80, 43.5632)	(81, 43.6995)	(82, 43.6198)	(83, 43.7657)	(84, 43.528)	(85, 43.5703)	(86, 43.2521)	(87, 43.0135)	(88, 42.8201)	(89, 42.8724)	(90, 42.6982)	(91, 42.8921)	(92, 42.6631)	(93, 42.5043)	(94, 42.2776)	(95, 41.5579)	(96, 41.4344)	(97, 39.516)	(98, 36.214600000000004)	(99, 38.1406)	(100, 33.0616)
PGDX10626P6_WGS	(1, 53.3335)	(2, 56.0636)	(3, 38.435900000000004)	(4, 42.9681)	(5, 40.570499999999996)	(6, 40.7313)	(7, 36.8271)	(8, 37.1156)	(9, 40.7744)	(10, 43.222)	(11, 44.346000000000004)	(12, 43.7691)	(13, 42.487700000000004)	(14, 42.702400000000004)	(15, 41.7382)	(16, 42.5914)	(17, 42.735)	(18, 42.2854)	(19, 42.7201)	(20, 42.5786)	(21, 43.2387)	(22, 42.3998)	(23, 42.1055)	(24, 42.359700000000004)	(25, 42.2648)	(26, 42.9483)	(27, 43.0217)	(28, 43.1315)	(29, 43.4003)	(30, 42.4863)	(31, 42.736200000000004)	(32, 42.0332)	(33, 42.4844)	(34, 42.1448)	(35, 42.3759)	(36, 42.7248)	(37, 42.0225)	(38, 42.6501)	(39, 42.320600000000006)	(40, 43.0628)	(41, 43.2759)	(42, 42.4152)	(43, 42.1504)	(44, 42.146899999999995)	(45, 41.5739)	(46, 42.4699)	(47, 42.4706)	(48, 42.1499)	(49, 42.309799999999996)	(50, 42.5287)	(51, 43.1481)	(52, 42.0517)	(53, 42.2233)	(54, 42.470200000000006)	(55, 42.3223)	(56, 42.817899999999995)	(57, 41.8)	(58, 42.2268)	(59, 42.3527)	(60, 42.1804)	(61, 42.8411)	(62, 42.784299999999995)	(63, 41.777)	(64, 41.6395)	(65, 42.0906)	(66, 42.0154)	(67, 42.0182)	(68, 42.248400000000004)	(69, 42.1659)	(70, 41.7495)	(71, 41.992000000000004)	(72, 41.8261)	(73, 42.0801)	(74, 41.9207)	(75, 41.8535)	(76, 42.1087)	(77, 42.350300000000004)	(78, 42.4906)	(79, 42.5813)	(80, 42.939)	(81, 42.9754)	(82, 42.9323)	(83, 43.1167)	(84, 42.9768)	(85, 43.0372)	(86, 42.762899999999995)	(87, 42.6225)	(88, 42.391400000000004)	(89, 42.5398)	(90, 42.3817)	(91, 42.525600000000004)	(92, 42.355)	(93, 42.2502)	(94, 42.1549)	(95, 41.429500000000004)	(96, 41.2166)	(97, 39.2418)	(98, 35.7923)	(99, 37.8454)	(100, 32.740399999999994)
PGDX10626P7_WGS	(1, 53.913)	(2, 53.7926)	(3, 35.8173)	(4, 44.3392)	(5, 42.0912)	(6, 42.3617)	(7, 35.2564)	(8, 35.6661)	(9, 42.4008)	(10, 41.6955)	(11, 45.9017)	(12, 45.1811)	(13, 40.8408)	(14, 44.1457)	(15, 40.186)	(16, 44.191599999999994)	(17, 44.2648)	(18, 40.7589)	(19, 44.229)	(20, 41.0776)	(21, 44.767)	(22, 40.7833)	(23, 40.467999999999996)	(24, 43.7939)	(25, 40.6845)	(26, 44.4147)	(27, 44.442)	(28, 41.5443)	(29, 44.8556)	(30, 40.9664)	(31, 44.230599999999995)	(32, 40.477000000000004)	(33, 43.9834)	(34, 44.0584)	(35, 40.7858)	(36, 44.0942)	(37, 40.2459)	(38, 40.462199999999996)	(39, 44.1264)	(40, 40.9705)	(41, 44.6611)	(42, 40.708800000000004)	(43, 40.591300000000004)	(44, 43.4638)	(45, 39.9371)	(46, 43.9127)	(47, 43.838300000000004)	(48, 40.3949)	(49, 40.5768)	(50, 40.8663)	(51, 44.5447)	(52, 43.4302)	(53, 43.5734)	(54, 43.7777)	(55, 40.6086)	(56, 44.084)	(57, 39.989999999999995)	(58, 40.4688)	(59, 43.6367)	(60, 40.5193)	(61, 44.2604)	(62, 44.1)	(63, 40.0345)	(64, 39.9402)	(65, 43.4093)	(66, 40.2575)	(67, 40.1933)	(68, 40.4215)	(69, 40.3388)	(70, 39.9025)	(71, 40.1328)	(72, 39.9501)	(73, 40.2436)	(74, 40.1239)	(75, 40.0801)	(76, 40.7885)	(77, 41.3243)	(78, 41.5835)	(79, 41.8626)	(80, 42.487399999999994)	(81, 42.4717)	(82, 42.5723)	(83, 42.5831)	(84, 42.6404)	(85, 42.7056)	(86, 42.3442)	(87, 42.4097)	(88, 42.173)	(89, 42.222100000000005)	(90, 42.0009)	(91, 42.158)	(92, 42.1453)	(93, 42.0417)	(94, 41.9916)	(95, 41.3251)	(96, 41.0026)	(97, 39.082)	(98, 35.546)	(99, 37.6798)	(100, 32.7927)
PGDX16571P_WGS	(1, 54.8896)	(2, 55.6668)	(3, 38.704499999999996)	(4, 43.8429)	(5, 41.3939)	(6, 39.7411)	(7, 35.6223)	(8, 38.4869)	(9, 39.5007)	(10, 45.2408)	(11, 46.1723)	(12, 42.8075)	(13, 44.4781)	(14, 41.8268)	(15, 43.8626)	(16, 44.4846)	(17, 41.9388)	(18, 44.461600000000004)	(19, 42.0846)	(20, 44.932)	(21, 42.6329)	(22, 42.033300000000004)	(23, 44.299)	(24, 41.5146)	(25, 44.425)	(26, 44.8753)	(27, 42.2371)	(28, 45.2774)	(29, 42.7774)	(30, 44.8371)	(31, 42.1408)	(32, 44.244499999999995)	(33, 41.6715)	(34, 41.65)	(35, 44.569199999999995)	(36, 41.990899999999996)	(37, 41.4597)	(38, 44.358599999999996)	(39, 44.756)	(40, 42.3889)	(41, 42.43)	(42, 42.0079)	(43, 44.172200000000004)	(44, 41.384100000000004)	(45, 43.7326)	(46, 44.3328)	(47, 41.6273)	(48, 41.585899999999995)	(49, 41.8328)	(50, 44.8025)	(51, 45.1923)	(52, 43.9636)	(53, 44.028600000000004)	(54, 41.7033)	(55, 44.3046)	(56, 41.9357)	(57, 41.1362)	(58, 44.2316)	(59, 41.6048)	(60, 44.412099999999995)	(61, 44.8011)	(62, 42.009299999999996)	(63, 41.281400000000005)	(64, 43.7873)	(65, 41.2966)	(66, 41.3712)	(67, 41.2822)	(68, 41.5366)	(69, 41.5129)	(70, 41.152899999999995)	(71, 41.3178)	(72, 41.0359)	(73, 41.387800000000006)	(74, 41.3103)	(75, 41.2675)	(76, 41.6151)	(77, 41.7936)	(78, 42.176399999999994)	(79, 42.5383)	(80, 43.3024)	(81, 42.788399999999996)	(82, 42.4751)	(83, 43.0394)	(84, 42.957499999999996)	(85, 42.7967)	(86, 42.9932)	(87, 43.0119)	(88, 42.463)	(89, 42.296)	(90, 42.3325)	(91, 42.7775)	(92, 42.6976)	(93, 42.8602)	(94, 42.6696)	(95, 41.7859)	(96, 41.6807)	(97, 39.4214)	(98, 36.0679)	(99, 38.5732)	(100, 33.47)
PGDX16585P_WGS	(1, 54.0026)	(2, 56.0146)	(3, 36.2494)	(4, 41.6421)	(5, 40.012)	(6, 39.7038)	(7, 35.5045)	(8, 35.9354)	(9, 39.487899999999996)	(10, 43.016)	(11, 43.9784)	(12, 43.0837)	(13, 42.3606)	(14, 42.0014)	(15, 41.6633)	(16, 42.2003)	(17, 42.0978)	(18, 42.343199999999996)	(19, 42.274)	(20, 42.774699999999996)	(21, 42.8001)	(22, 42.2483)	(23, 42.07)	(24, 41.6423)	(25, 42.1335)	(26, 42.511900000000004)	(27, 42.3549)	(28, 43.1019)	(29, 42.9264)	(30, 42.6487)	(31, 42.3007)	(32, 42.038799999999995)	(33, 41.781800000000004)	(34, 42.0646)	(35, 42.5336)	(36, 42.1084)	(37, 41.913)	(38, 42.2695)	(39, 42.226200000000006)	(40, 42.3682)	(41, 42.621700000000004)	(42, 42.133700000000005)	(43, 42.0308)	(44, 41.513)	(45, 41.4259)	(46, 41.924499999999995)	(47, 41.7438)	(48, 41.7478)	(49, 42.045500000000004)	(50, 42.567899999999995)	(51, 42.837599999999995)	(52, 41.6348)	(53, 41.7386)	(54, 41.7181)	(55, 42.0891)	(56, 41.971799999999995)	(57, 41.299)	(58, 42.0431)	(59, 41.6568)	(60, 42.134100000000004)	(61, 42.5093)	(62, 42.133900000000004)	(63, 41.467999999999996)	(64, 41.5512)	(65, 41.3863)	(66, 41.5275)	(67, 41.4835)	(68, 41.7549)	(69, 41.7293)	(70, 41.3661)	(71, 41.5139)	(72, 41.2586)	(73, 41.558299999999996)	(74, 41.464099999999995)	(75, 41.4061)	(76, 41.524499999999996)	(77, 41.7022)	(78, 41.9079)	(79, 42.045700000000004)	(80, 42.4392)	(81, 42.3526)	(82, 42.240899999999996)	(83, 42.5413)	(84, 42.4534)	(85, 42.493900000000004)	(86, 42.2428)	(87, 42.127700000000004)	(88, 41.8275)	(89, 41.952600000000004)	(90, 41.86)	(91, 42.039300000000004)	(92, 41.923100000000005)	(93, 41.7299)	(94, 41.6138)	(95, 40.8647)	(96, 40.754400000000004)	(97, 38.7674)	(98, 35.2694)	(99, 37.4214)	(100, 32.3501)
PGDX16587P_WGS	(1, 55.0213)	(2, 56.881)	(3, 38.368900000000004)	(4, 43.298700000000004)	(5, 41.0052)	(6, 40.4662)	(7, 36.385400000000004)	(8, 38.016)	(9, 40.194)	(10, 44.8163)	(11, 45.7171)	(12, 43.5747)	(13, 44.128699999999995)	(14, 42.5035)	(15, 43.4334)	(16, 43.9882)	(17, 42.531400000000005)	(18, 43.9894)	(19, 42.6489)	(20, 44.4235)	(21, 43.2529)	(22, 42.7243)	(23, 43.8596)	(24, 42.1873)	(25, 43.999700000000004)	(26, 44.3833)	(27, 42.8677)	(28, 44.826100000000004)	(29, 43.3987)	(30, 44.4125)	(31, 42.7721)	(32, 43.850899999999996)	(33, 43.8705)	(34, 42.5037)	(35, 44.1687)	(36, 44.221700000000006)	(37, 43.917699999999996)	(38, 42.5163)	(39, 42.4681)	(40, 42.7563)	(41, 43.0741)	(42, 42.6177)	(43, 43.7448)	(44, 42.0125)	(45, 43.3367)	(46, 43.8185)	(47, 42.2881)	(48, 42.262499999999996)	(49, 42.5181)	(50, 44.3416)	(51, 44.6817)	(52, 43.47)	(53, 43.5441)	(54, 42.308800000000005)	(55, 43.9212)	(56, 42.5474)	(57, 41.8525)	(58, 43.7927)	(59, 42.173899999999996)	(60, 43.9354)	(61, 44.3018)	(62, 42.64)	(63, 41.9404)	(64, 43.3566)	(65, 41.946600000000004)	(66, 42.0665)	(67, 42.026799999999994)	(68, 42.222)	(69, 42.1997)	(70, 41.887299999999996)	(71, 42.060900000000004)	(72, 41.795)	(73, 42.0676)	(74, 41.958)	(75, 41.9355)	(76, 42.1642)	(77, 42.4903)	(78, 42.7892)	(79, 42.800399999999996)	(80, 43.345)	(81, 43.341)	(82, 43.1269)	(83, 43.4568)	(84, 43.5985)	(85, 43.6186)	(86, 43.4732)	(87, 43.2705)	(88, 42.7523)	(89, 42.7897)	(90, 42.7398)	(91, 43.0567)	(92, 42.863800000000005)	(93, 42.883300000000006)	(94, 42.7572)	(95, 41.8262)	(96, 41.7853)	(97, 39.5972)	(98, 36.1916)	(99, 38.5204)	(100, 33.335)
PGDX16592P_WGS	(1, 57.6229)	(2, 54.9443)	(3, 37.4655)	(4, 45.050200000000004)	(5, 42.5443)	(6, 42.361900000000006)	(7, 35.4478)	(8, 36.7402)	(9, 41.8147)	(10, 43.208400000000005)	(11, 46.9809)	(12, 45.1633)	(13, 42.7078)	(14, 44.221)	(15, 42.0645)	(16, 45.3554)	(17, 44.1323)	(18, 42.477900000000005)	(19, 44.2243)	(20, 42.924099999999996)	(21, 44.744)	(22, 41.4557)	(23, 42.4273)	(24, 43.8017)	(25, 42.591699999999996)	(26, 45.7684)	(27, 44.4987)	(28, 43.3467)	(29, 44.9559)	(30, 42.919200000000004)	(31, 44.326)	(32, 42.3431)	(33, 45.210699999999996)	(34, 44.0928)	(35, 42.728100000000005)	(36, 44.3304)	(37, 42.3824)	(38, 45.4735)	(39, 45.562599999999996)	(40, 44.4743)	(41, 41.8283)	(42, 41.3907)	(43, 42.336800000000004)	(44, 43.561)	(45, 41.8595)	(46, 45.1709)	(47, 43.9178)	(48, 41.1511)	(49, 41.3302)	(50, 42.857800000000005)	(51, 45.9289)	(52, 44.8149)	(53, 44.921299999999995)	(54, 43.903)	(55, 42.4398)	(56, 44.1479)	(57, 40.6747)	(58, 42.300900000000006)	(59, 43.7449)	(60, 42.4049)	(61, 45.5019)	(62, 44.0862)	(63, 40.7018)	(64, 41.862100000000005)	(65, 43.5)	(66, 40.8474)	(67, 40.7893)	(68, 41.004400000000004)	(69, 40.976)	(70, 40.7357)	(71, 40.8602)	(72, 40.5145)	(73, 40.807700000000004)	(74, 40.731)	(75, 40.7115)	(76, 40.989599999999996)	(77, 41.247)	(78, 41.6428)	(79, 41.9633)	(80, 42.444500000000005)	(81, 42.580200000000005)	(82, 42.4155)	(83, 42.7669)	(84, 42.7767)	(85, 42.849)	(86, 42.9626)	(87, 43.0492)	(88, 42.6937)	(89, 42.4213)	(90, 42.2515)	(91, 42.5774)	(92, 42.4671)	(93, 42.5566)	(94, 42.4984)	(95, 41.7561)	(96, 41.5248)	(97, 39.4268)	(98, 35.909600000000005)	(99, 38.2204)	(100, 33.231300000000005)
PGDX17776P8_WGS	(1, 56.7581)	(2, 54.9415)	(3, 37.0156)	(4, 40.8264)	(5, 39.4172)	(6, 40.0811)	(7, 35.0375)	(8, 35.936800000000005)	(9, 40.124700000000004)	(10, 41.8715)	(11, 43.5429)	(12, 42.768499999999996)	(13, 40.9987)	(14, 41.8814)	(15, 40.5105)	(16, 42.193599999999996)	(17, 42.094300000000004)	(18, 41.0207)	(19, 42.2388)	(20, 41.349000000000004)	(21, 42.6538)	(22, 40.9097)	(23, 40.6904)	(24, 41.6173)	(25, 40.9563)	(26, 42.3963)	(27, 42.3259)	(28, 41.685100000000006)	(29, 42.6847)	(30, 41.2898)	(31, 42.088300000000004)	(32, 40.6977)	(33, 41.8225)	(34, 41.7943)	(35, 40.836600000000004)	(36, 40.77)	(37, 40.7359)	(38, 42.1447)	(39, 42.0205)	(40, 41.0543)	(41, 41.3108)	(42, 40.7844)	(43, 40.6864)	(44, 41.3502)	(45, 40.295199999999994)	(46, 41.9296)	(47, 41.6117)	(48, 40.510400000000004)	(49, 40.7851)	(50, 41.2768)	(51, 42.5611)	(52, 41.483799999999995)	(53, 41.5273)	(54, 41.6394)	(55, 40.8831)	(56, 41.8613)	(57, 40.205600000000004)	(58, 40.7109)	(59, 41.577799999999996)	(60, 40.8261)	(61, 42.2732)	(62, 41.8767)	(63, 40.141)	(64, 40.2157)	(65, 41.3113)	(66, 40.361599999999996)	(67, 40.2703)	(68, 40.4696)	(69, 40.447100000000006)	(70, 40.1793)	(71, 40.3281)	(72, 40.062)	(73, 40.292899999999996)	(74, 40.1254)	(75, 40.3113)	(76, 40.352199999999996)	(77, 40.5109)	(78, 40.7137)	(79, 40.9899)	(80, 41.450700000000005)	(81, 41.396)	(82, 41.2833)	(83, 41.4762)	(84, 41.4643)	(85, 41.615)	(86, 41.3664)	(87, 41.2917)	(88, 41.0141)	(89, 41.0597)	(90, 41.0381)	(91, 41.1831)	(92, 40.9833)	(93, 40.8807)	(94, 40.7788)	(95, 40.1445)	(96, 39.9569)	(97, 38.0419)	(98, 34.4774)	(99, 36.6529)	(100, 31.737900000000003)
PGDX17778P9_WGS	(1, 56.6998)	(2, 52.434099999999994)	(3, 33.8706)	(4, 44.5845)	(5, 43.105199999999996)	(6, 42.928)	(7, 33.1853)	(8, 33.576)	(9, 42.9565)	(10, 39.9339)	(11, 46.8635)	(12, 45.846399999999996)	(13, 39.1474)	(14, 44.8813)	(15, 38.618900000000004)	(16, 45.1611)	(17, 44.900400000000005)	(18, 39.0565)	(19, 44.963300000000004)	(20, 39.4495)	(21, 45.547900000000006)	(22, 38.920300000000005)	(23, 38.766099999999994)	(24, 44.4874)	(25, 39.035599999999995)	(26, 45.368)	(27, 45.0988)	(28, 39.7672)	(29, 45.5083)	(30, 39.335300000000004)	(31, 45.001000000000005)	(32, 38.786)	(33, 44.7622)	(34, 44.7011)	(35, 38.8986)	(36, 39.062999999999995)	(37, 44.554899999999996)	(38, 38.5093)	(39, 39.0045)	(40, 45.2134)	(41, 39.3311)	(42, 38.7752)	(43, 38.9876)	(44, 44.203399999999995)	(45, 38.3571)	(46, 44.8324)	(47, 44.516)	(48, 38.480199999999996)	(49, 38.7369)	(50, 39.3028)	(51, 45.5612)	(52, 44.3893)	(53, 44.522600000000004)	(54, 44.5184)	(55, 38.957300000000004)	(56, 44.8077)	(57, 38.1017)	(58, 38.7627)	(59, 44.3916)	(60, 38.907599999999995)	(61, 45.2213)	(62, 44.769)	(63, 38.1538)	(64, 38.3245)	(65, 44.1813)	(66, 38.3891)	(67, 38.2423)	(68, 38.448)	(69, 38.4921)	(70, 38.1496)	(71, 38.3065)	(72, 37.9605)	(73, 38.266099999999994)	(74, 38.199)	(75, 38.2209)	(76, 38.9579)	(77, 39.636900000000004)	(78, 40.2826)	(79, 40.5698)	(80, 41.080600000000004)	(81, 41.6303)	(82, 41.4302)	(83, 41.5229)	(84, 41.654799999999994)	(85, 42.037600000000005)	(86, 41.6307)	(87, 41.5886)	(88, 41.505700000000004)	(89, 41.4918)	(90, 41.198299999999996)	(91, 41.488)	(92, 41.5202)	(93, 41.4331)	(94, 41.4274)	(95, 40.903099999999995)	(96, 40.610800000000005)	(97, 38.6428)	(98, 34.953)	(99, 37.184400000000004)	(100, 32.4848)
