Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 0.039727399999999996)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 4.43687e-05)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 2.21858e-06)	(71, 6.65586e-06)	(72, 8.87461e-06)	(73, 8.87486e-06)	(74, 6.6563300000000005e-06)	(75, 4.437679999999999e-06)	(76, 2.21891e-06)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 2.88532e-05)	(83, 3.3293699999999996e-05)	(84, 2.44164e-05)	(85, 2.66371e-05)	(86, 2.21985e-05)	(87, 8.879839999999999e-06)	(88, 1.77606e-05)	(89, 1.99817e-05)	(90, 4.21862e-05)	(91, 8.21588e-05)	(92, 0.000113258)	(93, 0.000286506)	(94, 0.000573066)	(95, 0.000562004)	(96, 1.57192)	(97, 7.999340000000001)	(98, 10.142900000000001)	(99, 16.4121)	(100, 42.6737)
PGDX10625P7_WGS	(1, 0.0349996)	(2, 4.621320000000001e-06)	(3, 2.3106600000000003e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 2.3126e-06)	(58, 2.31262e-06)	(59, 2.3126499999999998e-06)	(60, 2.31267e-06)	(61, 2.3127e-06)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 4.6256e-06)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 2.3129600000000003e-06)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 2.31343e-06)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 6.941750000000001e-06)	(83, 6.94212e-06)	(84, 4.62829e-06)	(85, 4.62851e-06)	(86, 2.31438e-06)	(87, 6.943539999999999e-06)	(88, 1.15733e-05)	(89, 1.38889e-05)	(90, 2.5465e-05)	(91, 8.56646e-05)	(92, 0.000148198)	(93, 0.00038675900000000003)	(94, 0.0008153160000000001)	(95, 0.000789932)	(96, 1.5469)	(97, 7.88125)	(98, 10.019400000000001)	(99, 16.3687)	(100, 42.4993)
PGDX10626P6_WGS	(1, 1.96361)	(2, 0.0423124)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00156664)	(26, 0.00084085)	(27, 0.0004956590000000001)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0032232)	(54, 0.000148425)	(55, 0.000148427)	(56, 0.0)	(57, 0.0)	(58, 1.99388e-05)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 1.55089e-05)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 8.863560000000001e-05)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.000445461)	(78, 0.000170655)	(79, 0.00033689099999999997)	(80, 2.2164799999999997e-06)	(81, 2.21661e-06)	(82, 3.76843e-05)	(83, 1.77346e-05)	(84, 1.55184e-05)	(85, 1.9953e-05)	(86, 2.43881e-05)	(87, 2.21721e-05)	(88, 1.99558e-05)	(89, 1.5522e-05)	(90, 0.000827154)	(91, 0.000235082)	(92, 0.0007541070000000001)	(93, 0.000250655)	(94, 0.000496919)	(95, 0.00047699200000000003)	(96, 1.54226)	(97, 7.97207)	(98, 10.1214)	(99, 16.406000000000002)	(100, 42.689)
PGDX10626P7_WGS	(1, 1.95905)	(2, 0.0432899)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.00145991)	(26, 0.0007959110000000001)	(27, 0.000424784)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0031647399999999997)	(54, 0.000152196)	(55, 0.000116387)	(56, 0.0)	(57, 0.0)	(58, 1.56681e-05)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 4.47687e-06)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.00010746)	(73, 2.2388199999999998e-06)	(74, 2.2388799999999997e-06)	(75, 2.23894e-06)	(76, 2.23901e-06)	(77, 0.00042990300000000003)	(78, 0.000172415)	(79, 0.00033140700000000003)	(80, 0.0)	(81, 0.0)	(82, 4.25523e-05)	(83, 1.79176e-05)	(84, 2.23979e-05)	(85, 1.7919e-05)	(86, 2.01598e-05)	(87, 1.56806e-05)	(88, 1.79215e-05)	(89, 1.3441900000000001e-05)	(90, 0.0007998469999999999)	(91, 0.000268881)	(92, 0.000759675)	(93, 0.000298078)	(94, 0.000643286)	(95, 0.000641099)	(96, 1.54405)	(97, 7.992100000000001)	(98, 10.1571)	(99, 16.4086)	(100, 42.794399999999996)
PGDX16571P_WGS	(1, 0.0448272)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.00028819100000000003)	(14, 0.0)	(15, 0.0)	(16, 0.000255018)	(17, 0.00013891200000000001)	(18, 0.0)	(19, 0.000122326)	(20, 0.00278861)	(21, 0.000611629)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 2.9026499999999997e-05)	(27, 0.000209405)	(28, 0.000225992)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 1.2443599999999999e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 6.227450000000001e-06)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 6.22798e-06)	(54, 0.0)	(55, 0.0)	(56, 8.7196e-05)	(57, 2.07613e-06)	(58, 0.0)	(59, 0.000398631)	(60, 0.000444314)	(61, 0.00673541)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.00131436)	(66, 0.0)	(67, 0.0)	(68, 3.32241e-05)	(69, 0.0)	(70, 0.0)	(71, 1.2459699999999999e-05)	(72, 2.07665e-06)	(73, 2.0767e-06)	(74, 2.07676e-06)	(75, 2.07681e-06)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 2.07719e-06)	(81, 4.15462e-06)	(82, 4.57035e-05)	(83, 5.8171099999999996e-05)	(84, 6.0251400000000004e-05)	(85, 4.1554700000000004e-05)	(86, 3.1167599999999996e-05)	(87, 2.28575e-05)	(88, 2.2858900000000002e-05)	(89, 1.8704000000000003e-05)	(90, 4.15683e-05)	(91, 0.00010809200000000001)	(92, 0.000114348)	(93, 0.00041172699999999997)	(94, 0.000913013)	(95, 0.000908967)	(96, 1.5736400000000001)	(97, 7.882300000000001)	(98, 10.036100000000001)	(99, 16.3278)	(100, 42.2796)
PGDX16585P_WGS	(1, 1.05413)	(2, 5.08368e-05)	(3, 6.77824e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.000213514)	(26, 0.0004982)	(27, 0.000477866)	(28, 1.3556500000000001e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 1.0186799999999999e-05)	(84, 1.01873e-05)	(85, 1.01877e-05)	(86, 1.3584300000000001e-05)	(87, 1.35851e-05)	(88, 1.35859e-05)	(89, 1.01901e-05)	(90, 3.05732e-05)	(91, 0.00010871900000000001)	(92, 0.00011553400000000001)	(93, 0.000377253)	(94, 0.0009007959999999999)	(95, 0.000917913)	(96, 1.56596)	(97, 8.05288)	(98, 10.2441)	(99, 16.5568)	(100, 42.8526)
PGDX16587P_WGS	(1, 0.07801000000000001)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 6.37718e-05)	(24, 9.17692e-05)	(25, 0.00017265)	(26, 0.0010219)	(27, 0.0007497070000000001)	(28, 0.000286195)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 3.11516e-06)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 3.11535e-06)	(73, 3.11543e-06)	(74, 3.1155100000000003e-06)	(75, 1.5578e-06)	(76, 0.0)	(77, 3.11578e-06)	(78, 3.1158799999999995e-06)	(79, 3.1160000000000003e-06)	(80, 4.6742399999999995e-06)	(81, 6.232719999999999e-06)	(82, 5.4539899999999996e-05)	(83, 7.636e-05)	(84, 7.63638e-05)	(85, 6.38994e-05)	(86, 5.1434099999999996e-05)	(87, 3.58502e-05)	(88, 3.89702e-05)	(89, 3.42965e-05)	(90, 4.5214000000000005e-05)	(91, 0.00012162900000000001)	(92, 0.000146608)	(93, 0.00045863800000000004)	(94, 0.000978295)	(95, 0.00099873)	(96, 1.57198)	(97, 7.885060000000001)	(98, 10.0405)	(99, 16.380300000000002)	(100, 42.1446)
PGDX16592P_WGS	(1, 0.14989)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 7.86142e-05)	(28, 0.0)	(29, 0.0)	(30, 0.000558321)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.00039650000000000004)	(36, 5.4585099999999993e-05)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 1.60651e-06)	(52, 1.6065300000000002e-06)	(53, 1.6065600000000002e-06)	(54, 0.00264926)	(55, 0.00387033)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.00113119)	(63, 0.0)	(64, 0.000353509)	(65, 7.23099e-05)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 1.6070800000000001e-06)	(73, 1.60712e-06)	(74, 1.6071600000000002e-06)	(75, 0.0)	(76, 0.000646111)	(77, 1.60729e-06)	(78, 1.60733e-06)	(79, 1.6073800000000001e-06)	(80, 3.2148700000000004e-06)	(81, 3.215e-06)	(82, 0.00102723)	(83, 0.00030544700000000003)	(84, 3.05456e-05)	(85, 3.53697e-05)	(86, 2.73321e-05)	(87, 2.09018e-05)	(88, 2.7334e-05)	(89, 3.21589e-05)	(90, 5.46724e-05)	(91, 0.000110959)	(92, 0.00012061500000000001)	(93, 0.000215512)	(94, 0.000392446)	(95, 0.000791365)	(96, 1.59067)	(97, 7.92995)	(98, 10.1076)	(99, 16.393)	(100, 42.5193)
PGDX17776P8_WGS	(1, 0.047008)	(2, 0.000544487)	(3, 0.0)	(4, 0.00019994299999999998)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.000351685)	(14, 0.0)	(15, 3.92745e-05)	(16, 2.49929e-05)	(17, 0.000424879)	(18, 9.46158e-05)	(19, 0.000530206)	(20, 0.0)	(21, 9.28306e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 5.35561e-06)	(29, 0.0065999000000000006)	(30, 0.015788299999999998)	(31, 0.0237075)	(32, 0.0199227)	(33, 0.00744833)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00095818)	(60, 0.00020915799999999998)	(61, 5.18436e-05)	(62, 0.0)	(63, 1.43022e-05)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 1.7884299999999999e-06)	(78, 1.7885199999999998e-06)	(79, 3.5772300000000002e-06)	(80, 5.3662e-06)	(81, 3.5777499999999998e-06)	(82, 1.78902e-05)	(83, 1.78915e-05)	(84, 1.07357e-05)	(85, 1.07365e-05)	(86, 1.25269e-05)	(87, 2.32663e-05)	(88, 3.57975e-05)	(89, 3.22209e-05)	(90, 5.7288400000000005e-05)	(91, 0.000148614)	(92, 0.00014864)	(93, 0.000429883)	(94, 0.0009279959999999999)	(95, 0.00093173)	(96, 1.5838499999999998)	(97, 8.16234)	(98, 10.3332)	(99, 16.5168)	(100, 43.2133)
PGDX17778P9_WGS	(1, 0.0432256)	(2, 0.0)	(3, 0.0)	(4, 0.00236876)	(5, 0.0132734)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 7.31852e-05)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 4.39111e-05)	(17, 0.000585482)	(18, 0.0)	(19, 0.00019272099999999997)	(20, 0.0006513479999999999)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.00268346)	(30, 0.0118292)	(31, 0.0191599)	(32, 0.0195804)	(33, 0.0106175)	(34, 0.000329473)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.00273111)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 2.44317e-06)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 2.4438899999999997e-06)	(81, 2.44404e-06)	(82, 2.44419e-06)	(83, 2.44432e-06)	(84, 4.88885e-06)	(85, 1.22226e-05)	(86, 1.46678e-05)	(87, 1.95581e-05)	(88, 2.20041e-05)	(89, 9.780179999999999e-06)	(90, 3.1788e-05)	(91, 8.803689999999999e-05)	(92, 9.29396e-05)	(93, 0.00030331900000000003)	(94, 0.000596924)	(95, 0.000621447)	(96, 1.5886500000000001)	(97, 8.07229)	(98, 10.239700000000001)	(99, 16.4218)	(100, 42.9917)
