Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 0.09958370000000001)	(2, 0.113443)	(3, 0.09166200000000001)	(4, 0.10072300000000001)	(5, 0.10414300000000001)	(6, 0.11515600000000001)	(7, 0.144714)	(8, 0.12878699999999998)	(9, 0.15070999999999998)	(10, 0.151826)	(11, 0.157852)	(12, 0.17471)	(13, 0.213926)	(14, 0.295429)	(15, 0.325211)	(16, 0.367359)	(17, 0.387892)	(18, 0.39747899999999997)	(19, 0.446437)	(20, 0.394071)	(21, 0.471203)	(22, 0.453111)	(23, 0.396755)	(24, 0.390285)	(25, 0.399797)	(26, 0.416852)	(27, 0.42391399999999996)	(28, 0.42023499999999997)	(29, 0.47223200000000004)	(30, 0.418864)	(31, 0.45559)	(32, 0.386476)	(33, 0.395021)	(34, 0.41436700000000004)	(35, 0.39825499999999997)	(36, 0.40719399999999994)	(37, 0.360423)	(38, 0.349561)	(39, 0.374232)	(40, 0.357237)	(41, 0.357086)	(42, 0.36303)	(43, 0.37392)	(44, 0.40180800000000005)	(45, 0.374486)	(46, 0.387921)	(47, 0.37319599999999997)	(48, 0.371455)	(49, 0.40847100000000003)	(50, 0.364333)	(51, 0.372418)	(52, 0.371168)	(53, 0.367355)	(54, 0.411814)	(55, 0.36907900000000005)	(56, 0.356321)	(57, 0.371913)	(58, 0.360352)	(59, 0.39843300000000004)	(60, 0.35217400000000004)	(61, 0.35217400000000004)	(62, 0.351954)	(63, 0.35230700000000004)	(64, 0.353171)	(65, 0.35423)	(66, 0.35845)	(67, 0.363938)	(68, 0.367317)	(69, 0.375407)	(70, 0.377108)	(71, 0.385117)	(72, 0.389685)	(73, 0.379163)	(74, 0.38111999999999996)	(75, 0.371376)	(76, 0.372712)	(77, 0.372877)	(78, 0.375742)	(79, 0.380497)	(80, 0.384903)	(81, 0.393152)	(82, 0.40734100000000006)	(83, 0.419585)	(84, 0.437849)	(85, 0.48438)	(86, 0.502648)	(87, 0.557938)	(88, 0.6520159999999999)	(89, 0.695601)	(90, 0.8110799999999999)	(91, 1.1084800000000001)	(92, 1.26313)	(93, 1.5510599999999999)	(94, 2.35927)	(95, 2.5733200000000003)	(96, 4.11537)	(97, 10.3764)	(98, 12.4763)	(99, 18.618399999999998)	(100, 44.3054)
PGDX10625P7_WGS	(1, 0.08173380000000001)	(2, 0.0849929)	(3, 0.0660839)	(4, 0.07454430000000001)	(5, 0.0843279)	(6, 0.117548)	(7, 0.126011)	(8, 0.129381)	(9, 0.147752)	(10, 0.157326)	(11, 0.175067)	(12, 0.185592)	(13, 0.22055999999999998)	(14, 0.29809599999999997)	(15, 0.329709)	(16, 0.38590199999999997)	(17, 0.403573)	(18, 0.434322)	(19, 0.45304500000000003)	(20, 0.406073)	(21, 0.509082)	(22, 0.477476)	(23, 0.42235700000000004)	(24, 0.428086)	(25, 0.41080400000000006)	(26, 0.44475499999999996)	(27, 0.43660699999999997)	(28, 0.442942)	(29, 0.464296)	(30, 0.452915)	(31, 0.45599999999999996)	(32, 0.426929)	(33, 0.426723)	(34, 0.449958)	(35, 0.410668)	(36, 0.438064)	(37, 0.367225)	(38, 0.363122)	(39, 0.378627)	(40, 0.36663)	(41, 0.36567)	(42, 0.36149899999999996)	(43, 0.43163100000000004)	(44, 0.412838)	(45, 0.39334699999999995)	(46, 0.4283)	(47, 0.389472)	(48, 0.403717)	(49, 0.439477)	(50, 0.383548)	(51, 0.38190799999999997)	(52, 0.373205)	(53, 0.389178)	(54, 0.409391)	(55, 0.384395)	(56, 0.375012)	(57, 0.37523500000000004)	(58, 0.371693)	(59, 0.41423600000000005)	(60, 0.36599800000000005)	(61, 0.365773)	(62, 0.364414)	(63, 0.365232)	(64, 0.366359)	(65, 0.367625)	(66, 0.370232)	(67, 0.374165)	(68, 0.377857)	(69, 0.380534)	(70, 0.39408899999999997)	(71, 0.395858)	(72, 0.395447)	(73, 0.40615599999999996)	(74, 0.388829)	(75, 0.389588)	(76, 0.389351)	(77, 0.39088200000000006)	(78, 0.393651)	(79, 0.39897099999999996)	(80, 0.404371)	(81, 0.41302400000000006)	(82, 0.42719799999999997)	(83, 0.437642)	(84, 0.45775599999999994)	(85, 0.49841499999999994)	(86, 0.526965)	(87, 0.573856)	(88, 0.664857)	(89, 0.697863)	(90, 0.853507)	(91, 1.1207699999999998)	(92, 1.31504)	(93, 1.58124)	(94, 2.37814)	(95, 2.6235600000000003)	(96, 4.13605)	(97, 10.3141)	(98, 12.4059)	(99, 18.621299999999998)	(100, 44.216100000000004)
PGDX10626P6_WGS	(1, 0.0037675900000000003)	(2, 8.40981e-05)	(3, 0.000105123)	(4, 0.00012614699999999998)	(5, 0.000180811)	(6, 0.00019763000000000002)	(7, 0.00022286000000000002)	(8, 0.000792624)	(9, 0.000262806)	(10, 0.00028803600000000003)	(11, 0.000346905)	(12, 0.00036792899999999997)	(13, 0.0004289)	(14, 0.00045202700000000003)	(15, 0.00047305200000000006)	(16, 0.000510896)	(17, 0.00053192)	(18, 0.0005676619999999999)	(19, 0.0006034040000000001)	(20, 0.000655965)	(21, 0.000706424)	(22, 0.000777907)	(23, 0.0008178540000000001)	(24, 0.0008851320000000001)	(25, 0.0009250790000000001)	(26, 0.000990255)	(27, 0.00121522)	(28, 0.0015999699999999998)	(29, 0.0024178199999999998)	(30, 0.00485036)	(31, 0.00391687)	(32, 0.0027478999999999997)	(33, 0.00287195)	(34, 0.00254817)	(35, 0.00281518)	(36, 0.00202256)	(37, 0.00190062)	(38, 0.00202046)	(39, 0.0021781400000000003)	(40, 0.00233372)	(41, 0.00249561)	(42, 0.00265119)	(43, 0.00280677)	(44, 0.0030001999999999997)	(45, 0.00315998)	(46, 0.00339336)	(47, 0.00359519)	(48, 0.00384959)	(49, 0.00410609)	(50, 0.0044635000000000005)	(51, 0.004802)	(52, 0.0051699300000000005)	(53, 0.00556939)	(54, 0.0060003999999999995)	(55, 0.0064671400000000006)	(56, 0.00695491)	(57, 0.007463699999999999)	(58, 0.00807341)	(59, 0.008746199999999999)	(60, 0.00948626)	(61, 0.0101969)	(62, 0.0109306)	(63, 0.0116728)	(64, 0.0125411)	(65, 0.013522999999999999)	(66, 0.0144523)	(67, 0.0153122)	(68, 0.0162709)	(69, 0.017324199999999998)	(70, 0.0185773)	(71, 0.0198913)	(72, 0.0212411)	(73, 0.0226855)	(74, 0.0239553)	(75, 0.0253724)	(76, 0.0273592)	(77, 0.0292199)	(78, 0.0316755)	(79, 0.035804800000000005)	(80, 0.0393474)	(81, 0.04523)	(82, 0.055754899999999996)	(83, 0.061276)	(84, 0.07291510000000001)	(85, 0.10855000000000001)	(86, 0.124146)	(87, 0.167338)	(88, 0.238225)	(89, 0.27654)	(90, 0.390564)	(91, 0.663166)	(92, 0.776202)	(93, 1.0699800000000002)	(94, 1.88394)	(95, 2.11103)	(96, 3.6541200000000003)	(97, 9.915740000000001)	(98, 12.0101)	(99, 18.1566)	(100, 43.8081)
PGDX10626P7_WGS	(1, 0.0042280600000000005)	(2, 0.000409981)	(3, 0.00043100500000000004)	(4, 0.000456235)	(5, 0.000494079)	(6, 0.0005214109999999999)	(7, 0.000544538)	(8, 0.0011963)	(9, 0.000622329)	(10, 0.000698018)	(11, 0.0007989360000000001)	(12, 0.0008683180000000001)	(13, 0.0012783)	(14, 0.00132876)	(15, 0.0013624)	(16, 0.00138342)	(17, 0.00143598)	(18, 0.00147173)	(19, 0.00152429)	(20, 0.00159787)	(21, 0.00164623)	(22, 0.00169879)	(23, 0.00176397)	(24, 0.00182494)	(25, 0.00189222)	(26, 0.00195739)	(27, 0.00226225)	(28, 0.0027605399999999997)	(29, 0.00364567)	(30, 0.00608243)	(31, 0.00518047)	(32, 0.00403463)	(33, 0.004131340000000001)	(34, 0.0037655099999999997)	(35, 0.00428482)	(36, 0.00331769)	(37, 0.00314108)	(38, 0.00324831)	(39, 0.0033933799999999997)	(40, 0.0035889100000000003)	(41, 0.0037676199999999997)	(42, 0.004078780000000001)	(43, 0.00420493)	(44, 0.00436472)	(45, 0.0045371199999999995)	(46, 0.00475788)	(47, 0.00495971)	(48, 0.00515945)	(49, 0.00548533)	(50, 0.005949970000000001)	(51, 0.0062968799999999995)	(52, 0.0066564)	(53, 0.00703064)	(54, 0.007383859999999999)	(55, 0.00774548)	(56, 0.00819751)	(57, 0.00865164)	(58, 0.00925084)	(59, 0.00986687)	(60, 0.0105628)	(61, 0.011368)	(62, 0.0120955)	(63, 0.0128797)	(64, 0.0137123)	(65, 0.0154783)	(66, 0.016353)	(67, 0.017189700000000002)	(68, 0.018138)	(69, 0.0190946)	(70, 0.0203603)	(71, 0.021544)	(72, 0.0229463)	(73, 0.0243045)	(74, 0.0254714)	(75, 0.026917899999999998)	(76, 0.029070799999999997)	(77, 0.0312847)	(78, 0.0336752)	(79, 0.0382291)	(80, 0.0418916)	(81, 0.048209499999999995)	(82, 0.060481599999999996)	(83, 0.0667764)	(84, 0.0795362)	(85, 0.11738499999999999)	(86, 0.133563)	(87, 0.180307)	(88, 0.25452199999999997)	(89, 0.295525)	(90, 0.41585099999999997)	(91, 0.701584)	(92, 0.820737)	(93, 1.12795)	(94, 1.9654399999999999)	(95, 2.19859)	(96, 3.73806)	(97, 10.0478)	(98, 12.1882)	(99, 18.3621)	(100, 44.1022)
PGDX16571P_WGS	(1, 0.65154)	(2, 0.67113)	(3, 0.672406)	(4, 0.6725059999999999)	(5, 0.649867)	(6, 0.517137)	(7, 0.43583099999999997)	(8, 0.46494099999999994)	(9, 0.453273)	(10, 0.438626)	(11, 0.390165)	(12, 0.370984)	(13, 0.33219899999999997)	(14, 0.326347)	(15, 0.347961)	(16, 0.308776)	(17, 0.301609)	(18, 0.306347)	(19, 0.317125)	(20, 0.312875)	(21, 0.311505)	(22, 0.309562)	(23, 0.301773)	(24, 0.294196)	(25, 0.309041)	(26, 0.300448)	(27, 0.328417)	(28, 0.315502)	(29, 0.400976)	(30, 0.343636)	(31, 0.373568)	(32, 0.357277)	(33, 0.376832)	(34, 0.38788300000000003)	(35, 0.386493)	(36, 0.391472)	(37, 0.398979)	(38, 0.403897)	(39, 0.37632)	(40, 0.339258)	(41, 0.362417)	(42, 0.359664)	(43, 0.325238)	(44, 0.34428699999999995)	(45, 0.309505)	(46, 0.30726)	(47, 0.309235)	(48, 0.310527)	(49, 0.313203)	(50, 0.320544)	(51, 0.31405299999999997)	(52, 0.318029)	(53, 0.305118)	(54, 0.30787200000000003)	(55, 0.320148)	(56, 0.311766)	(57, 0.311589)	(58, 0.30722499999999997)	(59, 0.305516)	(60, 0.321952)	(61, 0.309827)	(62, 0.311446)	(63, 0.325087)	(64, 0.33309099999999997)	(65, 0.315351)	(66, 0.320384)	(67, 0.312156)	(68, 0.316635)	(69, 0.34714300000000003)	(70, 0.32342)	(71, 0.353791)	(72, 0.366199)	(73, 0.356612)	(74, 0.374924)	(75, 0.35995699999999997)	(76, 0.34785699999999997)	(77, 0.367359)	(78, 0.381558)	(79, 0.349892)	(80, 0.351678)	(81, 0.367002)	(82, 0.388461)	(83, 0.394482)	(84, 0.377718)	(85, 0.43751700000000004)	(86, 0.454357)	(87, 0.48904400000000003)	(88, 0.5795980000000001)	(89, 0.6260560000000001)	(90, 0.765908)	(91, 1.03899)	(92, 1.16672)	(93, 1.4892400000000001)	(94, 2.35929)	(95, 2.59598)	(96, 4.15181)	(97, 10.4091)	(98, 12.6268)	(99, 18.9538)	(100, 44.3772)
PGDX16585P_WGS	(1, 0.0737119)	(2, 0.053582300000000006)	(3, 0.047590799999999996)	(4, 0.0538175)	(5, 0.0494527)	(6, 0.057625)	(7, 0.054835400000000006)	(8, 0.0411547)	(9, 0.053901199999999996)	(10, 0.0680844)	(11, 0.06067549999999999)	(12, 0.0602986)	(13, 0.0715601)	(14, 0.0645442)	(15, 0.039901599999999995)	(16, 0.0623667)	(17, 0.0509989)	(18, 0.0400241)	(19, 0.025051700000000003)	(20, 0.0128947)	(21, 0.00793716)	(22, 0.00671631)	(23, 0.00421018)	(24, 0.012414699999999999)	(25, 0.0059271)	(26, 0.00372055)	(27, 0.00445499)	(28, 0.00391704)	(29, 0.00403623)	(30, 0.0041779600000000005)	(31, 0.0043358)	(32, 0.004426)	(33, 0.00500905)	(34, 0.00469658)	(35, 0.00491885)	(36, 0.00645539)	(37, 0.005205540000000001)	(38, 0.00540848)	(39, 0.00662289)	(40, 0.00585301)	(41, 0.00957356)	(42, 0.00856853)	(43, 0.010807299999999999)	(44, 0.014212200000000001)	(45, 0.0141832)	(46, 0.0150271)	(47, 0.0257539)	(48, 0.0234475)	(49, 0.0546969)	(50, 0.08262509999999999)	(51, 0.0729259)	(52, 0.055689)	(53, 0.0338779)	(54, 0.0459995)	(55, 0.0467565)	(56, 0.0446755)	(57, 0.0327505)	(58, 0.0338747)	(59, 0.0193243)	(60, 0.0162448)	(61, 0.013278000000000002)	(62, 0.0128947)	(63, 0.018213)	(64, 0.0376178)	(65, 0.06126499999999999)	(66, 0.0748361)	(67, 0.0794167)	(68, 0.0747363)	(69, 0.0630496)	(70, 0.054816000000000004)	(71, 0.040990399999999996)	(72, 0.027251800000000003)	(73, 0.0236665)	(74, 0.026340199999999998)	(75, 0.028237500000000002)	(76, 0.0336234)	(77, 0.0433967)	(78, 0.0518235)	(79, 0.0609139)	(80, 0.0804991)	(81, 0.0953813)	(82, 0.10510300000000002)	(83, 0.1253)	(84, 0.133376)	(85, 0.174447)	(86, 0.201995)	(87, 0.266826)	(88, 0.339997)	(89, 0.39403)	(90, 0.526475)	(91, 0.8164579999999999)	(92, 0.9632409999999999)	(93, 1.25744)	(94, 2.06567)	(95, 2.31088)	(96, 3.88115)	(97, 10.2234)	(98, 12.345)	(99, 18.5229)	(100, 44.2915)
PGDX16587P_WGS	(1, 0.0891565)	(2, 0.0518231)	(3, 0.0569853)	(4, 0.0513859)	(5, 0.0509428)	(6, 0.0470242)	(7, 0.0632892)	(8, 0.051250000000000004)	(9, 0.0559085)	(10, 0.08238129999999999)	(11, 0.08012889999999999)	(12, 0.0654516)	(13, 0.0766372)	(14, 0.09254180000000001)	(15, 0.0625744)	(16, 0.096487)	(17, 0.0839588)	(18, 0.071952)	(19, 0.0329983)	(20, 0.0225646)	(21, 0.00672196)	(22, 0.00387868)	(23, 0.00529958)	(24, 0.008754350000000001)	(25, 0.00503372)	(26, 0.00448869)	(27, 0.00466889)	(28, 0.0047944400000000005)	(29, 0.005541819999999999)	(30, 0.00508394)	(31, 0.00526856)	(32, 0.00629805)	(33, 0.0064265599999999996)	(34, 0.00577371)	(35, 0.00610161)	(36, 0.00616512)	(37, 0.00618285)	(38, 0.00636452)	(39, 0.00652995)	(40, 0.0066614)	(41, 0.00756387)	(42, 0.0096066)	(43, 0.00897)	(44, 0.0128827)	(45, 0.009953700000000001)	(46, 0.0093688)	(47, 0.017136500000000002)	(48, 0.0224701)	(49, 0.039193000000000006)	(50, 0.0668445)	(51, 0.058065000000000005)	(52, 0.0456195)	(53, 0.0376007)	(54, 0.035103100000000005)	(55, 0.032242099999999996)	(56, 0.0263399)	(57, 0.0206755)	(58, 0.0224966)	(59, 0.0128398)	(60, 0.0125208)	(61, 0.0124661)	(62, 0.0130185)	(63, 0.0144217)	(64, 0.0290059)	(65, 0.054122800000000006)	(66, 0.0779901)	(67, 0.0804553)	(68, 0.07881869999999999)	(69, 0.061454800000000004)	(70, 0.054592499999999995)	(71, 0.0374073)	(72, 0.0315316)	(73, 0.024650099999999998)	(74, 0.0232809)	(75, 0.025238000000000003)	(76, 0.029144700000000003)	(77, 0.0306469)	(78, 0.0364162)	(79, 0.0420806)	(80, 0.0541686)	(81, 0.0758041)	(82, 0.0818334)	(83, 0.104382)	(84, 0.114609)	(85, 0.16728500000000002)	(86, 0.18790300000000001)	(87, 0.27551899999999996)	(88, 0.357995)	(89, 0.40170199999999995)	(90, 0.560672)	(91, 0.8473470000000001)	(92, 1.01648)	(93, 1.30918)	(94, 2.1512)	(95, 2.41437)	(96, 3.9728)	(97, 10.2261)	(98, 12.3841)	(99, 18.6811)	(100, 44.0456)
PGDX16592P_WGS	(1, 0.12422)	(2, 0.0325915)	(3, 0.0485116)	(4, 0.0761531)	(5, 0.0527454)	(6, 0.0486519)	(7, 0.010584399999999999)	(8, 0.00820237)	(9, 0.00990624)	(10, 0.0050674299999999995)	(11, 0.00581268)	(12, 0.0172567)	(13, 0.0185704)	(14, 0.028429399999999997)	(15, 0.0407665)	(16, 0.024854)	(17, 0.0231395)	(18, 0.00813989)	(19, 0.019362900000000002)	(20, 0.00876626)	(21, 0.0120871)	(22, 0.0110477)	(23, 0.0108618)	(24, 0.015656399999999997)	(25, 0.0128354)	(26, 0.014289399999999999)	(27, 0.016392499999999997)	(28, 0.0443693)	(29, 0.021251199999999998)	(30, 0.0110645)	(31, 0.026059500000000003)	(32, 0.0440416)	(33, 0.0113526)	(34, 0.016304199999999998)	(35, 0.018224399999999998)	(36, 0.0336325)	(37, 0.0119165)	(38, 0.0118128)	(39, 0.0192425)	(40, 0.014269599999999999)	(41, 0.0179318)	(42, 0.032195299999999996)	(43, 0.025629700000000002)	(44, 0.0201569)	(45, 0.0181863)	(46, 0.0219248)	(47, 0.024886)	(48, 0.0223226)	(49, 0.026816999999999997)	(50, 0.0416855)	(51, 0.0228453)	(52, 0.0486717)	(53, 0.043303999999999995)	(54, 0.032669300000000005)	(55, 0.0370387)	(56, 0.0514591)	(57, 0.037122499999999996)	(58, 0.0210988)	(59, 0.0237323)	(60, 0.0236317)	(61, 0.0365007)	(62, 0.0584621)	(63, 0.0233879)	(64, 0.0513982)	(65, 0.0400288)	(66, 0.0253889)	(67, 0.0267469)	(68, 0.0292951)	(69, 0.0390306)	(70, 0.0323386)	(71, 0.0425344)	(72, 0.058524599999999996)	(73, 0.047678)	(74, 0.0323904)	(75, 0.059282)	(76, 0.0728444)	(77, 0.0666873)	(78, 0.0450521)	(79, 0.0479737)	(80, 0.0427874)	(81, 0.0471568)	(82, 0.058337099999999996)	(83, 0.0625328)	(84, 0.077857)	(85, 0.11172)	(86, 0.134335)	(87, 0.180413)	(88, 0.25267)	(89, 0.29712900000000003)	(90, 0.428546)	(91, 0.727957)	(92, 0.841982)	(93, 1.15261)	(94, 2.00198)	(95, 2.2498400000000003)	(96, 3.80322)	(97, 10.1455)	(98, 12.4047)	(99, 18.7525)	(100, 44.611200000000004)
PGDX17776P8_WGS	(1, 0.104769)	(2, 0.11362)	(3, 0.112863)	(4, 0.10088199999999999)	(5, 0.10402700000000001)	(6, 0.0536578)	(7, 0.0439091)	(8, 0.0478258)	(9, 0.0462631)	(10, 0.0506853)	(11, 0.0475499)	(12, 0.053052600000000005)	(13, 0.0387571)	(14, 0.0401785)	(15, 0.047702800000000004)	(16, 0.0492024)	(17, 0.0539504)	(18, 0.045259)	(19, 0.0449199)	(20, 0.0466721)	(21, 0.0362268)	(22, 0.0330864)	(23, 0.0236536)	(24, 0.019775)	(25, 0.0239512)	(26, 0.0223485)	(27, 0.0226943)	(28, 0.0202871)	(29, 0.0217767)	(30, 0.0206063)	(31, 0.021219699999999998)	(32, 0.0213328)	(33, 0.0241656)	(34, 0.023442400000000002)	(35, 0.0257067)	(36, 0.0265646)	(37, 0.0349301)	(38, 0.0479322)	(39, 0.0393606)	(40, 0.0417279)	(41, 0.051315400000000004)	(42, 0.0454103)	(43, 0.053699300000000005)	(44, 0.06410969999999999)	(45, 0.057582900000000006)	(46, 0.0523478)	(47, 0.0461285)	(48, 0.049780899999999996)	(49, 0.051925500000000006)	(50, 0.0492672)	(51, 0.0577258)	(52, 0.0683058)	(53, 0.054999400000000004)	(54, 0.050803299999999996)	(55, 0.0547783)	(56, 0.056015199999999994)	(57, 0.054231299999999996)	(58, 0.060713300000000005)	(59, 0.0535464)	(60, 0.056868)	(61, 0.0650324)	(62, 0.0614331)	(63, 0.062113100000000004)	(64, 0.0483861)	(65, 0.0449165)	(66, 0.043087799999999996)	(67, 0.0443762)	(68, 0.045781)	(69, 0.0472157)	(70, 0.0491957)	(71, 0.051067699999999994)	(72, 0.05314239999999999)	(73, 0.05543)	(74, 0.05771249999999999)	(75, 0.060153)	(76, 0.0635844)	(77, 0.0670174)	(78, 0.0716773)	(79, 0.0769273)	(80, 0.0823353)	(81, 0.0910267)	(82, 0.110165)	(83, 0.130849)	(84, 0.15899)	(85, 0.21688900000000003)	(86, 0.246539)	(87, 0.300099)	(88, 0.344074)	(89, 0.366564)	(90, 0.479381)	(91, 0.753729)	(92, 0.880682)	(93, 1.1752500000000001)	(94, 1.98462)	(95, 2.21969)	(96, 3.7527999999999997)	(97, 10.1415)	(98, 12.2722)	(99, 18.2921)	(100, 44.4621)
PGDX17778P9_WGS	(1, 0.0898706)	(2, 0.0531131)	(3, 0.06166)	(4, 0.048664200000000005)	(5, 0.0415035)	(6, 0.0123523)	(7, 0.00944704)	(8, 0.0145284)	(9, 0.0137362)	(10, 0.0119562)	(11, 0.012140699999999999)	(12, 0.013389700000000001)	(13, 0.0113779)	(14, 0.012356800000000001)	(15, 0.0148682)	(16, 0.0133244)	(17, 0.0130049)	(18, 0.0115039)	(19, 0.00902397)	(20, 0.012149700000000001)	(21, 0.009953370000000001)	(22, 0.00858065)	(23, 0.00579694)	(24, 0.00559891)	(25, 0.006224510000000001)	(26, 0.00580144)	(27, 0.00602648)	(28, 0.00623126)	(29, 0.00629202)	(30, 0.00676685)	(31, 0.00700314)	(32, 0.00744646)	(33, 0.00765125)	(34, 0.00933227)	(35, 0.00973283)	(36, 0.010788299999999999)	(37, 0.015077499999999999)	(38, 0.0133604)	(39, 0.0111618)	(40, 0.0148479)	(41, 0.0161374)	(42, 0.0180929)	(43, 0.0183)	(44, 0.019310400000000002)	(45, 0.018383200000000002)	(46, 0.0168822)	(47, 0.018147)	(48, 0.0160046)	(49, 0.0154465)	(50, 0.0156198)	(51, 0.0159889)	(52, 0.0175619)	(53, 0.018745599999999998)	(54, 0.0171658)	(55, 0.0207236)	(56, 0.019911199999999997)	(57, 0.0166077)	(58, 0.0185273)	(59, 0.019004300000000002)	(60, 0.0215225)	(61, 0.022762499999999998)	(62, 0.0217138)	(63, 0.0243805)	(64, 0.021653)	(65, 0.0211872)	(66, 0.021698)	(67, 0.0225374)	(68, 0.0234218)	(69, 0.024429999999999997)	(70, 0.0256902)	(71, 0.0270764)	(72, 0.0285211)	(73, 0.029990600000000003)	(74, 0.0313454)	(75, 0.0327968)	(76, 0.0348649)	(77, 0.037239100000000004)	(78, 0.039865199999999996)	(79, 0.0445348)	(80, 0.0487429)	(81, 0.0561624)	(82, 0.07081)	(83, 0.08002530000000001)	(84, 0.0986516)	(85, 0.144737)	(86, 0.175965)	(87, 0.226367)	(88, 0.291873)	(89, 0.324379)	(90, 0.44359000000000004)	(91, 0.737081)	(92, 0.861848)	(93, 1.17746)	(94, 2.0268)	(95, 2.25984)	(96, 3.7885799999999996)	(97, 10.116200000000001)	(98, 12.2473)	(99, 18.3457)	(100, 44.2629)
