Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 28.3615)	(2, 29.4128)	(3, 30.3274)	(4, 30.8721)	(5, 31.5702)	(6, 34.7991)	(7, 35.4809)	(8, 35.8904)	(9, 36.1314)	(10, 36.3116)	(11, 36.3908)	(12, 36.2496)	(13, 36.1846)	(14, 36.2973)	(15, 36.2177)	(16, 36.2693)	(17, 36.3139)	(18, 36.3853)	(19, 36.3783)	(20, 36.3497)	(21, 36.3576)	(22, 36.3646)	(23, 36.3152)	(24, 36.3577)	(25, 36.3554)	(26, 36.245)	(27, 36.276)	(28, 36.2277)	(29, 36.1889)	(30, 36.242)	(31, 36.2354)	(32, 36.2127)	(33, 36.2087)	(34, 36.1854)	(35, 36.2018)	(36, 36.1949)	(37, 36.2139)	(38, 36.1532)	(39, 36.1908)	(40, 36.187)	(41, 35.9913)	(42, 35.9795)	(43, 36.0476)	(44, 36.0972)	(45, 36.1561)	(46, 36.1438)	(47, 36.1224)	(48, 36.1338)	(49, 36.1005)	(50, 36.0887)	(51, 36.0784)	(52, 36.0734)	(53, 36.0369)	(54, 36.0147)	(55, 36.0272)	(56, 36.0078)	(57, 36.0116)	(58, 35.7719)	(59, 35.9012)	(60, 35.8081)	(61, 35.8642)	(62, 35.8639)	(63, 35.9077)	(64, 35.9114)	(65, 35.8546)	(66, 35.8308)	(67, 35.7868)	(68, 35.7488)	(69, 35.7604)	(70, 35.7598)	(71, 35.7676)	(72, 35.7718)	(73, 35.6842)	(74, 35.7127)	(75, 35.6737)	(76, 35.4545)	(77, 35.4214)	(78, 35.4099)	(79, 35.4171)	(80, 35.381)	(81, 35.3849)	(82, 35.3931)	(83, 35.3855)	(84, 35.3477)	(85, 35.3347)	(86, 35.3058)	(87, 35.2847)	(88, 35.2799)	(89, 35.251)	(90, 35.1929)	(91, 35.1675)	(92, 35.1355)	(93, 35.1195)	(94, 35.1067)	(95, 35.0291)	(96, 35.0161)	(97, 34.9546)	(98, 34.9007)	(99, 34.8223)	(100, 34.7498)
PGDX10625P7_WGS	(1, 28.2701)	(2, 29.2742)	(3, 30.2112)	(4, 30.586)	(5, 31.3762)	(6, 34.6412)	(7, 35.5069)	(8, 36.05)	(9, 36.2458)	(10, 36.3412)	(11, 36.364)	(12, 36.3807)	(13, 36.3556)	(14, 36.354)	(15, 36.3754)	(16, 36.3952)	(17, 36.3583)	(18, 36.3944)	(19, 36.3971)	(20, 36.378)	(21, 36.3943)	(22, 36.39)	(23, 36.3605)	(24, 36.3794)	(25, 36.3754)	(26, 36.3295)	(27, 36.3162)	(28, 36.2745)	(29, 36.2878)	(30, 36.2887)	(31, 36.2852)	(32, 36.2423)	(33, 36.2555)	(34, 36.2457)	(35, 36.2469)	(36, 36.2329)	(37, 36.2143)	(38, 36.2098)	(39, 36.2168)	(40, 36.2007)	(41, 36.1983)	(42, 36.1664)	(43, 36.1571)	(44, 36.1326)	(45, 36.1782)	(46, 36.159)	(47, 36.1606)	(48, 36.1413)	(49, 36.1252)	(50, 36.1125)	(51, 36.1128)	(52, 36.0835)	(53, 36.0524)	(54, 35.9818)	(55, 36.0046)	(56, 36.0034)	(57, 35.9838)	(58, 35.9768)	(59, 35.957)	(60, 35.9525)	(61, 35.8842)	(62, 35.8867)	(63, 35.9074)	(64, 35.9003)	(65, 35.8538)	(66, 35.8172)	(67, 35.7899)	(68, 35.7629)	(69, 35.7735)	(70, 35.7737)	(71, 35.7638)	(72, 35.7618)	(73, 35.7721)	(74, 35.7579)	(75, 35.7126)	(76, 35.6226)	(77, 35.5956)	(78, 35.5669)	(79, 35.5614)	(80, 35.5418)	(81, 35.5153)	(82, 35.4955)	(83, 35.4857)	(84, 35.495)	(85, 35.481)	(86, 35.4707)	(87, 35.4427)	(88, 35.4311)	(89, 35.4184)	(90, 35.3545)	(91, 35.3184)	(92, 35.2644)	(93, 35.2255)	(94, 35.2259)	(95, 35.1671)	(96, 35.1376)	(97, 35.1154)	(98, 35.0251)	(99, 34.958)	(100, 34.8861)
PGDX10626P6_WGS	(1, 27.7268)	(2, 28.9992)	(3, 30.4331)	(4, 31.0284)	(5, 31.5136)	(6, 34.9269)	(7, 35.7118)	(8, 36.0816)	(9, 36.3219)	(10, 36.3792)	(11, 36.4229)	(12, 36.4356)	(13, 36.4654)	(14, 36.4582)	(15, 36.46)	(16, 36.4713)	(17, 36.484)	(18, 36.4901)	(19, 36.5004)	(20, 36.4398)	(21, 36.4928)	(22, 36.5004)	(23, 36.4706)	(24, 36.4694)	(25, 36.4495)	(26, 36.3907)	(27, 36.3699)	(28, 36.3003)	(29, 36.3489)	(30, 36.3672)	(31, 36.3748)	(32, 36.3803)	(33, 36.3876)	(34, 36.3863)	(35, 36.3787)	(36, 36.367)	(37, 36.3604)	(38, 36.3285)	(39, 36.3145)	(40, 36.3058)	(41, 36.2831)	(42, 36.2881)	(43, 36.2596)	(44, 36.2459)	(45, 36.2663)	(46, 36.2387)	(47, 36.2436)	(48, 36.2339)	(49, 36.2124)	(50, 36.1744)	(51, 36.1749)	(52, 36.1594)	(53, 36.0979)	(54, 36.1257)	(55, 36.1146)	(56, 36.0901)	(57, 36.0989)	(58, 36.0948)	(59, 36.0946)	(60, 36.0135)	(61, 36.0425)	(62, 36.0309)	(63, 36.0423)	(64, 36.0266)	(65, 36.0095)	(66, 36.0016)	(67, 35.9686)	(68, 35.9476)	(69, 35.9585)	(70, 35.9338)	(71, 35.9106)	(72, 35.8798)	(73, 35.8964)	(74, 35.9142)	(75, 35.8954)	(76, 35.822)	(77, 35.8056)	(78, 35.8114)	(79, 35.7973)	(80, 35.7617)	(81, 35.7496)	(82, 35.7401)	(83, 35.7218)	(84, 35.6901)	(85, 35.657)	(86, 35.651)	(87, 35.6785)	(88, 35.6688)	(89, 35.6449)	(90, 35.6038)	(91, 35.2617)	(92, 35.3807)	(93, 35.4357)	(94, 35.4558)	(95, 35.4411)	(96, 35.4004)	(97, 35.3664)	(98, 35.3303)	(99, 35.2785)	(100, 35.1748)
PGDX10626P7_WGS	(1, 27.93)	(2, 29.2769)	(3, 30.5833)	(4, 31.0522)	(5, 31.5778)	(6, 34.9679)	(7, 35.8043)	(8, 36.2142)	(9, 36.3605)	(10, 36.4062)	(11, 36.434)	(12, 36.4565)	(13, 36.4907)	(14, 36.4917)	(15, 36.5007)	(16, 36.5055)	(17, 36.5091)	(18, 36.5345)	(19, 36.5402)	(20, 36.4816)	(21, 36.5235)	(22, 36.5204)	(23, 36.5049)	(24, 36.5002)	(25, 36.4875)	(26, 36.4223)	(27, 36.3932)	(28, 36.3265)	(29, 36.3758)	(30, 36.4004)	(31, 36.399)	(32, 36.4033)	(33, 36.4111)	(34, 36.4038)	(35, 36.3946)	(36, 36.3894)	(37, 36.3551)	(38, 36.3426)	(39, 36.3299)	(40, 36.3301)	(41, 36.306)	(42, 36.28)	(43, 36.0332)	(44, 36.0302)	(45, 36.2216)	(46, 36.2405)	(47, 36.2626)	(48, 36.2708)	(49, 36.2377)	(50, 36.2073)	(51, 36.2014)	(52, 36.1822)	(53, 36.1221)	(54, 36.1495)	(55, 36.1229)	(56, 36.1039)	(57, 36.1111)	(58, 36.0946)	(59, 36.1052)	(60, 36.0277)	(61, 36.0639)	(62, 36.0554)	(63, 36.0442)	(64, 36.0191)	(65, 36.0256)	(66, 35.9969)	(67, 35.9722)	(68, 35.955)	(69, 35.9694)	(70, 35.9382)	(71, 35.9)	(72, 35.857)	(73, 35.8657)	(74, 35.8571)	(75, 35.7608)	(76, 35.2015)	(77, 35.1544)	(78, 35.1588)	(79, 35.1456)	(80, 35.1113)	(81, 35.1017)	(82, 35.0921)	(83, 35.0743)	(84, 35.0445)	(85, 35.0119)	(86, 35.0059)	(87, 35.0319)	(88, 35.0203)	(89, 34.9963)	(90, 34.9557)	(91, 34.619)	(92, 34.7346)	(93, 34.7886)	(94, 34.8058)	(95, 34.7895)	(96, 34.7525)	(97, 34.7177)	(98, 34.6796)	(99, 34.6279)	(100, 34.5284)
PGDX16571P_WGS	(1, 30.6321)	(2, 31.481)	(3, 31.8131)	(4, 32.256)	(5, 32.475)	(6, 36.4341)	(7, 37.0026)	(8, 37.1173)	(9, 37.2565)	(10, 37.2744)	(11, 37.2976)	(12, 37.2765)	(13, 37.2879)	(14, 37.295)	(15, 37.3006)	(16, 37.2995)	(17, 37.2425)	(18, 37.3009)	(19, 37.3114)	(20, 37.2928)	(21, 37.2886)	(22, 37.3321)	(23, 37.2777)	(24, 37.2895)	(25, 37.287)	(26, 37.3033)	(27, 37.2268)	(28, 37.2573)	(29, 37.2472)	(30, 37.2551)	(31, 37.2383)	(32, 37.2442)	(33, 37.1785)	(34, 37.1759)	(35, 37.1696)	(36, 37.1579)	(37, 37.1891)	(38, 37.0974)	(39, 37.1459)	(40, 37.0025)	(41, 37.1615)	(42, 36.8237)	(43, 36.9199)	(44, 37.0473)	(45, 37.1566)	(46, 37.1607)	(47, 37.184)	(48, 37.1598)	(49, 37.1512)	(50, 37.1089)	(51, 37.0904)	(52, 37.1324)	(53, 37.0902)	(54, 36.9959)	(55, 37.0433)	(56, 36.9805)	(57, 37.032)	(58, 37.0131)	(59, 36.957)	(60, 37.0114)	(61, 36.9747)	(62, 36.8967)	(63, 36.9292)	(64, 36.9379)	(65, 36.9071)	(66, 36.9461)	(67, 36.9037)	(68, 36.8853)	(69, 36.9502)	(70, 36.9539)	(71, 36.9305)	(72, 36.9171)	(73, 36.8699)	(74, 36.8192)	(75, 36.5461)	(76, 36.1251)	(77, 36.0121)	(78, 35.9924)	(79, 35.973)	(80, 35.9326)	(81, 35.8733)	(82, 35.9114)	(83, 35.9185)	(84, 35.903)	(85, 35.8793)	(86, 35.8852)	(87, 35.8834)	(88, 35.8865)	(89, 35.8699)	(90, 35.846)	(91, 35.8275)	(92, 35.8099)	(93, 35.8025)	(94, 35.7789)	(95, 35.7579)	(96, 35.7435)	(97, 35.7178)	(98, 35.6916)	(99, 35.6428)	(100, 35.5972)
PGDX16585P_WGS	(1, 29.4569)	(2, 30.0455)	(3, 30.7833)	(4, 31.2891)	(5, 31.0834)	(6, 35.2823)	(7, 35.9857)	(8, 36.3088)	(9, 36.5374)	(10, 36.6013)	(11, 36.6371)	(12, 36.6136)	(13, 36.5921)	(14, 36.5982)	(15, 36.5874)	(16, 36.623)	(17, 36.6426)	(18, 36.6583)	(19, 36.6561)	(20, 36.5304)	(21, 36.5851)	(22, 36.5313)	(23, 36.548)	(24, 36.5923)	(25, 36.5579)	(26, 36.5215)	(27, 36.5137)	(28, 36.4777)	(29, 36.5286)	(30, 36.5184)	(31, 36.5155)	(32, 36.473)	(33, 36.4559)	(34, 36.4825)	(35, 36.4875)	(36, 36.4745)	(37, 36.5101)	(38, 36.5321)	(39, 36.5138)	(40, 36.4883)	(41, 36.5117)	(42, 36.5215)	(43, 36.5192)	(44, 36.5079)	(45, 36.4803)	(46, 36.4339)	(47, 36.4525)	(48, 36.4654)	(49, 36.451)	(50, 36.4269)	(51, 36.4197)	(52, 36.3961)	(53, 36.362)	(54, 36.3971)	(55, 36.3565)	(56, 36.2647)	(57, 36.3397)	(58, 36.3446)	(59, 36.3388)	(60, 36.3283)	(61, 36.2612)	(62, 36.2808)	(63, 36.2457)	(64, 36.2303)	(65, 36.2102)	(66, 36.1799)	(67, 36.1664)	(68, 36.1457)	(69, 36.1205)	(70, 36.0704)	(71, 36.0685)	(72, 36.0717)	(73, 36.0777)	(74, 36.1015)	(75, 36.1045)	(76, 36.0848)	(77, 36.0996)	(78, 36.0959)	(79, 36.1002)	(80, 36.0824)	(81, 36.0613)	(82, 36.0459)	(83, 36.0222)	(84, 36.0228)	(85, 36.0082)	(86, 35.9776)	(87, 35.9679)	(88, 35.9307)	(89, 35.8949)	(90, 35.8905)	(91, 35.8658)	(92, 35.706)	(93, 35.7503)	(94, 35.7737)	(95, 35.7606)	(96, 35.7223)	(97, 35.5766)	(98, 35.6282)	(99, 35.5811)	(100, 35.5265)
PGDX16587P_WGS	(1, 29.1971)	(2, 30.9974)	(3, 31.7755)	(4, 32.2162)	(5, 32.6228)	(6, 36.3902)	(7, 36.8662)	(8, 37.0861)	(9, 37.2104)	(10, 37.2464)	(11, 37.2772)	(12, 37.266)	(13, 37.2513)	(14, 37.244)	(15, 37.2599)	(16, 37.2704)	(17, 37.3111)	(18, 37.3021)	(19, 37.3097)	(20, 37.2486)	(21, 37.2652)	(22, 37.2882)	(23, 37.252)	(24, 37.2681)	(25, 37.231)	(26, 37.2542)	(27, 37.2017)	(28, 37.2112)	(29, 37.2372)	(30, 37.2236)	(31, 37.2141)	(32, 37.2164)	(33, 37.2297)	(34, 37.1829)	(35, 37.2133)	(36, 37.2177)	(37, 37.213)	(38, 37.2174)	(39, 37.2372)	(40, 37.1521)	(41, 37.19)	(42, 37.01)	(43, 37.0418)	(44, 37.1276)	(45, 37.0782)	(46, 37.1255)	(47, 37.1742)	(48, 37.1702)	(49, 37.1608)	(50, 37.1053)	(51, 37.1037)	(52, 37.1367)	(53, 37.0986)	(54, 37.0824)	(55, 37.0559)	(56, 36.9972)	(57, 37.0636)	(58, 37.0414)	(59, 37.0284)	(60, 37.029)	(61, 36.9632)	(62, 36.9025)	(63, 36.9816)	(64, 36.9973)	(65, 36.9526)	(66, 36.976)	(67, 36.9862)	(68, 36.9977)	(69, 36.9857)	(70, 36.9719)	(71, 36.9457)	(72, 36.9389)	(73, 36.9009)	(74, 36.8506)	(75, 36.6675)	(76, 36.4426)	(77, 36.4017)	(78, 36.399)	(79, 36.4007)	(80, 36.3915)	(81, 36.3766)	(82, 36.3532)	(83, 36.3435)	(84, 36.3343)	(85, 36.3207)	(86, 36.2961)	(87, 36.2884)	(88, 36.2877)	(89, 36.2679)	(90, 36.1431)	(91, 36.1902)	(92, 36.1903)	(93, 36.1917)	(94, 36.1836)	(95, 36.1664)	(96, 36.1433)	(97, 36.1224)	(98, 36.0486)	(99, 36.0507)	(100, 36.007)
PGDX16592P_WGS	(1, 25.7145)	(2, 29.3506)	(3, 30.1166)	(4, 31.8764)	(5, 32.4003)	(6, 36.2249)	(7, 36.9062)	(8, 37.1159)	(9, 37.2715)	(10, 37.285)	(11, 37.3555)	(12, 37.3502)	(13, 37.356)	(14, 37.3497)	(15, 37.3353)	(16, 37.3514)	(17, 37.3828)	(18, 37.386)	(19, 37.3906)	(20, 37.3507)	(21, 37.3658)	(22, 37.3682)	(23, 37.3535)	(24, 37.3611)	(25, 37.3405)	(26, 37.3535)	(27, 37.3184)	(28, 37.3173)	(29, 37.3393)	(30, 37.3242)	(31, 37.2995)	(32, 37.1808)	(33, 37.2375)	(34, 37.2722)	(35, 37.2358)	(36, 37.2889)	(37, 37.2925)	(38, 37.3058)	(39, 37.3143)	(40, 37.2624)	(41, 37.27)	(42, 37.1117)	(43, 36.9821)	(44, 37.0)	(45, 37.2084)	(46, 37.245)	(47, 37.2635)	(48, 37.2426)	(49, 37.2216)	(50, 37.1956)	(51, 37.1987)	(52, 37.2014)	(53, 37.1658)	(54, 37.1414)	(55, 37.1194)	(56, 37.1008)	(57, 37.1005)	(58, 37.083)	(59, 37.0584)	(60, 37.0622)	(61, 37.0634)	(62, 37.0303)	(63, 36.9976)	(64, 37.0068)	(65, 37.0073)	(66, 36.9835)	(67, 36.9766)	(68, 36.9935)	(69, 37.0017)	(70, 36.9911)	(71, 36.9656)	(72, 36.9649)	(73, 36.9214)	(74, 36.848)	(75, 36.7088)	(76, 36.1396)	(77, 35.7206)	(78, 35.6431)	(79, 35.6231)	(80, 35.6159)	(81, 35.5974)	(82, 35.5848)	(83, 35.5756)	(84, 35.555)	(85, 35.5434)	(86, 35.5365)	(87, 35.5278)	(88, 35.5246)	(89, 35.4971)	(90, 35.4607)	(91, 35.4517)	(92, 35.4395)	(93, 35.4261)	(94, 35.4219)	(95, 35.3995)	(96, 35.3809)	(97, 35.3589)	(98, 35.3314)	(99, 35.173)	(100, 35.1632)
PGDX17776P8_WGS	(1, 31.0107)	(2, 31.6897)	(3, 31.9723)	(4, 32.2911)	(5, 32.6689)	(6, 36.3669)	(7, 36.8775)	(8, 37.1568)	(9, 37.2382)	(10, 37.2037)	(11, 37.247)	(12, 37.2612)	(13, 37.2524)	(14, 37.2091)	(15, 37.2294)	(16, 37.2509)	(17, 37.2568)	(18, 37.2494)	(19, 37.1089)	(20, 37.1911)	(21, 37.2282)	(22, 37.2301)	(23, 37.2371)	(24, 37.2455)	(25, 37.2453)	(26, 37.217)	(27, 37.1979)	(28, 37.1704)	(29, 37.1594)	(30, 37.1531)	(31, 37.1119)	(32, 37.1168)	(33, 37.1327)	(34, 37.0808)	(35, 37.0987)	(36, 37.1094)	(37, 37.1032)	(38, 37.0708)	(39, 37.0995)	(40, 37.124)	(41, 37.1475)	(42, 37.1118)	(43, 37.0313)	(44, 37.0474)	(45, 37.1175)	(46, 36.9893)	(47, 37.0833)	(48, 37.1045)	(49, 37.1014)	(50, 37.0885)	(51, 37.078)	(52, 37.0702)	(53, 37.0536)	(54, 37.0462)	(55, 37.0447)	(56, 37.0244)	(57, 37.0088)	(58, 37.0022)	(59, 36.9898)	(60, 36.9883)	(61, 36.9922)	(62, 36.9663)	(63, 36.8909)	(64, 36.924)	(65, 36.9019)	(66, 36.8604)	(67, 36.8907)	(68, 36.8783)	(69, 36.8903)	(70, 36.889)	(71, 36.8634)	(72, 36.8361)	(73, 36.763)	(74, 36.7864)	(75, 36.7074)	(76, 36.5146)	(77, 36.3905)	(78, 36.378)	(79, 36.3638)	(80, 36.361)	(81, 36.3596)	(82, 36.346)	(83, 36.3307)	(84, 36.2992)	(85, 36.3043)	(86, 36.3008)	(87, 36.2522)	(88, 36.2702)	(89, 36.244)	(90, 36.1626)	(91, 36.2077)	(92, 36.2064)	(93, 36.2149)	(94, 36.1929)	(95, 36.193)	(96, 36.1833)	(97, 36.1347)	(98, 36.0089)	(99, 36.0275)	(100, 36.0031)
PGDX17778P9_WGS	(1, 28.4182)	(2, 29.5994)	(3, 30.5895)	(4, 31.1787)	(5, 31.6198)	(6, 35.0657)	(7, 35.822)	(8, 36.2881)	(9, 36.389)	(10, 36.4354)	(11, 36.4782)	(12, 36.4937)	(13, 36.4398)	(14, 36.4288)	(15, 36.4428)	(16, 36.4669)	(17, 36.442)	(18, 36.4644)	(19, 36.473)	(20, 36.4752)	(21, 36.4655)	(22, 36.3956)	(23, 36.4469)	(24, 36.4773)	(25, 36.4426)	(26, 36.4357)	(27, 36.3968)	(28, 36.3371)	(29, 36.3274)	(30, 36.3244)	(31, 36.3179)	(32, 36.2491)	(33, 36.2917)	(34, 36.2818)	(35, 36.251)	(36, 36.2982)	(37, 36.2854)	(38, 36.2913)	(39, 36.2766)	(40, 36.3093)	(41, 36.2873)	(42, 36.2709)	(43, 35.7655)	(44, 35.9217)	(45, 36.1524)	(46, 36.1877)	(47, 36.2286)	(48, 36.2867)	(49, 36.239)	(50, 36.252)	(51, 36.215)	(52, 36.1721)	(53, 36.137)	(54, 36.0985)	(55, 36.0863)	(56, 36.1092)	(57, 36.0945)	(58, 36.0588)	(59, 35.9637)	(60, 36.0209)	(61, 36.0445)	(62, 36.047)	(63, 35.9465)	(64, 35.9679)	(65, 36.0168)	(66, 35.9671)	(67, 35.9433)	(68, 35.985)	(69, 35.9835)	(70, 35.9055)	(71, 35.8481)	(72, 35.8543)	(73, 35.8521)	(74, 35.7912)	(75, 35.617)	(76, 34.5912)	(77, 34.3195)	(78, 34.3058)	(79, 34.272)	(80, 34.2688)	(81, 34.1587)	(82, 34.1839)	(83, 34.2067)	(84, 34.2028)	(85, 34.1931)	(86, 34.175)	(87, 34.1641)	(88, 34.1392)	(89, 34.1292)	(90, 34.1014)	(91, 34.1102)	(92, 34.0615)	(93, 34.0468)	(94, 34.0109)	(95, 33.9964)	(96, 33.9691)	(97, 33.8626)	(98, 33.7994)	(99, 33.807)	(100, 33.7522)
