Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
PGDX10624P7_WGS	(1, 28.3404)	(2, 29.3932)	(3, 30.3062)	(4, 30.8497)	(5, 31.5486)	(6, 34.7661)	(7, 35.4535)	(8, 35.8636)	(9, 36.1056)	(10, 36.285)	(11, 36.3667)	(12, 36.2257)	(13, 36.1616)	(14, 36.2739)	(15, 36.1948)	(16, 36.2458)	(17, 36.2914)	(18, 36.3628)	(19, 36.3548)	(20, 36.3239)	(21, 36.331)	(22, 36.3385)	(23, 36.285)	(24, 36.3275)	(25, 36.3226)	(26, 36.2098)	(27, 36.235)	(28, 36.1838)	(29, 36.1438)	(30, 36.1934)	(31, 36.1821)	(32, 36.1603)	(33, 36.1529)	(34, 36.1294)	(35, 36.1409)	(36, 36.1311)	(37, 36.1466)	(38, 36.0838)	(39, 36.1166)	(40, 36.1089)	(41, 35.9143)	(42, 35.8955)	(43, 35.9519)	(44, 36.0017)	(45, 36.0699)	(46, 36.057)	(47, 36.0313)	(48, 36.0461)	(49, 36.0104)	(50, 35.9972)	(51, 35.9756)	(52, 35.9764)	(53, 35.9343)	(54, 35.9107)	(55, 35.9202)	(56, 35.8969)	(57, 35.8962)	(58, 35.6501)	(59, 35.7781)	(60, 35.6844)	(61, 35.7385)	(62, 35.739)	(63, 35.781)	(64, 35.7833)	(65, 35.7276)	(66, 35.703)	(67, 35.6602)	(68, 35.6224)	(69, 35.633)	(70, 35.6311)	(71, 35.6362)	(72, 35.6388)	(73, 35.5481)	(74, 35.5716)	(75, 35.5146)	(76, 35.2685)	(77, 35.2288)	(78, 35.2149)	(79, 35.2249)	(80, 35.1886)	(81, 35.193)	(82, 35.1977)	(83, 35.1899)	(84, 35.153)	(85, 35.1384)	(86, 35.1077)	(87, 35.0846)	(88, 35.0777)	(89, 35.0479)	(90, 34.9875)	(91, 34.9618)	(92, 34.925)	(93, 34.9066)	(94, 34.8918)	(95, 34.8153)	(96, 34.7977)	(97, 34.736)	(98, 34.6834)	(99, 34.6045)	(100, 34.5283)
PGDX10625P7_WGS	(1, 28.2532)	(2, 29.258)	(3, 30.1939)	(4, 30.567)	(5, 31.3567)	(6, 34.615)	(7, 35.4829)	(8, 36.0268)	(9, 36.2235)	(10, 36.3179)	(11, 36.342)	(12, 36.3591)	(13, 36.3351)	(14, 36.3334)	(15, 36.3551)	(16, 36.3736)	(17, 36.3366)	(18, 36.3722)	(19, 36.3743)	(20, 36.3544)	(21, 36.3703)	(22, 36.3659)	(23, 36.3327)	(24, 36.351)	(25, 36.344)	(26, 36.294)	(27, 36.2766)	(28, 36.2316)	(29, 36.243)	(30, 36.2412)	(31, 36.234)	(32, 36.1893)	(33, 36.2002)	(34, 36.1887)	(35, 36.1869)	(36, 36.1711)	(37, 36.1459)	(38, 36.139)	(39, 36.1434)	(40, 36.1279)	(41, 36.1231)	(42, 36.0867)	(43, 36.0691)	(44, 36.0422)	(45, 36.0934)	(46, 36.0736)	(47, 36.0696)	(48, 36.0508)	(49, 36.0335)	(50, 36.019)	(51, 36.0087)	(52, 35.9845)	(53, 35.9487)	(54, 35.8784)	(55, 35.8972)	(56, 35.8934)	(57, 35.8691)	(58, 35.8567)	(59, 35.8352)	(60, 35.8294)	(61, 35.757)	(62, 35.7623)	(63, 35.7816)	(64, 35.7736)	(65, 35.7277)	(66, 35.69)	(67, 35.6632)	(68, 35.6357)	(69, 35.6454)	(70, 35.6446)	(71, 35.6333)	(72, 35.6301)	(73, 35.6392)	(74, 35.622)	(75, 35.5668)	(76, 35.4654)	(77, 35.4339)	(78, 35.4036)	(79, 35.3991)	(80, 35.3791)	(81, 35.3527)	(82, 35.3307)	(83, 35.3188)	(84, 35.3266)	(85, 35.3115)	(86, 35.2957)	(87, 35.267)	(88, 35.2512)	(89, 35.2411)	(90, 35.1755)	(91, 35.1403)	(92, 35.0838)	(93, 35.042)	(94, 35.0411)	(95, 34.9823)	(96, 34.9482)	(97, 34.9255)	(98, 34.8327)	(99, 34.7649)	(100, 34.689)
PGDX10626P6_WGS	(1, 27.6945)	(2, 28.9722)	(3, 30.4069)	(4, 31.0016)	(5, 31.487)	(6, 34.8884)	(7, 35.675)	(8, 36.0466)	(9, 36.2872)	(10, 36.3436)	(11, 36.3883)	(12, 36.4013)	(13, 36.4317)	(14, 36.4242)	(15, 36.4263)	(16, 36.4372)	(17, 36.4491)	(18, 36.4566)	(19, 36.4659)	(20, 36.4052)	(21, 36.457)	(22, 36.4636)	(23, 36.4332)	(24, 36.4303)	(25, 36.4085)	(26, 36.3455)	(27, 36.3211)	(28, 36.2491)	(29, 36.2955)	(30, 36.3126)	(31, 36.3176)	(32, 36.3215)	(33, 36.3272)	(34, 36.3226)	(35, 36.312)	(36, 36.2993)	(37, 36.2909)	(38, 36.257)	(39, 36.241)	(40, 36.23)	(41, 36.2023)	(42, 36.2049)	(43, 36.1582)	(44, 36.1456)	(45, 36.1748)	(46, 36.1489)	(47, 36.1529)	(48, 36.1428)	(49, 36.1175)	(50, 36.0784)	(51, 36.0753)	(52, 36.0574)	(53, 35.9934)	(54, 36.0187)	(55, 36.0033)	(56, 35.9766)	(57, 35.9825)	(58, 35.9748)	(59, 35.9738)	(60, 35.8901)	(61, 35.9181)	(62, 35.9057)	(63, 35.9135)	(64, 35.8959)	(65, 35.8806)	(66, 35.8695)	(67, 35.8372)	(68, 35.8159)	(69, 35.827)	(70, 35.8009)	(71, 35.7756)	(72, 35.7423)	(73, 35.7579)	(74, 35.7716)	(75, 35.7447)	(76, 35.6422)	(77, 35.6231)	(78, 35.6289)	(79, 35.6143)	(80, 35.5783)	(81, 35.5666)	(82, 35.5566)	(83, 35.5382)	(84, 35.5068)	(85, 35.4731)	(86, 35.4671)	(87, 35.4933)	(88, 35.4832)	(89, 35.4589)	(90, 35.4159)	(91, 35.0753)	(92, 35.193)	(93, 35.2454)	(94, 35.2629)	(95, 35.2482)	(96, 35.2049)	(97, 35.1719)	(98, 35.136)	(99, 35.0831)	(100, 34.9755)
PGDX10626P7_WGS	(1, 27.8743)	(2, 29.2278)	(3, 30.5448)	(4, 31.0027)	(5, 31.5314)	(6, 34.881)	(7, 35.739)	(8, 36.1576)	(9, 36.3022)	(10, 36.3448)	(11, 36.3811)	(12, 36.407)	(13, 36.4455)	(14, 36.446)	(15, 36.4554)	(16, 36.4602)	(17, 36.4579)	(18, 36.4939)	(19, 36.4949)	(20, 36.4382)	(21, 36.4751)	(22, 36.4661)	(23, 36.4561)	(24, 36.451)	(25, 36.4376)	(26, 36.3662)	(27, 36.332)	(28, 36.2623)	(29, 36.3108)	(30, 36.3358)	(31, 36.3288)	(32, 36.3278)	(33, 36.3375)	(34, 36.3249)	(35, 36.3097)	(36, 36.3071)	(37, 36.2572)	(38, 36.2552)	(39, 36.2412)	(40, 36.2404)	(41, 36.214)	(42, 36.1627)	(43, 35.8085)	(44, 35.8077)	(45, 36.0783)	(46, 36.1221)	(47, 36.1512)	(48, 36.1734)	(49, 36.1272)	(50, 36.1042)	(51, 36.088)	(52, 36.0625)	(53, 35.9986)	(54, 36.0246)	(55, 35.9834)	(56, 35.9648)	(57, 35.9678)	(58, 35.9399)	(59, 35.9593)	(60, 35.8783)	(61, 35.9185)	(62, 35.913)	(63, 35.8815)	(64, 35.847)	(65, 35.8708)	(66, 35.8238)	(67, 35.8044)	(68, 35.7884)	(69, 35.8052)	(70, 35.7685)	(71, 35.7188)	(72, 35.662)	(73, 35.6636)	(74, 35.6298)	(75, 35.4747)	(76, 34.7481)	(77, 34.6915)	(78, 34.6956)	(79, 34.6831)	(80, 34.6494)	(81, 34.6412)	(82, 34.631)	(83, 34.613)	(84, 34.5837)	(85, 34.5501)	(86, 34.5444)	(87, 34.5678)	(88, 34.555)	(89, 34.5301)	(90, 34.4871)	(91, 34.1542)	(92, 34.2661)	(93, 34.316)	(94, 34.3295)	(95, 34.312)	(96, 34.2721)	(97, 34.2372)	(98, 34.1996)	(99, 34.1466)	(100, 34.0434)
PGDX16571P_WGS	(1, 30.6213)	(2, 31.4553)	(3, 31.7883)	(4, 32.2271)	(5, 32.4446)	(6, 36.3939)	(7, 36.9739)	(8, 37.0845)	(9, 37.229)	(10, 37.2453)	(11, 37.2704)	(12, 37.2487)	(13, 37.2621)	(14, 37.2683)	(15, 37.2749)	(16, 37.2716)	(17, 37.219)	(18, 37.2766)	(19, 37.2852)	(20, 37.2633)	(21, 37.2579)	(22, 37.3064)	(23, 37.2466)	(24, 37.2574)	(25, 37.2546)	(26, 37.2715)	(27, 37.184)	(28, 37.2139)	(29, 37.2041)	(30, 37.2097)	(31, 37.19)	(32, 37.1961)	(33, 37.1264)	(34, 37.1258)	(35, 37.1126)	(36, 37.0976)	(37, 37.1322)	(38, 37.0344)	(39, 37.0846)	(40, 36.9271)	(41, 37.0897)	(42, 36.7271)	(43, 36.8278)	(44, 36.9626)	(45, 37.0795)	(46, 37.0822)	(47, 37.1073)	(48, 37.0792)	(49, 37.0679)	(50, 37.0209)	(51, 37.0008)	(52, 37.0461)	(53, 36.9962)	(54, 36.8933)	(55, 36.9425)	(56, 36.8741)	(57, 36.9276)	(58, 36.9058)	(59, 36.8438)	(60, 36.8994)	(61, 36.86)	(62, 36.7754)	(63, 36.8109)	(64, 36.8221)	(65, 36.7872)	(66, 36.8305)	(67, 36.7896)	(68, 36.7723)	(69, 36.8372)	(70, 36.8401)	(71, 36.8139)	(72, 36.7993)	(73, 36.7467)	(74, 36.6882)	(75, 36.3936)	(76, 35.9484)	(77, 35.8295)	(78, 35.8085)	(79, 35.7887)	(80, 35.7481)	(81, 35.6894)	(82, 35.7266)	(83, 35.7333)	(84, 35.7173)	(85, 35.6935)	(86, 35.699)	(87, 35.6963)	(88, 35.6987)	(89, 35.6817)	(90, 35.6569)	(91, 35.6387)	(92, 35.6204)	(93, 35.6117)	(94, 35.587)	(95, 35.566)	(96, 35.5497)	(97, 35.5236)	(98, 35.4981)	(99, 35.449)	(100, 35.3957)
PGDX16585P_WGS	(1, 29.4351)	(2, 30.0236)	(3, 30.7613)	(4, 31.2654)	(5, 31.0615)	(6, 35.2492)	(7, 35.9556)	(8, 36.2771)	(9, 36.5069)	(10, 36.5702)	(11, 36.6059)	(12, 36.5824)	(13, 36.5617)	(14, 36.5669)	(15, 36.5564)	(16, 36.5912)	(17, 36.6125)	(18, 36.6267)	(19, 36.6245)	(20, 36.4961)	(21, 36.5498)	(22, 36.497)	(23, 36.5115)	(24, 36.5543)	(25, 36.5176)	(26, 36.4792)	(27, 36.4661)	(28, 36.4279)	(29, 36.4782)	(30, 36.4657)	(31, 36.4601)	(32, 36.4166)	(33, 36.3959)	(34, 36.4208)	(35, 36.4249)	(36, 36.4081)	(37, 36.4434)	(38, 36.4645)	(39, 36.4408)	(40, 36.4147)	(41, 36.4373)	(42, 36.4402)	(43, 36.436)	(44, 36.4244)	(45, 36.398)	(46, 36.3501)	(47, 36.3681)	(48, 36.3785)	(49, 36.3621)	(50, 36.3346)	(51, 36.3256)	(52, 36.3017)	(53, 36.2637)	(54, 36.2953)	(55, 36.2535)	(56, 36.1582)	(57, 36.2325)	(58, 36.2344)	(59, 36.2257)	(60, 36.2126)	(61, 36.1441)	(62, 36.1614)	(63, 36.1261)	(64, 36.1102)	(65, 36.0889)	(66, 36.056)	(67, 36.0409)	(68, 36.0185)	(69, 35.9944)	(70, 35.9461)	(71, 35.9445)	(72, 35.9476)	(73, 35.9521)	(74, 35.974)	(75, 35.9693)	(76, 35.942)	(77, 35.956)	(78, 35.952)	(79, 35.9563)	(80, 35.9375)	(81, 35.9169)	(82, 35.9007)	(83, 35.877)	(84, 35.8773)	(85, 35.8629)	(86, 35.8323)	(87, 35.8216)	(88, 35.7843)	(89, 35.7478)	(90, 35.7398)	(91, 35.7132)	(92, 35.555)	(93, 35.5972)	(94, 35.6193)	(95, 35.6055)	(96, 35.5635)	(97, 35.4188)	(98, 35.471)	(99, 35.4231)	(100, 35.3652)
PGDX16587P_WGS	(1, 29.1811)	(2, 30.9775)	(3, 31.7511)	(4, 32.1913)	(5, 32.6053)	(6, 36.3604)	(7, 36.846)	(8, 37.0601)	(9, 37.1889)	(10, 37.2255)	(11, 37.2574)	(12, 37.2453)	(13, 37.2314)	(14, 37.2223)	(15, 37.2394)	(16, 37.2489)	(17, 37.295)	(18, 37.2828)	(19, 37.2907)	(20, 37.2233)	(21, 37.2415)	(22, 37.2683)	(23, 37.227)	(24, 37.2431)	(25, 37.2012)	(26, 37.2259)	(27, 37.1652)	(28, 37.1745)	(29, 37.2024)	(30, 37.1851)	(31, 37.1724)	(32, 37.1745)	(33, 37.1884)	(34, 37.1331)	(35, 37.1628)	(36, 37.167)	(37, 37.16)	(38, 37.1634)	(39, 37.1841)	(40, 37.0881)	(41, 37.1293)	(42, 36.9325)	(43, 36.9659)	(44, 37.0579)	(45, 37.0111)	(46, 37.0575)	(47, 37.1083)	(48, 37.1)	(49, 37.0895)	(50, 37.0273)	(51, 37.0243)	(52, 37.0601)	(53, 37.0169)	(54, 36.9969)	(55, 36.9692)	(56, 36.9066)	(57, 36.9747)	(58, 36.9471)	(59, 36.9305)	(60, 36.9298)	(61, 36.8617)	(62, 36.7974)	(63, 36.8788)	(64, 36.8951)	(65, 36.8466)	(66, 36.871)	(67, 36.8811)	(68, 36.8887)	(69, 36.8788)	(70, 36.8672)	(71, 36.8395)	(72, 36.8325)	(73, 36.79)	(74, 36.732)	(75, 36.5324)	(76, 36.2923)	(77, 36.2489)	(78, 36.246)	(79, 36.2476)	(80, 36.2377)	(81, 36.2213)	(82, 36.1978)	(83, 36.1887)	(84, 36.1798)	(85, 36.1659)	(86, 36.1416)	(87, 36.1332)	(88, 36.1319)	(89, 36.1118)	(90, 35.9859)	(91, 36.0315)	(92, 36.0315)	(93, 36.0316)	(94, 36.0224)	(95, 36.005)	(96, 35.9784)	(97, 35.9577)	(98, 35.8838)	(99, 35.8855)	(100, 35.8398)
PGDX16592P_WGS	(1, 25.7013)	(2, 29.3292)	(3, 30.0954)	(4, 31.8541)	(5, 32.3804)	(6, 36.1959)	(7, 36.8817)	(8, 37.093)	(9, 37.2504)	(10, 37.2626)	(11, 37.3364)	(12, 37.3307)	(13, 37.3361)	(14, 37.3299)	(15, 37.3157)	(16, 37.3319)	(17, 37.3657)	(18, 37.3685)	(19, 37.372)	(20, 37.3295)	(21, 37.3451)	(22, 37.3468)	(23, 37.3314)	(24, 37.3383)	(25, 37.3146)	(26, 37.326)	(27, 37.2854)	(28, 37.283)	(29, 37.3046)	(30, 37.287)	(31, 37.2593)	(32, 37.1337)	(33, 37.1894)	(34, 37.2242)	(35, 37.1844)	(36, 37.2395)	(37, 37.2412)	(38, 37.2555)	(39, 37.2629)	(40, 37.2057)	(41, 37.2113)	(42, 37.0425)	(43, 36.9022)	(44, 36.9203)	(45, 37.1408)	(46, 37.1799)	(47, 37.1996)	(48, 37.1764)	(49, 37.1519)	(50, 37.1242)	(51, 37.1257)	(52, 37.1273)	(53, 37.0885)	(54, 37.0609)	(55, 37.0351)	(56, 37.0138)	(57, 37.0121)	(58, 36.991)	(59, 36.9648)	(60, 36.9671)	(61, 36.9684)	(62, 36.9322)	(63, 36.897)	(64, 36.9054)	(65, 36.9071)	(66, 36.8803)	(67, 36.8734)	(68, 36.891)	(69, 36.8986)	(70, 36.8865)	(71, 36.8584)	(72, 36.8563)	(73, 36.8089)	(74, 36.7287)	(75, 36.5772)	(76, 35.9782)	(77, 35.5465)	(78, 35.4673)	(79, 35.4472)	(80, 35.4393)	(81, 35.4212)	(82, 35.4082)	(83, 35.399)	(84, 35.3785)	(85, 35.3664)	(86, 35.3596)	(87, 35.35)	(88, 35.3466)	(89, 35.3187)	(90, 35.2808)	(91, 35.2721)	(92, 35.2594)	(93, 35.2447)	(94, 35.2394)	(95, 35.2168)	(96, 35.1963)	(97, 35.1739)	(98, 35.1466)	(99, 34.9879)	(100, 34.9756)
PGDX17776P8_WGS	(1, 30.9663)	(2, 31.6641)	(3, 31.9531)	(4, 32.2726)	(5, 32.6555)	(6, 36.3484)	(7, 36.8615)	(8, 37.1416)	(9, 37.2245)	(10, 37.1905)	(11, 37.2345)	(12, 37.2481)	(13, 37.2402)	(14, 37.197)	(15, 37.2169)	(16, 37.2384)	(17, 37.2444)	(18, 37.2374)	(19, 37.0987)	(20, 37.1786)	(21, 37.2141)	(22, 37.2147)	(23, 37.2213)	(24, 37.2284)	(25, 37.2257)	(26, 37.1946)	(27, 37.1681)	(28, 37.1306)	(29, 37.1135)	(30, 37.1038)	(31, 37.0613)	(32, 37.0643)	(33, 37.079)	(34, 37.0261)	(35, 37.0448)	(36, 37.0571)	(37, 37.0546)	(38, 37.0229)	(39, 37.049)	(40, 37.0713)	(41, 37.0939)	(42, 37.0523)	(43, 36.9606)	(44, 36.9778)	(45, 37.0546)	(46, 36.9308)	(47, 37.0224)	(48, 37.0418)	(49, 37.0353)	(50, 37.0211)	(51, 37.0079)	(52, 36.9993)	(53, 36.9796)	(54, 36.9694)	(55, 36.965)	(56, 36.9425)	(57, 36.9255)	(58, 36.9155)	(59, 36.9015)	(60, 36.8978)	(61, 36.9015)	(62, 36.8739)	(63, 36.7978)	(64, 36.8291)	(65, 36.8088)	(66, 36.7664)	(67, 36.7957)	(68, 36.7832)	(69, 36.7942)	(70, 36.7918)	(71, 36.7646)	(72, 36.7289)	(73, 36.6571)	(74, 36.6778)	(75, 36.5907)	(76, 36.3698)	(77, 36.2405)	(78, 36.2279)	(79, 36.2129)	(80, 36.2083)	(81, 36.2074)	(82, 36.1945)	(83, 36.1782)	(84, 36.1475)	(85, 36.1517)	(86, 36.1469)	(87, 36.1001)	(88, 36.1155)	(89, 36.0898)	(90, 36.0093)	(91, 36.0537)	(92, 36.052)	(93, 36.0586)	(94, 36.0349)	(95, 36.0344)	(96, 36.0225)	(97, 35.9739)	(98, 35.8509)	(99, 35.8684)	(100, 35.8405)
PGDX17778P9_WGS	(1, 28.3449)	(2, 29.5399)	(3, 30.5466)	(4, 31.1286)	(5, 31.5769)	(6, 34.9829)	(7, 35.7636)	(8, 36.2411)	(9, 36.3425)	(10, 36.3834)	(11, 36.4352)	(12, 36.4546)	(13, 36.4069)	(14, 36.3951)	(15, 36.4096)	(16, 36.4333)	(17, 36.4041)	(18, 36.4294)	(19, 36.4366)	(20, 36.4432)	(21, 36.4288)	(22, 36.3496)	(23, 36.4088)	(24, 36.4391)	(25, 36.4084)	(26, 36.3925)	(27, 36.3442)	(28, 36.2742)	(29, 36.2562)	(30, 36.2486)	(31, 36.2381)	(32, 36.1766)	(33, 36.2189)	(34, 36.2017)	(35, 36.1703)	(36, 36.2293)	(37, 36.2117)	(38, 36.2133)	(39, 36.194)	(40, 36.2302)	(41, 36.1932)	(42, 36.1669)	(43, 35.5547)	(44, 35.7363)	(45, 36.0269)	(46, 36.0827)	(47, 36.1292)	(48, 36.2027)	(49, 36.139)	(50, 36.1611)	(51, 36.108)	(52, 36.0604)	(53, 36.0238)	(54, 35.9811)	(55, 35.955)	(56, 35.9756)	(57, 35.9579)	(58, 35.9142)	(59, 35.8246)	(60, 35.8798)	(61, 35.9094)	(62, 35.9137)	(63, 35.7929)	(64, 35.8076)	(65, 35.8731)	(66, 35.8073)	(67, 35.792)	(68, 35.8372)	(69, 35.8336)	(70, 35.7522)	(71, 35.6821)	(72, 35.6771)	(73, 35.6627)	(74, 35.576)	(75, 35.3506)	(76, 34.144)	(77, 33.8542)	(78, 33.8398)	(79, 33.8065)	(80, 33.8031)	(81, 33.6959)	(82, 33.7204)	(83, 33.7423)	(84, 33.7385)	(85, 33.7285)	(86, 33.7085)	(87, 33.6964)	(88, 33.6682)	(89, 33.659)	(90, 33.6288)	(91, 33.6356)	(92, 33.587)	(93, 33.5697)	(94, 33.5322)	(95, 33.5147)	(96, 33.4838)	(97, 33.3783)	(98, 33.3164)	(99, 33.3206)	(100, 33.2609)
